"site","long","lat"
"Dalene.Seppa.2009",8,58.25
"Flotatjonn.Seppa.2009",7.55,59.67
"Grostjorn.Eide.2009",7.73,58.53
"Holebudalen.Seppa.2009",6.98,59.83
"Isbenttjonn.Seppa.2009",7.43,59.77
"Reiarsdalvatnet.Seppa.2009",7.78,58.32
"VestreOykjamyrtorn.EPD",6,59.82
"VestreOykjamytjorn.Velle.2005",6,59.82
