"site","long","lat"
"977",8.689085,63.702905
"20042",7,60.716667
"20046",8.666667,61.416667
"45331",8.454444,63.4575
"45345",9.416944,63.059722
"45347",9.833333,62.266667
"45349",9.876667,61.649167
