"X","LabID","weighted_mean","long","lat","Material"
264,"Beta-345280",2513.86806286857,10.012672,61.549097,"Bone"
593,"CAMS-6262",5068.95226622366,19.9486,60.1522,"human bone"
594,"CAMS-6263",4916.10490693201,19.9486,60.1522,"human bone"
595,"CAMS-6264",5162.5857252736,19.9486,60.1522,"human bone"
763,"Hel-1828",1853.09846031655,19.55,60.25,"bone"
764,"Hel-1845",1864.79877640404,19.55,60.25,"bone"
1176,"Hel-3003",782.064790403805,19.9166666666667,60.1166666666667,"mortar"
1177,"Hel-3004",743.96674539286,19.9166666666667,60.1166666666667,"mortar"
1178,"Hel-3007",892.185300948018,19.9166666666667,60.1166666666667,"mortar"
1179,"Hel-3008",802.316879115459,19.9166666666667,60.1166666666667,"mortar"
1294,"Hel-3313",579.399081472955,20,60.3333333333333,"wood"
1307,"Hel-3326",527.599908125532,20,60.3333333333333,"mortar"
1308,"Hel-3327",700.564521613125,20,60.3333333333333,"mortar"
1309,"Hel-3328",560.124896622998,20,60.3333333333333,"mortar"
1310,"Hel-3329",765.275064778286,20,60.3333333333333,"mortar"
1311,"Hel-3330",636.819136200905,20,60.3333333333333,"mortar"
1312,"Hel-3331",613.963087871713,20,60.3333333333333,"mortar"
1313,"Hel-3332",560.124896622998,20,60.3333333333333,"wood"
1314,"Hel-3333",743.96674539286,20,60.3333333333333,"mortar"
1315,"Hel-3334",670.502632524869,20,60.3333333333333,"mortar"
1316,"Hel-3335",866.364101569163,20,60.3333333333333,"mortar"
1317,"Hel-3336",769.537196719687,20,60.3333333333333,"mortar"
1318,"Hel-3337",652.323936221498,20,60.3333333333333,"mortar"
1319,"Hel-3338",809.058056971941,20,60.3333333333333,"mortar"
1937,"Lus-12347",1616.29390906356,11.067106,60.196816,"burned bone"
1938,"Lus-12348",1519.32783903439,11.067106,60.196816,"burned bone"
1939,"Lus-12349",1623.62084593829,11.067106,60.196816,"burned bone"
1940,"Lus-12350",1442.80113682669,11.067106,60.196816,"burned bone"
1941,"Lus-12351",2249.22138716884,11.067106,60.196816,"burned bone"
1954,"Lus-12386",1475.88610617338,11.067106,60.196816,"charcoal"
1955,"Lus-12387",1616.20982565415,11.067106,60.196816,"charcoal"
1956,"Lus-12388",1546.04647076067,11.067106,60.196816,"charcoal"
1957,"Lus-12389",1564.59384087894,11.067106,60.196816,"charcoal"
1958,"Lus-12390",1003.98051712757,11.067106,60.196816,"macrofossil"
1959,"Lus-12391",1427.55287175877,11.067106,60.196816,"charcoal"
2032,"Lus-12747",1005.6675773625,11.338941,60.250761,"charcoal"
2049,"Lus-12890",2375.67366554423,11.067,60.198,"burned bone"
2050,"Lus-12891",2251.37829207424,11.067,60.198,"burned bone"
2051,"Lus-12892",2259.08636824547,11.067,60.198,"burned bone"
2052,"Lus-12893",2275.44096915461,11.067,60.198,"burned bone"
2053,"Lus-12894",2291.05927687046,11.067,60.198,"burned bone"
2054,"Lus-12895",2249.22138716884,11.067,60.198,"burned bone"
2055,"Lus-12896",2225.2016588646,11.067106,60.196816,"burned bone"
2056,"Lus-12897",2212.34898781082,11.067106,60.196816,"burned bone"
2057,"Lus-12941",1144.62987412857,11.067106,60.196816,"macrofossil"
2058,"Lus-12942",2090.27735104123,11.067106,60.196816,"macrofossil"
2059,"Lus-12943",1325.59429047481,11.067106,60.196816,"charcoal"
2060,"Lus-12944",1338.53981749793,11.067106,60.196816,"macrofossil"
2061,"Lus-12945",1469.01224642135,11.067106,60.196816,"macrofossil"
2069,"Lus-13124",1872.90624287282,11.34,60.65,"charcoal"
2070,"Lus-13125",1464.43686744167,11.34,60.65,"charcoal"
2071,"Lus-13126",1227.20724685511,11.34,60.65,"charcoal"
2072,"Lus-13127",1589.81392400338,11.34,60.65,"charcoal"
2073,"Lus-13128",1645.93457762527,11.34,60.65,"charcoal"
2074,"Lus-13129",1658.39055771923,11.34,60.65,"charcoal"
2075,"Lus-13130",1674.23794670731,11.34,60.65,"charcoal"
2076,"Lus-13131",1544.88544773838,11.34,60.65,"charcoal"
2077,"Lus-13132",1709.85719754986,11.34,60.65,"charcoal"
2078,"Lus-13133",1438.42461721859,11.34,60.65,"charcoal"
2079,"Lus-13134",2017.47821545091,11.34,60.65,"charcoal"
2080,"Lus-13135",1581.77397468689,11.34,60.65,"charcoal"
2081,"Lus-13136",1599.89023766296,11.34,60.65,"charcoal"
2082,"Lus-13137",1654.64859074564,11.34,60.65,"charcoal"
2083,"Lus-13138",1096.65493443032,11.34,60.65,"charcoal"
2084,"Lus-13139",1668.5001693773,11.34,60.65,"charcoal"
2085,"Lus-13140",1293.61940588665,11.34,60.65,"charcoal"
2086,"Lus-13141",1218.73336326993,11.34,60.65,"charcoal"
2087,"Lus-13142",1583.97905472598,11.34,60.65,"charcoal"
2088,"Lus-13143",2216.06202899712,11.34,60.65,"charcoal"
2089,"Lus-13144",2064.61470410175,11.34,60.65,"macrofossil"
2090,"Lus-13145",2433.76029608305,11.34,60.65,"charcoal"
2091,"Lus-13146",2084.78984883786,11.34,60.65,"charcoal"
2092,"Lus-13147",2263.800811245,11.34,60.65,"charcoal"
2093,"Lus-13148",1461.88589422951,11.34,60.65,"charcoal"
2094,"Lus-13149",1469.71207792887,11.34,60.65,"charcoal"
2095,"Lus-13150",1433.53451601414,11.34,60.65,"charcoal"
2096,"Lus-13151",1535.74815579216,11.34,60.65,"charcoal"
2097,"Lus-13152",1342.2720332378,11.34,60.65,"charcoal"
2098,"Lus-13153",1568.0993072843,11.34,60.65,"macrofossil"
2099,"Lus-13154",1437.96899659619,11.34,60.65,"charcoal"
2100,"Lus-13155",1478.09686284913,11.34,60.65,"charcoal"
2101,"Lus-13156",1514.0414424587,11.34,60.65,"charcoal"
2102,"Lus-13157",1504.54857744756,11.34,60.65,"charcoal"
2103,"Lus-13158",1467.75821542273,11.34,60.65,"macrofossil"
2104,"Lus-13159",1406.99106903631,11.34,60.65,"macrofossil"
2105,"Lus-13160",1791.43059012157,11.34,60.65,"macrofossil"
2106,"Lus-13161",1163.2152851054,11.34,60.65,"macrofossil"
2107,"Lus-13162",1615.76529179311,11.34,60.65,"macrofossil"
2108,"Lus-13163",2181.01549372841,11.34,60.65,"macrofossil"
2109,"Lus-13165",1575.20310704737,11.34,60.65,"macrofossil"
2112,"Lus-13168",1453.56457077202,11.03841,60.000232,"charcoal"
2113,"Lus-13169",1450.32937123315,11.03841,60.000232,"charcoal"
2114,"Lus-13170",1416.84818497487,11.03841,60.000232,"charcoal"
2115,"Lus-13171",1785.19832369767,11.03841,60.000232,"charcoal"
2116,"Lus-13172",1472.6283759401,11.03841,60.000232,"charcoal"
2117,"Lus-13173",2848.33412939472,11.03841,60.000232,"charcoal"
2118,"Lus-13174",3688.31011590691,11.03841,60.000232,"charcoal"
2119,"Lus-13175",1759.99247260168,11.81082,61.275994,"Burned bone"
2120,"Lus-13176",1544.88544773838,11.81082,61.275994,"bone"
2122,"Lus-13179",129.673067284495,10.28063,60.18135,"charcoal"
2123,"Lus-13180",129.499647903797,10.28063,60.18135,"charcoal"
2124,"Lus-13181",714.022699438598,10.28063,60.18135,"charcoal"
2125,"Lus-13182",697.440026441499,10.28063,60.18135,"charcoal"
2126,"Lus-13183",716.536741343245,10.28063,60.18135,"charcoal"
2127,"Lus-13184",742.822913464213,10.28063,60.18135,"charcoal"
2128,"Lus-13185",705.944780739161,10.28063,60.18135,"charcoal"
2129,"Lus-13186",692.383621991136,10.28063,60.18135,"charcoal"
2130,"Lus-13203",1544.88544773838,10.841593,60.803901,"Charcoal"
2131,"Lus-13204",1442.80113682669,10.841593,60.803901,"Charcoal"
2132,"Lus-13205",1604.31984962845,10.841593,60.803901,"Charcoal"
2133,"Lus-13206",1446.75954297149,10.841593,60.803901,"Charcoal"
2134,"Lus-13207",1456.52623372472,10.841593,60.803901,"Charcoal"
2135,"Lus-13208",1494.8023295962,10.841593,60.803901,"Charcoal"
2136,"Lus-13209",1464.43686744167,10.841593,60.803901,"Charcoal"
2194,"Lus-13284",1827.31976542196,10.07,60.33,"macrofossil"
2195,"Lus-13285",1599.89023766296,10.07,60.33,"macrofossil"
2196,"Lus-13286",1789.86592635348,10.07,60.33,"macrofossil"
2197,"Lus-13287",1781.37740827058,10.07,60.33,"macrofossil"
2198,"Lus-13288",1747.56772663933,10.07,60.33,"macrofossil"
2199,"Lus-13289",2133.52443063913,10.07,60.33,"Charcoal"
2200,"Lus-13290",2045.25401884785,10.07,60.33,"Charcoal"
2201,"Lus-13291",1994.69086045808,10.07,60.33,"Charcoal"
2202,"Lus-13292",1619.95051634677,10.07,60.33,"Charcoal"
2203,"Lus-13293",1733.36067272761,10.07,60.33,"Charcoal"
2204,"Lus-13294",1612.39943388456,10.07,60.33,"Charcoal"
2205,"Lus-13295",2177.06837521756,10.07,60.33,"Charcoal"
2206,"Lus-13296",2208.08699133605,10.07,60.33,"Charcoal"
2207,"Lus-13297",1840.0836316965,10.07,60.33,"Charcoal"
2208,"Lus-13298",1804.5654619857,10.07,60.33,"Charcoal"
2209,"Lus-13299",1775.75541348522,10.07,60.33,"Charcoal"
2210,"Lus-13300",1891.59129706832,10.07,60.33,"Charcoal"
2211,"Lus-13301",1641.83824188152,10.07,60.33,"Charcoal"
2212,"Lus-13302",1840.0836316965,10.07,60.33,"Charcoal"
2213,"Lus-13303",2124.61813799667,10.07,60.33,"Charcoal"
2214,"Lus-13304",1914.93426660375,10.07,60.33,"Charcoal"
2215,"Lus-13305",1809.88041525292,10.07,60.33,"Charcoal"
2216,"Lus-13306",1759.99247260168,10.07,60.33,"Charcoal"
2217,"Lus-13307",1840.0836316965,10.07,60.33,"Charcoal"
2218,"Lus-13308",1717.81648061348,10.07,60.33,"Charcoal"
2232,"Lus-13334",1456.52623372472,11.244992,60.339068,"Burned bone"
2233,"Lus-13335",1504.54857744756,11.244992,60.339068,"Burned bone"
2234,"Lus-13336",1455.89511776961,11.244992,60.339068,"Burned bone"
2235,"Lus-13337",1492.17601229499,11.244992,60.339068,"Burned bone"
2236,"Lus-13338",1492.17601229499,11.244992,60.339068,"Burned bone"
2262,"Lus-13390",1433.61101109763,10.36,60.23,"macrofossil"
2263,"Lus-13391",1450.32937123315,10.36,60.23,"charcoal"
2264,"Lus-13392",1479.61259759505,10.36,60.23,"charcoal"
2265,"Lus-13393",1483.929399154,10.36,60.23,"charcoal"
2266,"Lus-13394",1461.88589422951,10.36,60.23,"charcoal"
2267,"Lus-13395",1446.75954297149,10.36,60.23,"charcoal"
2268,"Lus-13396",1446.75954297149,10.36,60.23,"charcoal"
2269,"Lus-13397",1428.40335687305,10.36,60.23,"charcoal"
2270,"Lus-13398",1433.61101109763,10.36,60.23,"charcoal"
2271,"Lus-13399",1397.98023186182,10.36,60.23,"macrofossil"
2272,"Lus-13400",1509.08932181402,10.36,60.23,"charcoal"
2273,"Lus-13401",140.745089062584,10.36,60.23,"charcoal"
2274,"Lus-13402",332.044313846607,10.36,60.23,"charcoal"
2275,"Lus-13403",165.187918204808,10.36,60.23,"charcoal"
2276,"Lus-13404",133.670905659091,10.36,60.23,"charcoal"
2277,"Lus-13405",1035.01372916548,10.36,60.23,"charcoal"
2278,"Lus-13406",150.209011229174,10.36,60.23,"charcoal"
2279,"Lus-13417",856.638977959182,10.610855,60.297444,"charcoal"
2280,"Lus-13418",2208.08699133605,10.610855,60.297444,"charcoal"
2281,"Lus-13419",129.484532633499,10.610855,60.297444,"charcoal"
