"site","long","lat"
"Gilltjarnen.Antonsson.2006",15.83,60.08
"Haugtjern.Eide.2009",10.88,60.83
"Holtjaernen.Giesecke.2008",14.9264,60.6519
"Kinnshaugen.Seppa.2009",10.37,62.02
"Klotjaernen.Pollen.Sweden",16.4044,61.8211
"Spaime.Hammarlund.2004",12.32,63.12
