"site","long","lat"
"AgeroedsMosse.Nilsson.1964",13.42,55.83
"Flarken.Berglund.1966",13.67,58.58
"Flarken.Seppa.2005",13.67,58.55
"Gloppsjon.Seppa.2009",16.53,59.83
"Kansjon.EPD",14.53,57.63
"Trehorningen.Antonsson.2007",11.6,58.55
