"site","long","lat"
"Hirvijaervi.Luoto.2010",25.23,60.51
"Kaartlamminsuo.Rankama.1988",24.22,60.73
"Laihalampi.Giesecke.2008",26.0833,61.4833
"Laihalampi.Heikkila.2003",26.07,61.48
"Medvedevskoe.Nazarova.2018",29.8992,60.5309
"Nautajarvi.Seppa.2009",24.7,61.8
"Ylimysneva.Huttunen.1990",22.87,62.13
