"X","LabID","weighted_mean","long","lat","Material"
25,"BETA-326856",1647.45862626907,9.9141,61.5668,"Charcoal"
26,"BETA-326857",3558.87030725358,9.9141,61.5668,"Charcoal"
27,"BETA-326858",1461.11625340455,9.9141,61.5668,"Charcoal"
28,"BETA-326859",1778.3451825187,9.9141,61.5668,"Charcoal"
29,"BETA-326860",1647.45862626907,9.9141,61.5668,"Charcoal"
251,"Beta-322380",2030.66238917076,9.9141,61.5668,"Charcoal"
252,"Beta-322381",1472.87767324341,9.9141,61.5668,"Charcoal"
253,"Beta-322382",1698.59460403661,9.9141,61.5668,"Charcoal"
254,"Beta-322383",1607.78805367341,9.9141,61.5668,"Charcoal"
255,"Beta-322384",1607.78805367341,9.9141,61.5668,"Charcoal"
256,"Beta-322385",1438.63264823942,9.9141,61.5668,"Charcoal"
257,"Beta-322386",1504.12115087365,9.9141,61.5668,"Charcoal"
258,"Beta-322387",3590.92084170459,9.9141,61.5668,"Charcoal"
259,"Beta-322388",1632.35782568999,9.9141,61.5668,"Charcoal"
260,"Beta-322389",1671.27363562365,9.9141,61.5668,"Charcoal"
272,"Beta-365414",532.887670057786,9.895807,61.569751,"Seed"
273,"Beta-365521",1615.96733628783,9.895807,61.569751,"Charcoal"
274,"Beta-365522",1983.70385093652,9.86,61.55,"Charcoal"
275,"Beta-365523",1038.5268703537,9.86,61.55,"Charcoal"
276,"Beta-365524",1383.38412804663,9.86,61.55,"Charcoal"
352,"Beta-74645",3978.04800011163,7.147255,61.91441,"charcoal"
353,"Beta-74646",4036.25588114145,7.147255,61.91441,"charcoal"
354,"Beta-78028",4132.52785332483,7.147255,61.91441,"grain"
1960,"Lus-12396",626.650619522844,9.205104,60.31874,"charcoal"
1961,"Lus-12397",825.920265294487,9.205104,60.31874,"charcoal"
1962,"Lus-12398",588.708734343841,9.205104,60.31874,"charcoal"
1963,"Lus-12399",821.037396997678,9.205104,60.31874,"charcoal"
1964,"Lus-12400",615.345064884351,9.205104,60.31874,"charcoal"
1965,"Lus-12401",673.266811338036,9.205104,60.31874,"charcoal"
1966,"Lus-12402",766.187287809084,9.205104,60.31874,"charcoal"
1995,"Lus-12493",1612.39943388456,8.41,61.22,"charcoal"
1996,"Lus-12494",7815.52822172859,8.41,61.22,"charcoal"
1997,"Lus-12495",1612.39943388456,8.41,61.22,"charcoal"
1998,"Lus-12496",1690.522789967,8.41,61.22,"charcoal"
1999,"Lus-12497",1442.80113682669,8.41,61.22,"charcoal"
2000,"Lus-12498",1461.88589422951,8.41,61.22,"charcoal"
2001,"Lus-12499",1634.44554444497,8.41,61.22,"charcoal"
2002,"Lus-12500",764.194794662776,8.41,61.22,"charcoal"
2003,"Lus-12501",1608.46737695423,8.41,61.22,"charcoal"
2004,"Lus-12502",1456.52623372472,8.41,61.22,"charcoal"
2005,"Lus-12503",1461.88589422951,8.41,61.22,"charcoal"
2006,"Lus-12504",1469.71207792887,8.41,61.22,"charcoal"
2007,"Lus-12505",1450.32937123315,8.41,61.22,"charcoal"
2172,"Lus-13255",1051.61237133364,8.04,60.59,"charcoal"
2173,"Lus-13256",810.742281828223,8.04,60.59,"charcoal"
2174,"Lus-13257",794.14966268115,8.04,60.59,"charcoal"
2175,"Lus-13258",815.748972104541,8.04,60.59,"charcoal"
2176,"Lus-13259",1115.2514629942,8.04,60.59,"charcoal"
2177,"Lus-13260",853.624363910976,8.04,60.59,"macrofossil"
2323,"Lus-13487",1036.4843315068,9.094062,60.567473,"charcoal"
2324,"Lus-13488",1873.97346375163,9.094062,60.567473,"charcoal"
2325,"Lus-13489",1022.06180359674,9.094062,60.567473,"charcoal"
2326,"Lus-13490",854.237579387369,9.094062,60.567473,"charcoal"
2327,"Lus-13491",850.015325581542,9.094062,60.567473,"charcoal"
2328,"Lus-13492",815.711786779437,9.094062,60.567473,"charcoal"
2329,"Lus-13493",845.739419887396,9.094062,60.567473,"charcoal"
2333,"Lus-13506",996.558802771284,9.872806,61.127671,"Charcoal"
2334,"Lus-13507",256.302805931528,9.872806,61.127671,"Charcoal"
2335,"Lus-13508",862.350718591662,9.872806,61.127671,"Charcoal"
2336,"Lus-13520",1438.74280926646,9.099985,62.087075,"charcoal"
2337,"Lus-13521",2592.14739627503,9.099985,62.087075,"charcoal"
2339,"Lus-13523",8800.98764621764,9.365432,61.478452,"Burned bone"
2340,"Lus-13524",8521.08487426838,9.365432,61.478452,"Burned bone"
2341,"Lus-13525",8517.04272470771,9.365432,61.478452,"Burned bone"
2342,"Lus-13526",8214.68690705119,9.010917,61.347036,"Burned bone"
2343,"Lus-13527",4361.06542691315,9.010917,61.347036,"Burned bone"
2344,"Lus-13528",4694.99901522762,9.010917,61.347036,"Burned bone"
2345,"Lus-13529",7721.68965633185,9.010917,61.347036,"Burned bone"
