"site","long","lat"
"Ratasjoen.Velle.2005",9.83,62.27
"Tiavatnet.Seppa.2009",9.42,63.05
"Topptjonna.Paus.2011",9.67,62.38
"Trettetjorn.Bjune.2005",7,60.72
