"dataset_ID","meantimes","Arctium","Artemisia","Artemisia.norvegica","Asteroideae","Avena.Triticum","Cannabaceae","Cannabis","Cannabis.sativa","Capsella","Caryophyllaceae","Centaurea.cyanus","Cerealia","Fagopyrum","Fagopyrum.esculentum","Galeopsis","Hordeum","Humulus","Humulus.Cannabis","Humulus.lupulus","Juglans","Juglans.regia","Linum.usitatissimum","Lycopsis.arvensis","Papaver.radicatum","Papaver.rhoeas","Persicaria.maculosa","Plantago.major","Plantago.major.P..media","Polygonum.aviculare","Rumex","Rumex.longifolius","Rumex.Oxyria","Rumex.Oxyria.digyna","Scleranthus.annuus","Secale","Secale.cereale","Sinapis","Spergula","Spergula.arvensis","Spergula.Spergularia","Triticum"
"12",854.298,NA,"0.00545851528384279",NA,"0",NA,"0.00109170305676856",NA,NA,NA,"0","0","0.00436681222707424","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00109170305676856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",911.985,NA,"0.00178173719376392",NA,"0",NA,"0",NA,NA,NA,"0","0","0.00089086859688196","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1006.149,NA,"0.0050761421319797",NA,"0.00101522842639594",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00203045685279188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1099.197,NA,"0.00367197062423501",NA,"0",NA,"0",NA,NA,NA,"0","0","0.00122399020807834","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1179.283,NA,"0",NA,"0.00104712041884817",NA,"0",NA,NA,NA,"0","0","0.00523560209424084","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1231.444,NA,"0.0013271400132714",NA,"0.0006635700066357",NA,"0",NA,NA,NA,"0","0","0.0026542800265428","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0013271400132714",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1277.602,NA,"0.00584795321637427",NA,"0.00194931773879142",NA,"0",NA,NA,NA,"0","0","0.01364522417154","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00194931773879142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1326.128,NA,"0.00638103919781222",NA,"0",NA,"0",NA,NA,NA,"0.000911577028258888","0","0.00273473108477666","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00273473108477666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1407.271,NA,"0.00374531835205993",NA,"0",NA,"0",NA,NA,NA,"0","0","0.00187265917602996","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00187265917602996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1549.599,NA,"0.0113744075829384",NA,"0.0037914691943128",NA,"0",NA,NA,NA,"0","0","0.00663507109004739","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0037914691943128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1616.689,NA,"0.000956022944550669",NA,"0",NA,"0.000956022944550669",NA,NA,NA,"0","0","0.000956022944550669","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.000956022944550669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1659.009,NA,"0.00537056928034372",NA,"0.00107411385606874",NA,"0",NA,NA,NA,"0","0","0.00214822771213749","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00214822771213749",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1697.687,NA,"0.00244100895036615",NA,"0",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00081366965012205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1736.082,NA,"0.00153767298821117",NA,"0.000512557662737058",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1774.342,NA,"0.00243704305442729",NA,"0",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0016246953696182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1814,NA,"0.003725782414307",NA,"0",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1855.168,NA,"0.00105485232067511",NA,"0",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00105485232067511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1897.609,NA,"0.00273473108477666",NA,"0",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00455788514129444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1955.043,NA,"0.003",NA,"0",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2079.434,NA,"0.0029296875",NA,"0.0009765625",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2256.752,NA,"0.00174216027874564",NA,"0.000871080139372822",NA,"0",NA,NA,NA,"0.000871080139372822","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00174216027874564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2495.8,NA,"0.00626118067978533",NA,"0",NA,"0",NA,NA,NA,"0","0","0.00178890876565295","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00178890876565295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2741.197,NA,"0.00355029585798817",NA,"0.00118343195266272",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2937.323,NA,"0.00658616904500549",NA,"0",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3039.663,NA,"0.0106269925611052",NA,"0",NA,"0",NA,NA,NA,"0.00106269925611052","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3133.014,NA,"0.00319148936170213",NA,"0",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3230.126,NA,"0.00133689839572193",NA,"0.00133689839572193",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3382.778,NA,"0.00225056264066016",NA,"0",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3542.28,NA,"0.00373482726423903",NA,"0",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3675.086,NA,"0.00127713920817369",NA,"0.00127713920817369",NA,"0",NA,NA,NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
