"calBP","araSE"
500,0.492883289656238
600,0.452631915517164
700,0.20186229270277
800,0.10366166208492
900,0.248895670762932
1000,0.0507058871314739
1100,0.0571220343175227
1200,0.0798426708305024
1300,0.0877123666707316
1400,0.0409577082850471
1500,0.0239752909061455
1600,0.0266461038445656
1700,0.0328720151979163
1800,0.0430127936205707
1900,0.0426195317737867
2000,0.0185786339218667
2100,0.0322746600806644
2200,0.025429652619943
2300,0.0122102548527589
2400,0.0386445578723121
2500,0.018018139131844
2600,0.0198200705245132
2700,0.0316536778229772
2800,0.0161785952392232
2900,0.0176177883012563
3000,0.0167362455423143
3100,0.0130482864019761
3200,0.0194130404547445
3300,0.0147858094394351
3400,0.0347223847623595
3500,0.0280478596807548
3600,0.00906990991431619
3700,0.0235995840997793
3800,0.0226975725015539
3900,0.0324382171609418
4000,0.0248944765776204
4100,0.0162058029109236
4200,0.0225632166870612
4300,0.0202937409402811
4400,0.025844448378748
4500,0.0346524598720662
4600,0.0135113024214619
4700,0.00461029501429899
4800,0.0116433403998489
4900,0.00586306978672679
5000,0.00397823176765031
5100,0.00421968849743356
5200,0.00762415833159239
5300,0.00942329504245887
5400,0.0116232721725491
5500,0.00428248875730076
5600,0.00708611480256718
5700,0.00881042272666535
5800,0.00583483261540065
5900,0.00881083242338969
6000,0.0127287765169952
6100,0.00756407396831765
6200,0.00509299170538992
6300,0.0136295518277992
6400,0.00676854463153635
6500,0.00892487629329734
6600,0.0172960487241251
6700,0.00783096000972361
6800,0.01978008119035
6900,0.00284692652036248
7000,0.00509083833308445
7100,0.0226601149497551
7200,0.00485130215869337
7300,0.0219387269345999
7400,0.00491270782312698
7500,0.00969303500576104
7600,0.00627823537357455
7700,0.0119201733266004
7800,0.0135437674586778
7900,0.00359066143180196
8000,0.0184841628985021
8100,0.0180693312759419
8200,0.0155673573357356
8300,0.0207961718376282
8400,0.00495907664987225
8500,0.0227422054107669
8600,0.00383729571826965
8700,0.00742122446470782
8800,0.0177164851353248
8900,0.00689105058365759
9000,0.0258091683934662
9100,0.0122638114012335
9200,0.0237723943547213
9300,0.0113569760968982
9400,0.0322685588414238
9500,0.0345851573685899
9600,0.0325130923974576
9700,0.0170394518698005
