"calBP","conSW"
700,2.1178659460721
800,2.61532176427841
900,1.54014448874146
1000,1.9610521436345
1100,1.85409349618239
1200,1.2397483164126
1300,1.6580147149231
1400,1.42539427519144
1500,1.88341026501398
1600,1.48304873889682
1700,1.54995582425701
1800,1.80845762664069
1900,2.91905808368852
2000,2.1937294034705
2100,1.88661324332865
2200,1.96496929459799
2300,2.54670609384916
2400,1.17134317656836
2500,2.78618921097034
2600,1.9468596650826
2700,2.01983461523955
2800,1.72066075597167
2900,2.13721850767788
3000,1.90886792822702
3100,1.87180099296792
3200,1.91697991038205
3300,1.58877615817867
3400,1.83401703506854
3500,1.94392258721257
3600,0.891251364774115
3700,2.21948330914932
3800,1.67812274863661
3900,1.27192385334774
4000,1.27002328950981
4100,1.82650939258827
4200,1.85872957113851
4300,0.87610633453914
4400,1.9333758738995
4500,2.01741997258946
4600,0.994293518021753
4700,1.80926785841961
4800,1.52199057816305
4900,1.49020290144791
5000,1.24304543993955
5100,1.78704552347654
5200,1.67398303417319
5300,1.29652840253394
5400,1.36769126760643
5500,1.47707293323914
5600,1.87612605137915
5700,1.31453880018517
5800,1.92237745332058
5900,1.35258872993515
6000,1.21133161602003
6100,2.21746549860302
6200,0.90958706592301
6300,1.78082017638002
6400,1.88482085955696
6500,1.12306441844009
6600,2.19808237049049
6700,1.76525036857213
6800,0.903426459478183
6900,1.691670742303
7000,1.86966509445893
7100,1.0593002355444
7200,1.14509125744524
7300,1.11762589363285
7400,2.34024951523514
7500,1.56871833725205
7600,0.789814438361541
7700,1.38821463223172
7800,2.37315581210301
7900,1.67722114508793
8000,1.58889131041113
8100,2.51026723881792
8200,1.83628912422584
8300,1.47607238355756
8400,1.83332270818397
8500,2.2525310544184
8600,2.11004118864138
8700,2.61283519279879
8800,1.33563647673106
8900,1.39533337434345
9000,2.61861634968872
9100,1.69090046749542
9200,2.10826624234132
9300,2.37010748039465
9400,0.815829859412792
9500,0.784099399170039
9600,1.81416516152594
9700,1.02904434301912
