"calBP","conN"
1400,1.76035534009458
1500,1.35436923566001
1600,3.17975481932462
1700,2.55899550430345
1800,3.0748174081689
1900,2.32182847270355
2000,3.17448659887262
2100,2.71447916175147
2200,1.92994969973496
2300,2.40276684854416
2400,2.58728928431337
2500,2.85438953086742
2600,3.13798423822456
2700,1.46825810077148
2800,2.0032335698552
2900,2.96632574642394
3000,2.05265762798985
3100,1.96623962228364
3200,2.76806341471207
3300,2.00239998160416
3400,2.07991173618815
3500,3.02507631844365
3600,2.2987142946607
3700,1.70911284306369
3800,3.2374490935135
3900,1.8281648381237
4000,2.17369108156399
4100,2.81718062440662
4200,2.47308132728239
4300,2.11710309981338
4400,1.90721063797644
4500,2.60334661203939
4600,3.2813792175802
4700,2.00249950154362
4800,2.62754820723525
4900,3.03380974900799
5000,2.37224129977587
5100,2.39813001377891
5200,2.39603669898717
5300,2.57259973541208
5400,2.03786269311422
5500,3.74500525335501
5600,2.72401959650574
5700,2.72256219312704
5800,4.36272017421147
5900,2.05708573984612
6000,2.60313563525573
6100,3.67217352300595
6200,2.00697136173815
6300,3.82479670267397
6400,1.94969880694791
6500,2.86651746429625
6600,2.29954707987213
6700,2.27612634859062
6800,2.78680655016913
6900,2.19675946415936
7000,1.93023704531483
7100,4.30933660597944
7200,2.07807405818278
7300,2.63398665032938
7400,2.52919086071633
7500,2.79769708260865
7600,3.61976029295135
7700,1.77214456578186
7800,2.01132424804828
7900,2.55283359540767
8000,2.03329548566366
8100,1.38027411750264
8200,1.95899200267676
8300,2.13077450830277
8400,0.645374531006623
8500,1.89275302323068
8600,2.08001667623078
8700,1.32203846225172
8800,0.580293734955542
8900,1.14863429862772
9000,1.25414826934306
9100,0.558101318281092
9200,1.63035105647616
9300,0.34219087635054
9400,0.679623879204589
9500,0.596667454826668
9600,0.574529746763556
9700,0.884658835606729
