"calBP","araMW"
700,0.000908265213442325
800,0.00358265773360113
900,0.0115531237452612
1000,0.00990191299457992
1100,0.00582288480889144
1200,0.00642165907987692
1300,0.0116260873624993
1400,0.00120336943441637
1500,0.012029167050254
1600,0.00787141782070902
1700,0.00576391772129188
1800,0.00470141317452451
1900,0.0015600624024961
2000,0.00905045924621945
2100,0.00874141658559146
2200,0.0013986013986014
2300,0.0114456240201249
2400,0.00649577467024963
2500,0.00259291270527225
2600,0.00557752955943001
2700,0
2800,0.00708971843892174
2900,0.00132362673726009
3000,0.00332753304637177
3100,0.00606060606060606
3200,0.00485644820218142
3300,0.00376642179920868
3400,0.00628002724329422
3500,0.00402269695432426
3600,0.00239759450753409
3700,0.0033003300330033
3800,0.00237888238951772
3900,0
4000,0.00143884892086331
4100,0.00226170349796723
4200,0.007441145388894
4300,0.00127226463104326
4400,0.00290135396518375
4500,0.00121654501216545
4600,0.00276977091129284
4700,0.00339529341231323
4800,0.00280001724293333
4900,0.00681292329725624
5000,0.00131578947368421
5100,0.0064438149197356
5200,0
5300,0.00548836477162421
5400,0.00119331742243437
5500,0.00238379022646007
5600,0.00427968952559116
5700,0.0064412911759271
5800,0.00377833753148616
5900,0.00122850122850123
6000,0.00238720993437975
6100,0.00115340253748558
6200,0.00155763239875389
6300,0.00356582332338678
6400,0.00679723169108855
6500,0
6600,0.00275152642859026
6700,0.00541622719637487
6800,0
6900,0.00544314991033775
7000,0
7100,0.00648105684221253
7200,0.00130208333333333
7300,0.00445684488910701
7400,0.00474478681096808
7500,0.00147710487444609
7600,0.00534809002550938
7700,0.00297176820208024
7800,0.00438393012951748
7900,0.00235294117647058
8000,0
8100,0.00229309903786419
8200,0.00147710487444609
8300,0.00360476232715374
8400,0
8500,0.000946073793755913
8600,0.00142247510668563
8700,0.00995287157858984
8800,0.00118483412322275
8900,0.00592776810613277
9000,0.0187792798822112
9100,0.0111932020526952
9200,0.00367511480351947
9300,0.0122126587961307
9400,0.00463554285189133
9500,0.0122556910030247
9600,0.00712105798575788
9700,0.00147710487444609
