"calBP","conSM","decSM","wetwSM","wetmSM","pasSM","araSM","heaSM"
1400,0.891250556836305,1.2964477287178,0.808583651850397,0.064851868627667,0.312110063554545,0.0828882274668421,0.151196993019507
1500,0.191979654874826,1.10005067395086,0.617654183743292,0.0551158050100735,0.543059461774254,0.136052076512204,0.21402131502685
1600,0.673610580533281,2.15602771030575,1.2784320891983,0.0764785030613401,0.494410325228944,0.0830374566015265,0.87625783222865
1700,0.193960957066045,0.924691193424499,1.22218474208824,0.0507755396847197,0.256677851925362,0.038845602258402,0.204538406535933
1800,0.930973723930943,2.6778796106537,1.76466616140347,0.0854473897192723,0.453470185927282,0.0619977239509593,0.649137220528542
1900,0.141694459681843,0.781710916072408,0.536076247942951,0.0341991223258366,0.186146461876029,0.0241190345584202,0.229068019747669
2000,0.360186623291085,1.26171269392293,0.633671206996347,0.0391850036575035,0.230658750815735,0.0265842399403055,0.266196668441893
2100,0.066836086404066,0.430749682337993,0.178653113087675,0.0210927573062262,0.177382465057179,0.0228716645489199,0.00914866581956798
2200,0.469727128981753,1.64507964160894,0.983744876842,0.0680416783893797,0.407558562639515,0.0554529762827683,0.0847672447295964
2300,0.525788606412634,1.21365896534744,0.546282879075311,0.0361801155144053,0.362824749737354,0.0506426057555168,0.0262349936272363
2400,0.100029771079961,0.840712559958585,0.522137151082149,0.0667118080140786,0.200820211760687,0.0216628232184811,0.190753039109046
2500,0.715579190736345,1.31791048700912,0.344218834511703,0.0303199996012616,0.24460456235796,0.0275783293238926,0.0540508642397133
2600,0.120777891504606,0.41171954964176,0.156345957011259,0.0125383828045036,0.164790174002047,0.00870010235414534,0.0148413510747186
2700,0.170243948900504,0.791898432012191,0.554711999809509,0.018950686366721,0.213885978593454,0.0173091805269487,0.139305954067601
2800,0.352032019464478,0.838694295664952,0.331327629506059,0.0172740873102892,0.210246058588279,0.0150610231108803,0.0351412063909978
2900,0.777495655191215,1.60560867241643,0.695985235953884,0.0285903589991002,0.259855311386103,0.0295910548622951,0.333707382088826
3000,0.184924031363989,0.750689740812889,0.455193738465602,0.0175134189011791,0.17702587253128,0.0257331470371415,0.278937435904367
3100,0.469977025469285,1.14274553943902,0.70951889082439,0.0249414869249745,0.21446645847776,0.0187456586417848,0.213887649130173
3200,0.72027422524597,1.1931047376003,0.600020524874681,0.0148167992456265,0.165484491266491,0.0238885314007987,0.141521681139756
3300,0.359601255653228,1.15165995268125,0.883194532510903,0.0158297808175522,0.172583111444077,0.0199941180474228,0.270004919836095
3400,0.285714285714286,0.450255102040817,0.131377551020409,0.00510204081632653,0.0446428571428572,0.00127551020408163,0.0191326530612245
3500,0.0774976657329599,0.23155929038282,0.473389355742297,0.000933706816059757,0.00466853408029878,0.00373482726423903,0.202614379084967
3600,0.927041953709783,1.76338351601623,0.802633621390006,0.0158282111280368,0.140780327091359,0.0176561223116655,0.142339338482655
3700,0.407639893394494,1.29798070702938,0.888719310886355,0.0107589672099496,0.153731626858655,0.0188808185216567,0.105531370175973
3900,0.393367275185344,1.30467049192438,0.833207176411778,0.0107196196223934,0.139641149628355,0.0166209267422887,0.15770518191546
4000,0.761625282185868,1.70210404686909,1.00580960404687,0.0199495136139603,0.165901652424687,0.0194055279420747,0.107477999956397
4100,0.0912052117263844,0.192182410423453,0.478013029315961,0,0.00570032573289902,0.00162866449511401,0.228827361563518
4200,0.339275447199159,1.37309040469817,0.82935993417466,0.0144428411316041,0.120035475556633,0.0191868239201394,0.216647451083128
4300,0.15236763483613,0.781702495675809,0.566661050834512,0.00347283060403891,0.0742143450816542,0.0169654289372599,0.362415481726082
4400,0.352715893115335,0.612390496250231,0.835679335998279,0.00348585894466153,0.0255360743249666,0,0.123565382056144
4500,0.526677172139562,1.08841024930518,0.995749800526378,0.00948547094739363,0.0720655490683413,0.00590832332139993,0.173664374950173
4600,0.282388542265093,0.66608104316691,0.349574921953978,0.0042804698645124,0.0261578496558256,0.00303203041382576,0.616406958602579
4700,0.0812572740431021,0.607772130468374,1.13893183034759,0.00381533765738268,0.0494861680957719,0.00228920259442961,0.0512771348871834
4800,0.352684807318342,0.678561483753754,0.398607040800489,0.0102092520062447,0.0242381291482932,0.0043103448275862,0.490364775912282
