"calBP","wetwSW"
700,0.845988950750439
800,1.15359471703692
900,0.719271397579195
1000,1.14926804177521
1100,0.660399019168447
1200,0.679993944290922
1300,0.592047739459141
1400,0.614240861802316
1500,0.96254393967149
1600,0.794850055982472
1700,1.07544249224291
1800,0.701862484692558
1900,1.23831453157125
2000,0.673345249983765
2100,0.709735255450444
2200,0.949980328920924
2300,0.885174319156677
2400,0.724341437169369
2500,1.20444010227088
2600,0.68481743588662
2700,0.735862561320064
2800,0.748337623124454
2900,0.784128252764565
3000,0.952399876503521
3100,0.836533288964541
3200,0.701585527532742
3300,0.753376280605759
3400,0.923844517847406
3500,0.932866102978442
3600,0.513425832800675
3700,0.917292052399854
3800,0.746931268084526
3900,0.538853437831123
4000,0.332065789926097
4100,1.00285120577065
4200,0.485579229568709
4300,0.308244697952313
4400,0.748894942842862
4500,0.77157289782967
4600,0.220607104137948
4700,0.884009997461466
4800,0.466746422652664
4900,0.44997551973395
5000,0.601955253421652
5100,0.445610870016009
5200,0.904910935441716
5300,0.390672776225261
5400,0.859242548339578
5500,0.506818917171186
5600,0.773666585442803
5700,0.456133526296789
5800,0.909607590793678
5900,0.723677484702575
6000,0.739605733609274
6100,1.06653517456454
6200,0.718911976330298
6300,1.04444011891587
6400,0.916477149745862
6500,0.842468740840224
6600,1.05497895349287
6700,0.62774774269953
6800,0.432361986614437
6900,0.817892131328065
7000,0.914238160660233
7100,0.587022826092052
7200,0.717580144899722
7300,0.696503613670148
7400,1.09377086148778
7500,0.849880671832211
7600,0.538633250260834
7700,0.885844368480266
7800,0.822772130413281
7900,1.04397057889082
8000,0.676167077803221
8100,0.817388264188713
8200,0.935872895941898
8300,0.675776517716545
8400,0.406896587851917
8500,0.97357144161323
8600,0.617124703585063
8700,0.778617225145605
8800,0.316423082860071
8900,0.334052639471055
9000,0.786881363061315
9100,0.634300928728343
9200,0.278313131129698
9300,0.257324608320956
9400,0.0363067699943011
9500,0.0725661941533655
9600,0.164555969541353
9700,0.098477800137397
