"calBP","wetmSE"
500,0.192411197402088
600,0.163298474334761
700,0.167931532029379
800,0.160415299621189
900,0.154410290933521
1000,0.18082605357206
1100,0.327837015912763
1200,0.273620641331954
1300,0.219198858394456
1400,0.270778640496118
1500,0.10466005067605
1600,0.122422949702337
1700,0.0474713207112285
1800,0.132701268886355
1900,0.105740902680029
2000,0.0376429552971788
2100,0.164903264054237
2200,0.160111629779374
2300,0.0198374654284482
2400,0.138578847384569
2500,0.0204799131556696
2600,0.234577230187907
2700,0.0942691757568024
2800,0.0436920033476384
2900,0.218123866976182
3000,0.0545158362111584
3100,0.120332315991748
3200,0.123003280614644
3300,0.315892039529579
3400,0.362092171670728
3500,0.048044244407498
3600,0.0645504372830904
3700,0.13978055405038
3800,0.0850187097141718
3900,0.131681356608737
4000,0.0811767056254189
4100,0.064270697704973
4200,0.165216274750843
4300,0.121315436412525
4400,0.099782701660329
4500,0.172028001799542
4600,0.0573090798680149
4700,0.296232724947701
4800,0.109917341375416
4900,0.0420777579371393
5000,0.0255697145280323
5100,0.100117444041138
5200,0.0252564554849024
5300,0.0163234064104579
5400,0.143641982448488
5500,0.0415318213878916
5600,0.0317793805564998
5700,0.0350676214261743
5800,0.019430484428459
5900,0.0869403405096916
6000,0.0873736836087275
6100,0.0517007810169237
6200,0.0187696743979043
6300,0.164638041243184
6400,0.0456442093284229
6500,0.108118213755354
6600,0.158319008389058
6700,0.0371200959825802
6800,0.102793814178487
6900,0.021683734467468
7000,0.0373504355220206
7100,0.158233652768589
7200,0.200996104354945
7300,0.111932639723654
7400,0.0615447681342434
7500,0.0567253077603343
7600,0.144247365477146
7700,0.106167578250739
7800,0.0958656003252824
7900,0.0419403708609411
8000,0.0892206161000893
8100,0.146221439200479
8200,0.065349314431672
8300,0.179697912684171
8400,0.0311665053968152
8500,0.268028567870618
8600,0.0916340280383206
8700,0.131755624966915
8800,0.427847630016755
8900,0.0434782358970592
9000,0.351398112633428
9100,0.541294213116579
9200,0.166886166826466
9300,0.264676189231749
9400,1.05822544694138
9500,0.600185856109914
9600,0.240646737566121
9700,0.0470747031207125
