"calBP","wetmMW"
700,0.227303412981206
800,0.229186462268223
900,0.288804257317061
1000,0.302753297223444
1100,0.223766541233962
1200,0.255386272460019
1300,0.25988790017212
1400,0.223247751045585
1500,0.216650205366631
1600,0.325801476673489
1700,0.249996041265301
1800,0.246797184227426
1900,0.262361951419104
2000,0.204889981075149
2100,0.302893698851527
2200,0.14975024975025
2300,0.330431101349878
2400,0.325803622501926
2500,0.207410171618541
2600,0.298263183511814
2700,0.168462296733566
2800,0.262760786656165
2900,0.106862804083188
3000,0.152641896624685
3100,0.216127433271471
3200,0.267911013607021
3300,0.242698543321956
3400,0.391388507249915
3500,0.219448840456066
3600,0.404655699411093
3700,0.259674647571939
3800,0.261644253736374
3900,0.240461684559431
4000,0.336578068807671
4100,0.211246568534263
4200,0.158389928989001
4300,0.0980550293527393
4400,0.17805112198783
4500,0.0748052916651384
4600,0.176930400899777
4700,0.124540471637599
4800,0.0750126382863659
4900,0.165867886587412
5000,0.11818098665991
5100,0.1278532513195
5200,0.102439483881966
5300,0.146696694748231
5400,0.0751844465513671
5500,0.132346024621019
5600,0.213119996679433
5700,0.0608523550636543
5800,0.164234985954635
5900,0.14054294119234
6000,0.110597549819457
6100,0.134602757084798
6200,0.148796236115774
6300,0.065141794021159
6400,0.205379733514908
6500,0.125793029249262
6600,0.0775293735738262
6700,0.144233004791405
6800,0.0108695652173913
6900,0.15125722088757
7000,0.02780634795682
7100,0.0811666145053903
7200,0.108775608123355
7300,0.100817422519147
7400,0.0735115020155545
7500,0.0476188866617768
7600,0.0854430390254256
7700,0.0922097546345161
7800,0.114271905314601
7900,0.11038652204243
8000,0.0972062601741608
8100,0.0822412077093706
8200,0.0642070351791458
8300,0.137910687176562
8400,0.0120663650075415
8500,0.0910812912972429
8600,0.141868377829052
8700,0.111849438352768
8800,0.110622087263003
8900,0.0511195004404671
9000,0.0697036144592067
9100,0.138539890319464
9200,0.0324268237108704
9300,0.078512548909447
9400,0.0784100134388921
9500,0.124278349299878
9600,0.0498867412682265
9700,0.0559064230192772
