"calBP","wetmSM"
1400,0.064851868627667
1500,0.0551158050100735
1600,0.0764785030613401
1700,0.0507755396847197
1800,0.0854473897192723
1900,0.0341991223258366
2000,0.0391850036575035
2100,0.0210927573062262
2200,0.0680416783893797
2300,0.0361801155144053
2400,0.0667118080140786
2500,0.0303199996012616
2600,0.0125383828045036
2700,0.018950686366721
2800,0.0172740873102892
2900,0.0285903589991002
3000,0.0175134189011791
3100,0.0249414869249745
3200,0.0148167992456265
3300,0.0158297808175522
3400,0.00510204081632653
3500,0.000933706816059757
3600,0.0158282111280368
3700,0.0107589672099496
3900,0.0107196196223934
4000,0.0199495136139603
4100,0
4200,0.0144428411316041
4300,0.00347283060403891
4400,0.00348585894466153
4500,0.00948547094739363
4600,0.0042804698645124
4700,0.00381533765738268
4800,0.0102092520062447
4900,0.000857632933104631
5000,0.0129735614521092
5100,0.000760745530620008
5200,0.0157722051280464
5300,0.0115244684851234
5400,0.00250312891113892
5500,0.0105666846301621
5600,0.00862335643294722
5700,0.00848701257157481
5800,0.00872410032715376
5900,0.0125562949519392
6000,0.000598086124401914
6100,0.0126803724329575
6200,0.0133093207880035
6300,0.011884678397491
6400,0.00878466129082745
6500,0.0138328723959131
6600,0.00757835735529627
6700,0.0141263807740606
6800,0.00178635226866738
6900,0.0157890215871662
7000,0.0111160906759854
7100,0.0207774300450138
7200,0.0455786423982564
7300,0.0146308651335012
7400,0.293875481799019
7500,0.067402398724617
7600,0.012037930025168
7700,0.0258520727972825
7800,0.0344460222607125
7900,0.0322838683910792
8000,0.0125136242527316
8100,0.00949309478238453
8200,0.0234728862099752
8300,0.0284046872684868
8400,0.036301887877322
8500,0.0250834977762602
8600,0.0136648911333071
8700,0.0258045185799682
8800,0.0333561124377099
8900,0.0272868433186967
9000,0.0123930689561323
9100,0.0304687625863469
9200,0.0248494555257001
9300,0.0981506948747216
9400,0.0819926538939549
9500,0.0128171257700647
9600,0.00967741935483871
9700,0.0180835893797779
