"dataset_ID","meantimes","Abies","Arctostaphylos","Arctostaphylos.uva.ursi","Huperzia","Huperzia.selago","Linnaea.borealis","Lycopodium","Lycopodium.annotinum","Melampyrum","Picea","Picea.abies","Pinus","Pinus.sylvestris","Taxus","Taxus.baccata","Vaccinium"
"12",3382.778,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.0660165041260315",NA,NA,NA,NA
"12",3542.28,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.0774976657329599",NA,NA,NA,NA
"12",3675.086,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0.00510855683269476",NA,"0.154533844189017",NA,NA,NA,NA
"12",3782.671,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.106901217861976",NA,NA,NA,NA
"12",3933.81,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0.000999000999000999",NA,"0.122877122877123",NA,NA,NA,NA
"12",4049.243,NA,NA,NA,NA,NA,NA,"0.00139664804469274",NA,NA,"0",NA,"0.058659217877095",NA,NA,NA,NA
"12",4143.8,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.0912052117263844",NA,NA,NA,NA
"12",4232.438,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0.00111234705228031",NA,"0.0989988876529477",NA,NA,NA,NA
"12",4331.842,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0.00187793427230047",NA,"0.0910798122065728",NA,NA,NA,NA
"12",4490.224,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0.00404244567963618",NA,"0.0565942395149065",NA,NA,NA,NA
"12",4593.856,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0.00237642585551331",NA,"0.0594106463878327",NA,NA,NA,NA
"12",4675.792,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.0576694411414982",NA,NA,NA,NA
"12",4756.262,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0.000804936946605849",NA,"0.0136839280922994",NA,NA,NA,NA
"12",4833.042,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0.00079428117553614",NA,"0.0889594916600477",NA,NA,NA,NA
"12",4909.289,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0.000879507475813544",NA,"0.0967458223394899",NA,NA,NA,NA
"12",4990.183,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.0368782161234991",NA,NA,NA,NA
"12",5093.009,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.00890243902439024",NA,NA,NA,NA
"12",5249.135,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.0302013422818792",NA,NA,NA,NA
"12",5340.389,NA,NA,NA,NA,NA,NA,"0.000724112961622013",NA,NA,"0.000724112961622013",NA,"0.0782041998551774",NA,NA,NA,NA
"12",5422.809,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.103879849812265",NA,NA,NA,NA
