"calBP","pasMW"
700,0.294507033233191
800,0.272044766321496
900,0.323729450357574
1000,0.535919735786001
1100,0.429298182826965
1200,0.404886911098141
1300,0.574709518092414
1400,0.202236752417258
1500,0.292500119088815
1600,0.259767616848897
1700,0.281266132415969
1800,0.348833068673165
1900,0.191508975281368
2000,0.39547478963502
2100,0.267942676185776
2200,0.110589410589411
2300,0.344084733930857
2400,0.285862220257414
2500,0.207054019445799
2600,0.207105312459663
2700,0.155366875160974
2800,0.307173616348646
2900,0.145156820597528
3000,0.202006723880198
3100,0.172241248254726
3200,0.366621096744075
3300,0.196494599750199
3400,0.345809379700447
3500,0.171837558599777
3600,0.429554642028492
3700,0.257449932862431
3800,0.266281731353871
3900,0.19816445204158
4000,0.295872628092776
4100,0.25030362272258
4200,0.217661597779
4300,0.101390425817907
4400,0.164089112007822
4500,0.0883462323784372
4600,0.137846246944615
4700,0.187047593954584
4800,0.0721636354373631
4900,0.201073933733233
5000,0.0832154764296721
5100,0.153092758479799
5200,0.100653808550073
5300,0.161586553074389
5400,0.101440154313924
5500,0.069748909664236
5600,0.21529964442635
5700,0.110831444938291
5800,0.159876975718318
5900,0.13679186896756
6000,0.151520568952528
6100,0.0641550622211723
6200,0.142581463730445
6300,0.0773029562738689
6400,0.198451532118676
6500,0.15283915802274
6600,0.120776431632993
6700,0.123847106096547
6800,0.0062111801242236
6900,0.207835205975745
7000,0.0423231534595009
7100,0.0558022265601132
7200,0.138430781561726
7300,0.0442528787796921
7400,0.108559811276743
7500,0.0503855007115116
7600,0.116215747217489
7700,0.057232049437454
7800,0.0757943534671453
7900,0.0975706612044434
8000,0.0997140335703856
8100,0.0975155078240003
8200,0.046109339885244
8300,0.145897753494209
8400,0.0723981900452489
8500,0.047940962003732
8600,0.171473335208239
8700,0.252966430688306
8800,0.0634334318946498
8900,0.207860278381737
9000,0.0934307031173622
9100,0.274203192775741
9200,0.15024222666246
9300,0.196633069318834
9400,0.122478755298876
9500,0.0957768901457948
9600,0.103388267209223
9700,0.147336137097626
