"calBP","heaSM"
1400,0.151196993019507
1500,0.21402131502685
1600,0.87625783222865
1700,0.204538406535933
1800,0.649137220528542
1900,0.229068019747669
2000,0.266196668441893
2100,0.00914866581956798
2200,0.0847672447295964
2300,0.0262349936272363
2400,0.190753039109046
2500,0.0540508642397133
2600,0.0148413510747186
2700,0.139305954067601
2800,0.0351412063909978
2900,0.333707382088826
3000,0.278937435904367
3100,0.213887649130173
3200,0.141521681139756
3300,0.270004919836095
3400,0.0191326530612245
3500,0.202614379084967
3600,0.142339338482655
3700,0.105531370175973
3900,0.15770518191546
4000,0.107477999956397
4100,0.228827361563518
4200,0.216647451083128
4300,0.362415481726082
4400,0.123565382056144
4500,0.173664374950173
4600,0.616406958602579
4700,0.0512771348871834
4800,0.490364775912282
4900,0.585472889898639
5000,0.0698096680575386
5100,0.00114111829593001
5200,0.0230993676522125
5300,0.422617090536712
5400,0.207759699624531
5500,0.62083905108343
5600,0.525872837931122
5700,0.0338950689357346
5800,0.227917121046892
5900,0.0231498285944747
6000,0.0944976076555024
6100,0.257435346010677
6200,0.505682068337321
6300,0.216582313369078
6400,0.131551764118925
6500,0.279054307905551
6600,0.317802250369169
6700,0.0388299232255784
6800,0.212035295624448
6900,0.132166299376792
7000,0.123224375411287
7100,0.0357352615075354
7200,0.0198748635140916
7300,0.00368400136419938
7400,0.0339515116958347
7500,0.0138302376946934
7600,0.00112401648557512
7700,0.031123861291459
7800,0.00159362549800797
7900,0.0167276939047308
8000,0.025386979681448
8100,0.00407898904581284
8200,0.0204048428962262
8300,0.0103439285981541
8400,0.0432609165242562
8500,0.0338215997817474
8600,0.0116166576297142
8700,0.0267505965105217
8800,0.0129602952548476
8900,0.0353145696346708
9000,0.0121813478127513
9100,0.0710291906194178
9200,0.0296083350592436
9300,0.0858055145361813
9400,0.102912864190892
9500,0.0400394523636192
9600,0.00580645161290323
9700,0.0286532287993634
