"calBP","heaMW"
700,0.205602958072304
800,0.224525434965687
900,0.231425815508763
1000,0.33000630167445
1100,0.172059703258124
1200,0.199677908110031
1300,0.449156721030932
1400,0.107071268082098
1500,0.248367198872074
1600,0.295381106404716
1700,0.16745813901209
1800,0.390036877273935
1900,0.144670416068689
2000,0.235499001150885
2100,0.256967873747163
2200,0.110489510489511
2300,0.314881704415326
2400,0.139061795034129
2500,0.123496503240982
2600,0.245980391394558
2700,0.185872684546572
2800,0.1936699437486
2900,0.0122891267527571
3000,0.237042472639225
3100,0.151341112871835
3200,0.328471077340588
3300,0.231354217500604
3400,0.302548636156533
3500,0.108506823862628
3600,0.363511169418994
3700,0.290164236830662
3800,0.17253491143255
3900,0.30048666555342
4000,0.239485015492048
4100,0.2066849988984
4200,0.172663618897105
4300,0.206866477858844
4400,0.174973300854559
4500,0.166776705913998
4600,0.206668359295811
4700,0.074176632154448
4800,0.0756004655592
4900,0.2459480163213
5000,0.0939544079735915
5100,0.329302557460336
5200,0.0548097791415444
5300,0.275327284085816
5400,0.0484601301206395
5500,0.0677643966065258
5600,0.245404720143173
5700,0.0616177629083553
5800,0.245066016722338
5900,0.116111310500501
6000,0.181200010136393
6100,0.0632417644018906
6200,0.133776803325896
6300,0.0835663868671756
6400,0.234810124582647
6500,0.192830175698212
6600,0.163981353386924
6700,0.200188921711651
6800,0.0139751552795031
6900,0.261166417488714
7000,0.224341362378129
7100,0.0640829569435492
7200,0.175968058703596
7300,0.0830869367492257
7400,0.192720375877823
7500,0.0476188866617768
7600,0.158362307493662
7700,0.169789094729281
7800,0.259513646299632
7900,0.11737636843542
8000,0.131683377635683
8100,0.15817563584387
8200,0.133685969778662
8300,0.225960134456387
8400,0.0422322775263952
8500,0.0987551463796785
8600,0.196372175475896
8700,0.266419212677443
8800,0.153971018481703
8900,0.193381658707636
9000,0.184157379631471
9100,0.331733237910153
9200,0.194349213026256
9300,0.263542617142948
9400,0.176876357809796
9500,0.238057489167002
9600,0.109106815869786
9700,0.180523336411721
