"calBP","araN"
1400,0.0345972790894802
1500,0.0420154204068594
1600,0.128065707611343
1700,0.0645165023884784
1800,0.0818763661793963
1900,0.0486762355583941
2000,0.0351059774799042
2100,0.0296211018399863
2200,0.0218306513680608
2300,0.0212717335192694
2400,0.0839476607389487
2500,0.0414734404710436
2600,0.0460620199328027
2700,0.0284625694188266
2800,0.0142897932410316
2900,0.0436969599162626
3000,0.0126798622530844
3100,0.0341602948470908
3200,0.0122343333287935
3300,0.0313843126053758
3400,0.0279921139918362
3500,0.031341338773172
3600,0.0169485524338646
3700,0.0196761804209832
3800,0.0309300417047673
3900,0.0242658596639078
4000,0.0616450897524755
4100,0.0201178049216418
4200,0.033324093186695
4300,0.0210553873170696
4400,0.0100533932532578
4500,0.0182402137760032
4600,0.00998778038613765
4700,0.0370560256574961
4800,0.0364897439806118
4900,0.0329446190037343
5000,0.039746198517939
5100,0.0224426695830131
5200,0.0144194794262871
5300,0.0360190948955714
5400,0.0240982050372196
5500,0.0419966008762627
5600,0.0215193400730672
5700,0.0257977204319715
5800,0.0263641468660154
5900,0.0197785150391785
6000,0.0206051336172579
6100,0.0336574442171185
6200,0.0143615698806593
6300,0.0200401790448422
6400,0.0121054355833068
6500,0.0120949058335098
6600,0.0306640299312684
6700,0.00671708655414016
6800,0.00998557176263802
6900,0.0104123444560102
7000,0.00964894372838998
7100,0.0392261455311112
7200,0.0104813664596273
7300,0.0506590281884323
7400,0.0208374826188039
7500,0.0173256733553698
7600,0.051135948843632
7700,0.00722425058113695
7800,0.00978494623655914
7900,0.0189199503525199
8000,0.0306366138256673
8100,0.0161410544420255
8200,0.0162380814533851
8300,0.0242849282396013
8400,0
8500,0.0318002879616418
8600,0.0157181961699546
8700,0.017960542040534
8800,0.0069438719299692
8900,0.026748831281329
9000,0.0196030209788457
9100,0.0168300653594771
9200,0.0376116997723189
9300,0.017327931172469
9400,0.74957688862699
9500,1.50255113040349
9600,2.18756929008395
9700,1.39733547642749
