"calBP","decN"
1400,2.42252327610519
1500,2.73031049296975
1600,4.16703745762458
1700,4.19742787400164
1800,4.00533919270746
1900,3.58010292836182
2000,4.03062554866487
2100,3.8377591622598
2200,2.64259475196201
2300,3.4956279253728
2400,5.18183952656548
2500,4.14601743121627
2600,5.02170390061755
2700,3.65758679310176
2800,3.47010532864552
2900,4.1244976662142
3000,3.42216480835514
3100,4.14291213404769
3200,4.05705756424171
3300,3.00848399291975
3400,3.71636788916017
3500,3.91771379613101
3600,4.13891309035332
3700,1.51759522396442
3800,5.04044834147964
3900,2.26996179544728
4000,3.97733534808953
4100,3.05543473931618
4200,4.24332771113122
4300,2.69891184087446
4400,2.77006470468076
4500,3.20812050682986
4600,3.06421157597823
4700,2.75214824302065
4800,4.4417990246084
4900,4.15633833397722
5000,3.33878187293767
5100,2.88951286653871
5200,2.78227494096399
5300,4.0481922641331
5400,3.25855439899809
5500,3.65766459587518
5600,2.89841602217581
5700,2.51931611341623
5800,5.13734066380006
5900,2.11835501826059
6000,3.75121883797898
6100,3.75570646584779
6200,2.89632334338052
6300,4.43047395372356
6400,2.18084079998036
6500,4.0385057983143
6600,2.60369651127271
6700,3.05558405742584
6800,3.23511025282955
6900,1.71459639143075
7000,2.15095180238556
7100,4.71973703105453
7200,2.13055076836682
7300,3.00691354493819
7400,2.66353045821492
7500,4.10909193850746
7600,6.01563946804347
7700,2.46513967477712
7800,3.38447605297184
7900,5.27048818048753
8000,3.02798532590088
8100,3.34862861819308
8200,3.48999417179264
8300,4.26391810640483
8400,2.24760275198481
8500,4.99999493025816
8600,4.28993366753767
8700,4.42081360323095
8800,1.40008866597302
8900,4.66213434799936
9000,5.00565671739743
9100,1.2567214790884
9200,6.44791331939032
9300,1.52335034013605
9400,4.8838259588916
9500,3.28163598851855
9600,3.63855596828553
9700,3.82008610377928
