"calBP","wetwMW"
700,0.489266168285242
800,0.266500572569755
900,0.141199088307991
1000,0.255007415478058
1100,0.263364246456107
1200,0.144234155011842
1300,0.36708868338835
1400,0.115462876473707
1500,0.193557559195878
1600,0.291611457546349
1700,0.159540646731852
1800,0.390286213635466
1900,0.171616252833061
2000,0.221277919455808
2100,0.321318836331455
2200,0.137562437562438
2300,0.375306154856213
2400,0.216818758746263
2500,0.144517165369411
2600,0.295669574220659
2700,0.20184914881038
2800,0.334739523080828
2900,0.109224730306494
3000,0.264881202060982
3100,0.300219010565004
3200,0.337075738920685
3300,0.201530795158133
3400,0.460177162196391
3500,0.186998639717696
3600,0.67335064886596
3700,0.193747022301924
3800,0.353902537481909
3900,0.4209444897706
4000,0.360783444287567
4100,0.42591530018275
4200,0.299255087495693
4300,0.0665547573944521
4400,0.323914961232378
4500,0.103938182396166
4600,0.291606210222925
4700,0.309681140754897
4800,0.1055639810798
4900,0.40708612238913
5000,0.275082516556281
5100,0.229782202248574
5200,0.274667030211935
5300,0.302583381097006
5400,0.124579069539347
5500,0.291641497259716
5600,0.414334821873869
5700,0.201445230060007
5800,0.462999994709948
5900,0.475902161173358
6000,0.207284676561684
6100,0.328707533298025
6200,0.528083913824527
6300,0.300578585284796
6400,0.756233002462875
6500,0.735384967894425
6600,0.452948278759552
6700,0.426750236741468
6800,0.127329192546584
6900,0.9068965723312
7000,0.196563405364598
7100,0.517049327484554
7200,0.663554272926948
7300,0.452205863053033
7400,0.676559456459427
7500,0.254450750213792
7600,0.671099441343657
7700,0.470193681705506
7800,0.420895106690666
7900,0.752831754102163
8000,0.539790446819312
8100,0.289504098498542
8200,0.615850161333218
8300,0.561302609918445
8400,0.0165912518853696
8500,0.424176897102322
8600,0.220388869947365
8700,0.222788121460007
8800,0.263356402700288
8900,0.165650305053243
9000,0.185347584695411
9100,0.201345768774447
9200,0.129715707925825
9300,0.140335916616594
9400,0.1409721088777
9500,0.116756018990927
9600,0.0678521532722957
9700,0.121661383773837
