"calBP","heaMM"
700,0.272145310622434
800,0.228452297355395
900,0.240541636656406
1000,0.219882186108158
1100,0.126536597019239
1200,0.179730592271709
1300,0.216481730932589
1400,0.135265896348651
1500,0.140521349928026
1600,0.173240169392501
1700,0.047298194123832
1800,0.123796782302676
1900,0.176784404165525
2000,0.0863119388920075
2100,0.116903589498948
2200,0.0252612641840909
2300,0.0652171382744188
2400,0.140739445495835
2500,0.0583177265361042
2600,0.133864329865645
2700,0.0530938819431792
2800,0.0629788744531963
2900,0.127131369698778
3000,0.0456840536239386
3100,0.0934996850552598
3200,0.0684008621391671
3300,0.0894036464471503
3400,0.0809509079280561
3500,0.0354488813241092
3600,0.158143642500121
3700,0.0743478647168389
3800,0.0665157609211012
3900,0.110789726117357
4000,0.0332885328574725
4100,0.130245337957558
4200,0.0282277036743704
4300,0.0602836260524461
4400,0.101089237635082
4500,0.0198399673103899
4600,0.040394317161601
4700,0.0955873999786456
4800,0.0445702703419774
4900,0.0168127856984451
5000,0.120677286174206
5100,0.0715673722766932
5200,0.0652656001084855
5300,0.096339437600122
5400,0.0351682702347847
5500,0.0370069190823717
5600,0.0570164017562784
5700,0.0408068422767867
5800,0.0618342202044169
5900,0.0645007401331269
6000,0.0181139898700205
6100,0.0563966577555266
6200,0.0376775511117125
6300,0.0239180689011069
6400,0.0312388716307743
6500,0.037006816151224
6600,0.02999557085929
6700,0.0650108793887839
6800,0.00897852884163479
6900,0.0305045164126978
7000,0.0470621263543944
7100,0.0145084065428998
7200,0.0520129314757026
7300,0.0153289211813518
7400,0.0514885953906904
7500,0.0513686112774534
7600,0.00626992338935978
7700,0.0754976786950958
7800,0.0458473360174539
7900,0.0142656987910414
8000,0.0661340284487953
8100,0.117970439803841
8200,0.103624131697526
8300,0.143325425670154
8400,0.0706044266762738
8500,0.114178226231092
8600,0.0656264902588117
8700,0.0559931117123316
8800,0.123383830466974
8900,0.026266651871489
9000,0.0720661829613514
9100,0.0639146413080293
9200,0.0531620714362298
9300,0.0397734117380826
9400,0.0366286619944012
9500,0.0674808522357735
9600,0.0705731368516226
9700,0.112197954344628
