"dataset_ID","meantimes","Echium","Echium.vulgare","Gnaphalium","Portulaca","Potentilla","Potentilla.recta","Sagina","Spergularia","Verbascum","Xanthium"
"12",7431.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7490.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7541.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7599.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7688.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7759.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7810.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7856.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7898.493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7938.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",7980.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8025.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8072.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8125.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8219.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8313.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8382.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8414.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8444.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8473.566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8503.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8532.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8561.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8590.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8622.269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8651.757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8680.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8709.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8738.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8766.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8796.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8824.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8853.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8881.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8909.463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8938.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8967.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8997.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9025.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9053.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9081.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9109.566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9139.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9168.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9197.912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9226.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9257.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9287.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9315.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9344.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9374.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9433.605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",9495.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
