"calBP","wetwSM"
1400,0.808583651850397
1500,0.617654183743292
1600,1.2784320891983
1700,1.22218474208824
1800,1.76466616140347
1900,0.536076247942951
2000,0.633671206996347
2100,0.178653113087675
2200,0.983744876842
2300,0.546282879075311
2400,0.522137151082149
2500,0.344218834511703
2600,0.156345957011259
2700,0.554711999809509
2800,0.331327629506059
2900,0.695985235953884
3000,0.455193738465602
3100,0.70951889082439
3200,0.600020524874681
3300,0.883194532510903
3400,0.131377551020409
3500,0.473389355742297
3600,0.802633621390006
3700,0.888719310886355
3900,0.833207176411778
4000,1.00580960404687
4100,0.478013029315961
4200,0.82935993417466
4300,0.566661050834512
4400,0.835679335998279
4500,0.995749800526378
4600,0.349574921953978
4700,1.13893183034759
4800,0.398607040800489
4900,0.817103931232472
5000,1.38835481545661
5100,0.223278813236972
5200,1.40541889992228
5300,0.783292132310717
5400,0.289111389236546
5500,1.1962299830868
5600,0.633789452539094
5700,0.42905547247369
5800,0.366412213740458
5900,0.472528063453653
6000,0.614234449760765
6100,0.73154997344963
6200,0.772748630275934
6300,1.01236191564987
6400,0.806157727199263
6500,0.875454290639989
6600,0.604212162808593
6700,0.409611465782369
6800,0.571670475304522
6900,0.580845833037132
7000,0.657826363203159
7100,0.669811899623859
7200,0.76918878715846
7300,0.708715281981221
7400,0.698076594450244
7500,0.486815858277044
7600,0.304549347007718
7700,0.341114991518894
7800,0.214693723433786
7900,0.607809815152754
8000,0.727919639713986
8100,0.414097430460077
8200,0.615723730598525
8300,0.591136172861097
8400,1.10374297262376
8500,0.889682517452063
8600,0.497793787984139
8700,1.1900182564103
8800,1.14488557130108
8900,1.16204972926167
9000,0.53238154122568
9100,0.501900810270748
9200,0.286656098034939
9300,0.245713049378689
9400,0.330505525289694
9500,0.233361904985558
9600,0.08
9700,0.124917074965709
