"calBP","araMM"
700,0.0266327463067786
800,0.0329277278478333
900,0.0274428793211338
1000,0.0263929700679973
1100,0.0106127616325148
1200,0.0165434647719237
1300,0.019586970320973
1400,0.0190067662281698
1500,0.0150397230946335
1600,0.0113136189124355
1700,0.0096585327761098
1800,0.0118552890045939
1900,0.00658656620424355
2000,0.0121585458062885
2100,0.00365891768494537
2200,0.00249687890137328
2300,0.00456790456655863
2400,0.00991685681653208
2500,0.00724554900550118
2600,0.00449282584252492
2700,0.00595872360132654
2800,0.00199716139497162
2900,0.012915940939429
3000,0.00414866504343749
3100,0.0120026449867938
3200,0.00782198519379903
3300,0.00889492460433113
3400,0.00865203956904607
3500,0.0063407038969707
3600,0.00783852988919352
3700,0.0114020007918428
3800,0.013060710070446
3900,0.00519009385088956
4000,0.00350821288660986
4100,0.00828709629390576
4200,0.00330722441126665
4300,0.00568629838276885
4400,0.00493720004564765
4500,0.00284691780684852
4600,0.00292441943425586
4700,0.00275907260088644
4800,0.00740671343536322
4900,0.0013481034110868
5000,0.0036676977463544
5100,0.00323552945075218
5200,0.00518764577651169
5300,0.0080872050496212
5400,0.00248844222360042
5500,0.0116469267001796
5600,0.00950890086626832
5700,0.00561585881484564
5800,0.00574078639693226
5900,0.0135034884496863
6000,0.00593057735914878
6100,0.00212132763213184
6200,0.00483354764416447
6300,0.0043702878945577
6400,0.00183359152799591
6500,0.0016597510373444
6600,0.00434548903023737
6700,0.00266460100195386
6800,0.000664010624169987
6900,0.00509488074970988
7000,0.00234052324614761
7100,0.00634309348627249
7200,0.0046005321149296
7300,0.00241731593261464
7400,0.00571644222317823
7500,0.00491709981325141
7600,0.0050251256281407
7700,0.00391598745463198
7800,0.00164352453837254
7900,0.00396283398900989
8000,0.00321517896792526
8100,0.00419043955809133
8200,0.00676347441993145
8300,0.00372696471663376
8400,0.00479229256285642
8500,0.00755791145056935
8600,0.00273718602974401
8700,0.0051887134047839
8800,0.00833578964393128
8900,0.00145137880986938
9000,0.00352131525343761
9100,0.00334357917697384
9200,0.00267022696929239
9300,0.00951282125656128
9400,0.00620454587983991
9500,0.00791949546173773
9600,0.00411435485016424
9700,0.00263718516991375
