"calBP","decSM"
1400,1.2964477287178
1500,1.10005067395086
1600,2.15602771030575
1700,0.924691193424499
1800,2.6778796106537
1900,0.781710916072408
2000,1.26171269392293
2100,0.430749682337993
2200,1.64507964160894
2300,1.21365896534744
2400,0.840712559958585
2500,1.31791048700912
2600,0.41171954964176
2700,0.791898432012191
2800,0.838694295664952
2900,1.60560867241643
3000,0.750689740812889
3100,1.14274553943902
3200,1.1931047376003
3300,1.15165995268125
3400,0.450255102040817
3500,0.23155929038282
3600,1.76338351601623
3700,1.29798070702938
3900,1.30467049192438
4000,1.70210404686909
4100,0.192182410423453
4200,1.37309040469817
4300,0.781702495675809
4400,0.612390496250231
4500,1.08841024930518
4600,0.66608104316691
4700,0.607772130468374
4800,0.678561483753754
4900,0.447307243792533
5000,1.56350173761671
5100,0.645872955496387
5200,1.58532497604153
5300,1.29594575278853
5400,0.375469336670839
5500,1.42042420838562
5600,1.07145918054377
5700,0.997727799814464
5800,0.302071973827699
5900,0.979296901256973
6000,0.226674641148325
6100,1.44172671962805
6200,0.988253906709215
6300,1.18134992486883
6400,0.809019297955345
6500,1.73019749131599
6600,0.872278030822987
6700,1.12733011497364
6800,1.03372363445166
6900,1.2270737067842
7000,0.929803263064739
7100,1.34168264845638
7200,1.93764275270774
7300,1.30735159210414
7400,2.04374156599816
7500,1.49853040620563
7600,0.620417746765868
7700,1.14697385613631
7800,0.563473528392134
7900,1.44345669161299
8000,1.33519763680713
8100,0.888908290027535
8200,1.50789074466279
8300,1.24319512761776
8400,2.50031293397444
8500,1.96468661476306
8600,1.51620527322652
8700,2.41499173911737
8800,2.106411653533
8900,2.80226595067145
9000,2.04465098598147
9100,3.17425138346749
9200,2.1534526301442
9300,2.24558483441811
9400,2.44270311125934
9500,0.927678494547902
9600,0.230645161290323
9700,1.25015709584731
