"calBP","pasN"
1400,0.323493333842171
1500,0.275787814131795
1600,0.850076827133715
1700,0.516354668239351
1800,0.513207663666268
1900,0.334639764778326
2000,0.39907495501442
2100,0.316026846754631
2200,0.152492091090684
2300,0.362267143294189
2400,0.459958409397118
2500,0.38604120270942
2600,0.367762199323082
2700,0.315765497628899
2800,0.260058945911955
2900,0.463169213082422
3000,0.175302520399028
3100,0.375523948834888
3200,0.208201895345506
3300,0.322797731453628
3400,0.224793439900479
3500,0.318462862100708
3600,0.28640003913891
3700,0.109272649503747
3800,0.411476364349184
3900,0.207431141978782
4000,0.258361695155363
4100,0.227839889528278
4200,0.273831511562873
4300,0.158285216509515
4400,0.186026751623912
4500,0.194760610490392
4600,0.165034200479852
4700,0.297990915559234
4800,0.359055331615542
4900,0.285212977376344
5000,0.210248651079584
5100,0.250529359851661
5200,0.159447244496669
5300,0.211288049516669
5400,0.251064194498971
5500,0.181229668509153
5600,0.245155025529827
5700,0.132366507293784
5800,0.422254268242952
5900,0.226950612468021
6000,0.152334224785266
6100,0.263919870345646
6200,0.0804271735342065
6300,0.232549008561836
6400,0.0986598183102675
6500,0.211219349754973
6600,0.204591905620303
6700,0.1660693640989
6800,0.161260985310132
6900,0.119695458970518
7000,0.133351018164065
7100,0.281740965653405
7200,0.110585722874719
7300,0.300882331482334
7400,0.148142639834944
7500,0.391993705432264
7600,0.386523729910557
7700,0.21400823086011
7800,0.246005833101661
7900,0.344311380241312
8000,0.309891745669947
8100,0.315920647871787
8200,0.219069408719832
8300,0.509342064468027
8400,0.10629846072861
8500,0.55919344499945
8600,0.270634447331781
8700,0.451325086138275
8800,0.245983848520328
8900,0.339469288420085
9000,0.336682003470821
9100,0.105538514902001
9200,0.538463546944297
9300,0.191494597839136
9400,0.25567229000271
9500,0.434296715450966
9600,0.442154156033773
9700,0.484569232592037
