"calBP","decSW"
700,2.86378500669057
800,3.99583583436898
900,2.58987266664586
1000,3.73356220191302
1100,3.12009910915111
1200,2.63758281545806
1300,2.51236118813006
1400,1.91941750653698
1500,2.82283433557038
1600,2.26251244046634
1700,2.79783616918066
1800,2.36102327237912
1900,3.82834126487777
2000,2.53783436911737
2100,2.23014914567922
2200,3.02534821373254
2300,2.80226742665104
2400,1.9746559936187
2500,3.65645682381288
2600,2.18199409085102
2700,2.58440913271324
2800,2.28263447493197
2900,2.72231163271163
3000,2.61970714971042
3100,2.43135723024128
3200,2.29642062907015
3300,2.35116083041948
3400,2.75926875449745
3500,3.03185768167987
3600,1.52498131975421
3700,2.49634680640069
3800,2.13529604755787
3900,1.67066201867697
4000,1.17942376644919
4100,2.91744431850273
4200,1.73560027487446
4300,1.02067485138446
4400,2.34123623340002
4500,2.45546554400231
4600,0.814413230926412
4700,2.84208133842327
4800,1.49741231402663
4900,1.81270232806994
5000,1.79533359678549
5100,1.77319450393543
5200,2.5653558440285
5300,1.27400516310713
5400,2.22132723139524
5500,1.54902892336793
5600,2.14523971156881
5700,1.37066966073339
5800,2.56098831037769
5900,1.79422500416022
6000,2.30980786940093
6100,2.67598810150323
6200,1.88678411267596
6300,2.84869849279542
6400,2.1931746268053
6500,2.16496249494897
6600,2.97284778202996
6700,2.17602092005286
6800,1.08384975888227
6900,2.88754397416386
7000,2.62037587237604
7100,1.61009986345174
7200,1.89939047484508
7300,2.04146660761545
7400,3.34083275653906
7500,2.37162336333686
7600,1.61970519860131
7700,2.68960749134178
7800,3.19846563770547
7900,2.95525701915569
8000,3.110569766877
8100,2.77452680851661
8200,3.4230638505217
8300,2.43272934239798
8400,1.75732868391272
8500,3.51353728104742
8600,2.65539663681605
8700,4.1544626191938
8800,2.19417129829191
8900,1.846392813059
9000,4.02988545773256
9100,3.72581920887736
9200,2.86776117390069
9300,2.63264458041068
9400,0.593952910240475
9500,1.19031543915276
9600,1.86633151310723
9700,2.0442426708426
