"calBP","SPD_med"
9700,0.00062282256701985
9600,0.000876504904697746
9500,0.00127671077429814
9400,0.00648442748345679
9300,0.00744021165838324
9200,0.00838227667265473
9100,0.00828982604082445
9000,0.00494154701439289
8900,0.00610236782204804
8800,0.00628192536082522
8700,0.00560430075439038
8600,0.00575394806546034
8500,0.00788444019725348
8400,0.00719632929353819
8300,0.000829145808833945
8200,0.000270202083111181
8100,0.00413907431266806
8000,0.0040641501110346
7900,0.0182506009697241
7800,0.0142562368465575
7700,0.0130468516981616
7600,0.00983792762333354
7500,0.0109819645951527
7400,0.00324127219686088
7300,0.00453110089450805
7200,0.0199418642415781
7100,0.0120177672482673
7000,0.0116784130013322
6900,0.00893603819197359
6800,0.00976606317720316
6700,0.0115250746177271
6600,0.0165778888925529
6500,0.0176556639475802
6400,0.0123001381666488
6300,0.012616108505525
6200,0.0246114757977164
6100,0.0211226158694251
6000,0.0207024329513403
5900,0.0276657935414934
5800,0.0208380732334571
5700,0.0235836967680849
5600,0.0227515282564877
5500,0.0204195263123744
5400,0.00990502481432169
5300,0.00953678466906759
5200,0.019839663889543
5100,0.0200143305633808
5000,0.0201920687468241
4900,0.0299519922547222
4800,0.0299512707038206
4700,0.0215350296716837
4600,0.0207456248615014
4500,0.0213598609025645
4400,0.0133351223081813
4300,0.014472923079894
4200,0.0175769221759519
4100,0.0159622387367713
4000,0.0134922857896518
3900,0.0127414326675369
3800,0.0120272198999638
3700,0.0139312134669195
3600,0.0247321625455589
3500,0.0393361603397865
3400,0.0395159330638826
3300,0.0397021037732623
3200,0.0409536607036616
3100,0.0427013398878816
3000,0.0407425092035893
2900,0.05326010334218
2800,0.0628627846105848
2700,0.0721976210356251
2600,0.0696767213094019
2500,0.0667118417251671
2400,0.081901911731574
2300,0.123704493125216
2200,0.151103733760014
2100,0.16311762507111
2000,0.177689423342968
1900,0.17096562603754
1800,0.191963929109422
1700,0.236545094406955
1600,0.266513044728602
1500,0.332243641556822
1400,0.359110936062394
1300,0.251758092487332
1200,0.176356689418615
1100,0.175023098610283
1000,0.234674812994463
900,0.27705727284132
800,0.347245778233131
700,0.412313865107004
