"calBP","SPD_med"
9700,0.00268846654053476
9600,0.00370157292917644
9500,0.00614025311412101
9400,0.0177730566702264
9300,0.0129158838404493
9200,0.0100973857437775
9100,0.0101476286538156
9000,0.0149869653826892
8900,0.0233540059206281
8800,0.0226602105745247
8700,0.0294047826006765
8600,0.0358279396866661
8500,0.0537241246546632
8400,0.0247216733581259
8300,0.028043472799919
8200,0.0231570457804247
8100,0.0423477739825084
8000,0.0461181282026373
7900,0.0710349859267223
7800,0.0689319194014979
7700,0.0561370787218533
7600,0.0509984959689602
7500,0.080189854312084
7400,0.0689432185610417
7300,0.0765757006830666
7200,0.0788877170405923
7100,0.0753567077854768
7000,0.0753815741214467
6900,0.0740939705207255
6800,0.0505916154850474
6700,0.052179890469562
6600,0.0986989931756826
6500,0.081118841679012
6400,0.0858157712138832
6300,0.101936194038529
6200,0.135560197242902
6100,0.098476107112537
6000,0.0944618707166596
5900,0.125349773195378
5800,0.10056531640595
5700,0.102238993915922
5600,0.0935155494723838
5500,0.129278009203086
5400,0.104084323612255
5300,0.106817834134943
5200,0.0834190615389582
5100,0.0878591707025648
5000,0.0932284964560635
4900,0.127003482358447
4800,0.13854768963505
4700,0.0957073915023408
4600,0.0951302069926066
4500,0.0953873654514655
4400,0.115080636379853
4300,0.103256435412695
4200,0.102002952739462
4100,0.116061837592432
4000,0.135199730371362
3900,0.15770493674815
3800,0.155944810024624
3700,0.14067029720617
3600,0.153614379485126
3500,0.156644684949194
3400,0.0853955206892512
3300,0.104447571665582
3200,0.107885120433756
3100,0.0865273255424593
3000,0.0799021248959402
2900,0.0735347615419406
2800,0.0823265316179848
2700,0.109133154820383
2600,0.0971552869758551
2500,0.0846512611107465
2400,0.124628272471354
2300,0.183246733802895
2200,0.180137324675195
2100,0.179115456614381
2000,0.167721077282217
1900,0.121142825608903
1800,0.111176259021269
1700,0.102311111666928
1600,0.119041511771543
1500,0.163262179680343
1400,0.179263062105979
