"calBP","SPD_med"
9700,0.0000346026020821043
9600,0.0000662056179329595
9500,0.000122306268788378
9400,0.00272748100759499
9300,0.0064570019720357
9200,0.00545774640815048
9100,0.00569031935019587
9000,0.00863633522600947
8900,0.00954189349021869
8800,0.00942361334843759
8700,0.00867320956298699
8600,0.00705621835570299
8500,0.0158664291282253
8400,0.0172664128701778
8300,0.00836142243236807
8200,0.00753249166091292
8100,0.00249540776675514
8000,0.00270294515321807
7900,0.00366503977757405
7800,0.0151229297240699
7700,0.022942651214167
7600,0.0178593958472747
7500,0.00360076851600782
7400,0.00140623206277439
7300,0.0140057406517499
7200,0.00410824031111522
7100,0.00684536314764795
7000,0.00716083552473083
6900,0.00418236848218751
6800,0.00246054944977814
6700,0.00779555929283718
6600,0.0182987510243136
6500,0.00986922412697101
6400,0.00740058587885387
6300,0.0182370711956106
6200,0.0178076586560039
6100,0.0161951775257933
6000,0.0149139611832174
5900,0.00978762537059225
5800,0.00897775044112315
5700,0.00953125822388071
5600,0.0113036979197702
5500,0.00677751108630705
5400,0.00988832762870109
5300,0.00971444779578844
5200,0.0090171945741553
5100,0.00975314771131062
5000,0.0101076290366109
4900,0.0150103548049006
4800,0.0147582157859355
4700,0.0126311170054886
4600,0.0115256656808197
4500,0.0153461475730063
4400,0.0131241504379625
4300,0.014946428839205
4200,0.0136459324716627
4100,0.0202356125012592
4000,0.0288977141877383
3900,0.0321942370758377
3800,0.0251034123647679
3700,0.0223989408971163
3600,0.0145969614553419
3500,0.0145512063685927
3400,0.0310666516152961
3300,0.0271065503474147
3200,0.0212625358546974
3100,0.017414053082473
3000,0.0141288182630184
2900,0.0240379592463194
2800,0.0471910423867746
2700,0.0480223248866729
2600,0.0574331430781724
2500,0.0591405845864932
2400,0.0572274743944713
2300,0.064527685409312
2200,0.0487527769946116
2100,0.0440626757080625
2000,0.0434021897602691
1900,0.0505661310716932
1800,0.0611991509428612
1700,0.0723681829940085
1600,0.0933822623042284
1500,0.10234578418003
1400,0.0970067596929624
1300,0.110726587587756
1200,0.0911375877785089
1100,0.090060779149446
1000,0.121070011082707
900,0.126297764298784
800,0.195451628115961
700,0.311908912293685
