"calBP","SPD_med"
9700,0.000818709495470561
9600,0.000753942425411652
9500,0.00104786660304372
9400,0.00360207532684378
9300,0.00352230458828873
9200,0.00395223216286782
9100,0.00413507579867761
9000,0.00489577977467854
8900,0.00426856101859818
8800,0.00434285595013764
8700,0.00400809993864531
8600,0.00384179409700712
8500,0.00351174867589962
8400,0.00348061263716718
8300,0.00410516302333274
8200,0.00446366279605972
8100,0.00421616954812989
8000,0.00427195777430758
7900,0.00527213004818016
7800,0.0053630567355611
7700,0.00471233139707818
7600,0.00456230667810437
7500,0.00526989667514724
7400,0.00554070103540826
7300,0.00642639014476465
7200,0.00636632386531377
7100,0.0067555881696385
7000,0.0068221795362404
6900,0.00830630616710415
6800,0.00920201538798954
6700,0.00891561724484386
6600,0.00776943239018962
6500,0.00767993299593354
6400,0.00812171940433994
6300,0.00874741536627362
6200,0.00972682075028993
6100,0.0101515780706647
6000,0.0101659470607115
5900,0.0101477660561775
5800,0.0107416809350941
5700,0.0107635806124917
5600,0.0117090743983817
5500,0.00684529561585023
5400,0.00522811100383422
5300,0.00526620722996435
5200,0.00507888232952973
5100,0.00487520486260966
5000,0.00524437114312549
4900,0.00778308765408068
4800,0.010658161998237
4700,0.0106346186615736
4600,0.0101197873755507
4500,0.00906707960573829
4400,0.00663224960101836
4300,0.00396580756397974
4200,0.00412958989565763
4100,0.00512995215882744
4000,0.00584035990380515
3900,0.00656694179988931
3800,0.00739437654207166
3700,0.00753855601314262
3600,0.00536742475993976
3500,0.00522633584320795
3400,0.00908502406210605
3300,0.00646405781490821
3200,0.00636367664548769
3100,0.00747634916119147
3000,0.00887309495751814
2900,0.0131032062309655
2800,0.0181327681971941
2700,0.0188563970991225
2600,0.0150518410265174
2500,0.0156256672874594
2400,0.0144783002615419
2300,0.0131369475833036
2200,0.0109993082693885
2100,0.0107389337925452
2000,0.0101941417913654
1900,0.00974631542919441
1800,0.00963001855530118
1700,0.00924257419598311
1600,0.00964597402691263
1500,0.0107311081132514
1400,0.0152449085861521
1300,0.0220048330503364
1200,0.0175417136157949
1100,0.0177107810973295
1000,0.0208399702724798
900,0.0234320950556434
800,0.0230476046926968
700,0.0197095314231729
600,0.0250022484562062
500,0.0264257315896965
