"calBP","SPD_med"
9700,0.026283013037533
9600,0.0355161786706541
9500,0.0627130068760997
9400,0.0560080834108675
9300,0.0457694575624395
9200,0.0383308343426875
9100,0.0360157107053128
9000,0.0315902056497526
8900,0.0374562647475514
8800,0.038225495536744
8700,0.0346590444500911
8600,0.0343483001062904
8500,0.0421940207894556
8400,0.0418395439144559
8300,0.0418642191200059
8200,0.0606180598438105
8100,0.0682420553075852
8000,0.0678569130604933
7900,0.0871298018229269
7800,0.105519078935788
7700,0.101493833271581
7600,0.0952966918555369
7500,0.0758826707146461
7400,0.0839626429572275
7300,0.0933476137769322
7200,0.0632511616724496
7100,0.0588038908609143
7000,0.05874095101969
6900,0.0612316577915068
6800,0.0710869993217112
6700,0.0811992867862291
6600,0.0738490267649589
6500,0.071734079060781
6400,0.0749365704046029
6300,0.0789740936856406
6200,0.0627518796691164
6100,0.0810470686714404
6000,0.085212167481652
5900,0.124935988192113
5800,0.182799578618216
5700,0.191214405058101
5600,0.286935368291124
5500,0.325141259254457
5400,0.303539970567995
5300,0.298541800917724
5200,0.221878944500004
5100,0.222986817441281
5000,0.229421752521631
4900,0.271340323254892
4800,0.275277332060325
4700,0.226055927863505
4600,0.21210829680677
4500,0.201818990919839
4400,0.196051203829478
4300,0.160604044771409
4200,0.160039681798992
4100,0.203835778139881
4000,0.239156690384321
3900,0.234457127991959
3800,0.256779014528011
3700,0.268205784895791
3600,0.244045730237264
3500,0.268661007627017
3400,0.423885242610624
3300,0.373931180169862
3200,0.329765822624567
3100,0.318833599060141
3000,0.335179458651335
2900,0.408200484635033
2800,0.411267610286886
2700,0.467884126846064
2600,0.355833471603235
2500,0.361800609693341
2400,0.386597549500892
2300,0.552104592022231
2200,0.50703791591382
2100,0.462581661600049
2000,0.443395485549681
1900,0.403104410588389
1800,0.407127769178347
1700,0.443247422371677
1600,0.519767826187926
1500,0.501064094238584
1400,0.442785937968547
