"Equation","Excluded","F","df1","df2","p.F","sig.F","Chisq","df","p.Chisq","sig.Chisq","Causality"
"heaMMs","SPD|clim",2.06454538142484,8,67,0.0517414034054409,".  ",16.5163630513987,8,0.0355582045459919,"*  ","heaMMs <= SPD|clim"
"araMMs","SPD",3.8631835847295,4,67,0.00696095542902966,"** ",15.452734338918,4,0.0038487070509591,"** ","araMMs <= SPD"
"araMMs","clim",1.17234273109349,4,67,0.330933443404261,"   ",4.68937092437394,4,0.320679593553814,"   ","araMMs <= clim"
"araMMs","SPD|clim",2.65590810451228,8,67,0.0135650188250926,"*  ",21.2472648360982,8,0.00651880302418019,"** ","araMMs <= SPD|clim"
"pasMMs","SPD",4.56979852060451,3,71,0.00553149840526337,"** ",13.7093955618135,3,0.00332862632734112,"** ","pasMMs <= SPD"
"pasMMs","clim",1.30967685591144,3,71,0.27802981535668,"   ",3.92903056773431,3,0.269230225509193,"   ","pasMMs <= clim"
"pasMMs","SPD|clim",3.34258550097155,6,71,0.00587566666151926,"** ",20.0555130058293,6,0.0027070831044847,"** ","pasMMs <= SPD|clim"
"wetmMMs","SPD",3.19751932498229,1,79,0.0775842646952053,".  ",3.19751932498229,1,0.0737500561036852,".  ","wetmMMs <= SPD"
"wetmMMs","clim",1.02889437994158,1,79,0.313515080204458,"   ",1.02889437994158,1,0.310418487535963,"   ","wetmMMs <= clim"
"wetmMMs","SPD|clim",2.70434620976962,2,79,0.073110000481615,".  ",5.40869241953924,2,0.0669140573057234,".  ","wetmMMs <= SPD|clim"
"wetwMMs","SPD",1.70622131781639,6,59,0.135473694597965,"   ",10.2373279068983,6,0.1150068811102,"   ","wetwMMs <= SPD"
"wetwMMs","clim",1.11179741601305,6,59,0.366517648629111,"   ",6.67078449607828,6,0.352368270527556,"   ","wetwMMs <= clim"
"wetwMMs","SPD|clim",1.16875250872308,12,59,0.326266764514234,"   ",14.025030104677,12,0.299112753914013,"   ","wetwMMs <= SPD|clim"
"decMMs","SPD",3.38235749536366,5,63,0.00905249120440467,"** ",16.9117874768183,5,0.00467016875553343,"** ","decMMs <= SPD"
"decMMs","clim",2.04326251667628,5,63,0.0845605481554906,".  ",10.2163125833814,5,0.0693330654202159,".  ","decMMs <= clim"
"decMMs","SPD|clim",2.06010821616834,10,63,0.0413922304047235,"*  ",20.6010821616834,10,0.0240535309049195,"*  ","decMMs <= SPD|clim"
"conMMs","SPD",0.777264185103584,6,59,0.591011296902548,"   ",4.6635851106215,6,0.587625916862298,"   ","conMMs <= SPD"
"conMMs","clim",0.778651505345798,6,59,0.589957647588552,"   ",4.67190903207479,6,0.586527330725318,"   ","conMMs <= clim"
"conMMs","SPD|clim",0.768753856336628,12,59,0.679236425953472,"   ",9.22504627603954,12,0.683597777013774,"   ","conMMs <= SPD|clim"
"heaMWs","SPD",0.951137035353902,2,75,0.390911128633286,"   ",1.9022740707078,2,0.386301535142253,"   ","heaMWs <= SPD"
