"Equation","Excluded","F","df1","df2","p.F","sig.F","Chisq","df","p.Chisq","sig.Chisq","Causality"
"heaMMs","SPD|clim",0.922897060364659,2,54,0.403542053790025,"   ",1.84579412072932,2,0.397366178129141,"   ","heaMMs <= SPD|clim"
"araMMs","SPD",1.9426472599383,1,54,0.169091075642383,"   ",1.9426472599383,1,0.163381386826332,"   ","araMMs <= SPD"
"araMMs","clim",4.22660848203055,1,54,0.0446426916944561,"*  ",4.22660848203055,1,0.039794883764672,"*  ","araMMs <= clim"
"araMMs","SPD|clim",2.11410939242187,2,54,0.130625172347748,"   ",4.22821878484373,2,0.120740774331284,"   ","araMMs <= SPD|clim"
"pasMMs","SPD",0.934767704789218,1,54,0.337937413156393,"   ",0.934767704789218,1,0.333627096745873,"   ","pasMMs <= SPD"
"pasMMs","clim",0.104334865483819,1,54,0.747935842339409,"   ",0.104334865483819,1,0.746688365841947,"   ","pasMMs <= clim"
"pasMMs","SPD|clim",0.542860811151314,2,54,0.58422125409747,"   ",1.08572162230263,2,0.581083502078687,"   ","pasMMs <= SPD|clim"
"wetmMMs","SPD",0.278396671223644,1,54,0.599915421137601,"   ",0.278396671223644,1,0.597754025840855,"   ","wetmMMs <= SPD"
"wetmMMs","clim",0.520912908206717,1,54,0.473566256452596,"   ",0.520912908206717,1,0.470452520951136,"   ","wetmMMs <= clim"
"wetmMMs","SPD|clim",0.261278150722217,2,54,0.771034578560864,"   ",0.522556301444434,2,0.770066695215695,"   ","wetmMMs <= SPD|clim"
"wetwMMs","SPD",1.68239958061361,2,50,0.196280938574601,"   ",3.36479916122722,2,0.185927292800178,"   ","wetwMMs <= SPD"
"wetwMMs","clim",0.975201212416619,2,50,0.384173324683633,"   ",1.95040242483324,2,0.377116465413241,"   ","wetwMMs <= clim"
"wetwMMs","SPD|clim",2.28754952097166,4,50,0.0728850163024552,".  ",9.15019808388664,4,0.0574529481398238,".  ","wetwMMs <= SPD|clim"
"decMMs","SPD",5.83362205763215,1,54,0.0191375165024601,"*  ",5.83362205763215,1,0.015722719241548,"*  ","decMMs <= SPD"
"decMMs","clim",2.28746249155548,1,54,0.136253845796051,"   ",2.28746249155548,1,0.130422996121275,"   ","decMMs <= clim"
"decMMs","SPD|clim",2.9602629149635,2,54,0.060268431296815,".  ",5.92052582992701,2,0.0518052949948242,".  ","decMMs <= SPD|clim"
"conMMs","SPD",8.07064405480409,1,54,0.0063327261141208,"** ",8.07064405480409,1,0.00449881234911103,"** ","conMMs <= SPD"
"conMMs","clim",8.24960870071602,1,54,0.00581365684323637,"** ",8.24960870071602,1,0.00407607865883534,"** ","conMMs <= clim"
"conMMs","SPD|clim",4.85330083569334,2,54,0.0115252847407524,"*  ",9.70660167138668,2,0.00780257996141286,"** ","conMMs <= SPD|clim"
"heaMWs","SPD",0.791819856468322,2,50,0.458617420066861,"   ",1.58363971293664,2,0.453019613979554,"   ","heaMWs <= SPD"
"heaMWs","clim",3.58512998461544,2,50,0.0350748588065535,"*  ",7.17025996923088,2,0.0277330625244142,"*  ","heaMWs <= clim"
"heaMWs","SPD|clim",3.77110556626234,4,50,0.00932095709040478,"** ",15.0844222650494,4,0.00452928475165012,"** ","heaMWs <= SPD|clim"
"araMWs","SPD",0.0751942237154791,1,54,0.784965185503862,"   ",0.0751942237154791,1,0.78391890053971,"   ","araMWs <= SPD"
"araMWs","clim",1.01286668669799,1,54,0.318705600940557,"   ",1.01286668669799,1,0.314217047787297,"   ","araMWs <= clim"
"araMWs","SPD|clim",0.513803268074671,2,54,0.601111015495402,"   ",1.02760653614934,2,0.598216070686356,"   ","araMWs <= SPD|clim"
"pasMWs","SPD",1.51320385521672,4,42,0.21570509552218,"   ",6.05281542086689,4,0.195238553077326,"   ","pasMWs <= SPD"
"pasMWs","clim",1.23186713902633,4,42,0.311959756554923,"   ",4.92746855610533,4,0.294820966568692,"   ","pasMWs <= clim"
"pasMWs","SPD|clim",1.73316130881259,8,42,0.118877995879582,"   ",13.8652904705007,8,0.0853448463570273,".  ","pasMWs <= SPD|clim"
"wetmMWs","SPD",3.32433423556799,5,38,0.0137674990646715,"*  ",16.6216711778399,5,0.00527611345619797,"** ","wetmMWs <= SPD"
"wetmMWs","clim",0.759466664795365,5,38,0.584610714224433,"   ",3.79733332397682,5,0.578948240128962,"   ","wetmMWs <= clim"
"wetmMWs","SPD|clim",2.04483181590929,10,38,0.0552913570115909,".  ",20.4483181590929,10,0.0252864097060191,"*  ","wetmMWs <= SPD|clim"
"wetwMWs","SPD",1.72949878284432,1,54,0.19403224813866,"   ",1.72949878284432,1,0.18847492027023,"   ","wetwMWs <= SPD"
"wetwMWs","clim",3.42966023378243,1,54,0.0695053532697042,".  ",3.42966023378243,1,0.0640352740136464,".  ","wetwMWs <= clim"
"wetwMWs","SPD|clim",1.89065061094637,2,54,0.160832544819513,"   ",3.78130122189274,2,0.150973551830862,"   ","wetwMWs <= SPD|clim"
"decMWs","SPD",0.156832079872971,1,54,0.693650515169961,"   ",0.156832079872971,1,0.692090050959461,"   ","decMWs <= SPD"
"decMWs","clim",0.140457000311934,1,54,0.709294988679855,"   ",0.140457000311934,1,0.707827114211832,"   ","decMWs <= clim"
"decMWs","SPD|clim",0.253562326578555,2,54,0.776950139014981,"   ",0.50712465315711,2,0.776031376037299,"   ","decMWs <= SPD|clim"
"conMWs","SPD",2.37016306080863,1,54,0.129513978303918,"   ",2.37016306080863,1,0.123674132700251,"   ","conMWs <= SPD"
"conMWs","clim",0.0339248164788341,1,54,0.854556774673811,"   ",0.0339248164788341,1,0.853866830956476,"   ","conMWs <= clim"
"conMWs","SPD|clim",1.82670575966128,2,54,0.170748234624404,"   ",3.65341151932255,2,0.160942879983154,"   ","conMWs <= SPD|clim"
"heaSEs","SPD",0.845979197444798,1,46,0.362490608424097,"   ",0.845979197444798,1,0.35769229747007,"   ","heaSEs <= SPD"
"heaSEs","clim",2.45386095365656,1,46,0.124090368114236,"   ",2.45386095365656,1,0.117236185371248,"   ","heaSEs <= clim"
