"","site","long","lat","location","dataSet"
"60",670,20.72,69.17,"Europe>Northern Europe>Scandinavia>Norway","Dalmutladdo.Bjune.2004"
"61",671,20.72,69.17,"Europe>Northern Europe>Scandinavia>Norway","Dalmutladdo.Bjune.2004"
"62",672,20.72,69.17,"Europe>Northern Europe>Scandinavia>Norway","Dalmutladdo.Bjune.2004"
"63",673,20.72,69.17,"Europe>Northern Europe>Scandinavia>Norway","Dalmutladdo.Bjune.2004"
"64",674,20.72,69.17,"Europe>Northern Europe>Scandinavia>Norway","Dalmutladdo.Bjune.2004"
"65",771,13.58,68.13,"Europe>Northern Europe>Scandinavia>Norway","Donvold.Nilssen.1983"
"66",772,13.58,68.13,"Europe>Northern Europe>Scandinavia>Norway","Donvold.Nilssen.1983"
"67",773,13.58,68.13,"Europe>Northern Europe>Scandinavia>Norway","Donvold.Nilssen.1983"
"68",774,13.58,68.13,"Europe>Northern Europe>Scandinavia>Norway","Donvold.Nilssen.1983"
"69",775,13.58,68.13,"Europe>Northern Europe>Scandinavia>Norway","Donvold.Nilssen.1983"
"70",776,13.58,68.13,"Europe>Northern Europe>Scandinavia>Norway","Donvold.Nilssen.1983"
"71",777,13.58,68.13,"Europe>Northern Europe>Scandinavia>Norway","Donvold.Nilssen.1983"
"72",960,15.81,67.22,"Europe>Northern Europe>Scandinavia>Norway","FauskeCave.Linge.2009"
"73",961,15.81,67.22,"Europe>Northern Europe>Scandinavia>Norway","FauskeCave.Linge.2009"
"74",962,15.81,67.22,"Europe>Northern Europe>Scandinavia>Norway","FauskeCave.Linge.2009"
"75",963,15.81,67.22,"Europe>Northern Europe>Scandinavia>Norway","FauskeCave.Linge.2009"
"76",970,13.67,58.58,"Europe>Northern Europe>Scandinavia>Sweden","Flarken.Berglund.1966"
"77",971,13.67,58.58,"Europe>Northern Europe>Scandinavia>Sweden","Flarken.Berglund.1966"
"78",972,13.67,58.58,"Europe>Northern Europe>Scandinavia>Sweden","Flarken.Berglund.1966"
"79",973,13.67,58.58,"Europe>Northern Europe>Scandinavia>Sweden","Flarken.Berglund.1966"
"80",974,13.67,58.58,"Europe>Northern Europe>Scandinavia>Sweden","Flarken.Berglund.1966"
"81",975,13.67,58.58,"Europe>Northern Europe>Scandinavia>Sweden","Flarken.Berglund.1966"
"82",976,13.67,58.58,"Europe>Northern Europe>Scandinavia>Sweden","Flarken.Berglund.1966"
"83",977,13.67,58.55,"Europe>Northern Europe>Scandinavia>Sweden","Flarken.Seppa.2005"
"84",978,13.67,58.55,"Europe>Northern Europe>Scandinavia>Sweden","Flarken.Seppa.2005"
"85",979,13.67,58.55,"Europe>Northern Europe>Scandinavia>Sweden","Flarken.Seppa.2005"
"86",980,7.55,59.67,"Europe>Northern Europe>Scandinavia>Norway","Flotatjonn.Seppa.2009"
"87",981,7.55,59.67,"Europe>Northern Europe>Scandinavia>Norway","Flotatjonn.Seppa.2009"
"88",982,7.55,59.67,"Europe>Northern Europe>Scandinavia>Norway","Flotatjonn.Seppa.2009"
"89",993,17.75,68.47,"Europe>Northern Europe>Scandinavia>Norway","Gammelheimvatnet.Seppa.2009"
"90",994,17.75,68.47,"Europe>Northern Europe>Scandinavia>Norway","Gammelheimvatnet.Seppa.2009"
"91",995,17.75,68.47,"Europe>Northern Europe>Scandinavia>Norway","Gammelheimvatnet.Seppa.2009"
"92",1334,15.83,60.08,"Europe>Northern Europe>Scandinavia>Sweden","Gilltjarnen.Antonsson.2006"
"93",1335,15.83,60.08,"Europe>Northern Europe>Scandinavia>Sweden","Gilltjarnen.Antonsson.2006"
"94",1336,15.83,60.08,"Europe>Northern Europe>Scandinavia>Sweden","Gilltjarnen.Antonsson.2006"
"95",1337,15.83,60.08,"Europe>Northern Europe>Scandinavia>Sweden","Gilltjarnen.Antonsson.2006"
"96",1338,15.83,60.08,"Europe>Northern Europe>Scandinavia>Sweden","Gilltjarnen.Antonsson.2006"
"97",1339,15.83,60.08,"Europe>Northern Europe>Scandinavia>Sweden","Gilltjarnen.Antonsson.2006"
"98",1351,16.53,59.83,"Europe>Northern Europe>Scandinavia>Sweden","Gloppsjon.Seppa.2009"
"99",1352,16.53,59.83,"Europe>Northern Europe>Scandinavia>Sweden","Gloppsjon.Seppa.2009"
"100",1353,16.53,59.83,"Europe>Northern Europe>Scandinavia>Sweden","Gloppsjon.Seppa.2009"
"101",1427,7.73,58.53,"Europe>Northern Europe>Scandinavia>Norway","Grostjorn.Eide.2009"
"102",1428,7.73,58.53,"Europe>Northern Europe>Scandinavia>Norway","Grostjorn.Eide.2009"
