Year (BP),Minimum,5th Percentile,Median,95th Percentile,Maximum,Area Mean
9700,1.16065642293,1.31864063161,2.69769694519,3.96418120015,4.02076637777,2.73554736649
9600,1.02334822591,1.19044452566,2.61310928853,3.89496038767,3.95268547567,2.6388290638
9500,1.00250171916,1.1601055186,2.60366048686,3.9197232076,3.94653221639,2.64149245242
9400,1.61233799235,1.76742271322,3.20153310649,4.52188874003,4.55791049194,3.2436573534
9300,1.5287285258,1.68622661743,3.07898387146,4.36616702728,4.43928739421,3.11734700118
9200,2.15711445109,2.30818131409,3.61011871847,4.85263459981,4.8969130249,3.66918460972
9100,2.12735660807,2.28662746836,3.57539917501,4.8082903539,4.84930143229,3.63252605588
9000,1.46185510254,1.64339951223,3.00241776021,4.24654570974,4.31368441772,3.03080930693
8900,1.53051390584,1.71881133169,3.0293534139,4.22654935659,4.32011355591,3.05110721158
8800,1.37864994303,1.57061036326,2.9309806366,4.15006539866,4.25355502319,2.94036242557
8700,1.26847166951,1.45104161224,2.8281210378,4.09210322266,4.16669472249,2.85657230074
8600,1.24771905518,1.42077636363,2.76318161519,4.02132309926,4.06631055705,2.80901531419
8500,0.931703226725,1.10785158946,2.47100980632,3.72708418477,3.77739098104,2.50599383617
8400,1.29817768351,1.47115171458,2.82230899048,4.07602607676,4.11838956706,2.86279095274
8300,1.65499790446,1.82835115204,3.15179868571,4.39009244486,4.44346814982,3.19558005425
8200,1.21260786947,1.39460421651,2.77103416951,4.03914569295,4.12089897664,2.79977080775
8100,1.1896054484,1.36265528005,2.74016449483,4.03149639079,4.08961662801,2.78412534025
8000,1.19397739665,1.37363097534,2.71159091187,3.95386456248,4.01576825968,2.75017365744
7900,2.42434142049,2.57025133413,3.85149066162,5.13550714417,5.16290964762,3.94016538936
7800,2.57041858927,2.71584028524,3.93176954142,5.1327248642,5.14416956584,4.01253251459
7700,3.04136443075,3.17552089335,4.33274607849,5.51833220723,5.55052378337,4.4276238809
7600,3.12637948608,3.25884136607,4.44605103048,5.67620647481,5.72397572835,4.54791843539
7500,2.94994821167,3.08471729177,4.30981705221,5.57076450653,5.61207855225,4.40693500001
7400,2.73316486613,2.87026802724,4.10717807007,5.36650569458,5.40048319499,4.19959092767
7300,2.88747567749,3.02551461436,4.23767657471,5.45581212921,5.46206461589,4.32853826294
7200,2.81048389689,2.95870606639,4.16159927877,5.3511968455,5.36346143595,4.24126223548
7100,3.03168232218,3.1545676946,4.3464393158,5.63488506368,5.7031396993,4.46457337061
7000,3.55533502197,3.68740237579,4.87285413615,6.10912212423,6.14399780273,4.98065104025
6900,3.17631382243,3.30342346598,4.53229080709,5.82837188517,5.89122217814,4.64351838042
6800,3.00443826294,3.12356563212,4.36474617513,5.71413745168,5.81051376343,4.48891015366
6700,3.56376046753,3.66189079183,4.85009552511,6.23706720785,6.37567571004,5.00724129354
6600,3.57733499146,3.67239719035,4.88091431173,6.29532233988,6.43223022461,5.04214096892
6500,3.67629836019,3.76914591115,4.95313357035,6.35194909465,6.50821695964,5.11223431802
6400,3.79642312622,3.89485428518,5.04871346029,6.39547414195,6.53795984904,5.20204954674
6300,3.50135400391,3.60703047333,4.79004023743,6.12903817291,6.25286280314,4.93205889874
6200,3.05307702637,3.18612943166,4.40667127482,5.66280013072,5.70291753133,4.50389266608
6100,3.45270766195,3.56761116943,4.74066238912,6.02232670644,6.10693598429,4.86137378889
6000,4.52200631714,4.61897339274,5.7173082784,7.00374811351,7.12818527222,5.86948630641
5900,4.82090707397,4.90021626434,6.0417158254,7.3084174352,7.49230916341,6.14914359239
5800,4.43020964559,4.51049023336,5.71566797892,7.04011838837,7.22097727458,5.82336769034
5700,4.21228082275,4.30904566854,5.47247551473,6.82759484406,6.96644180298,5.62822780902
5600,3.92133940633,4.01745905711,5.20335299683,6.58568162587,6.71242335002,5.36182516132
5500,3.99787505086,4.09416079356,5.27238953145,6.65110054067,6.78672912598,5.43116042044
5400,3.66134128825,3.76745869344,4.9383087972,6.26838817139,6.38651143392,5.08147142088
5300,3.67010130819,3.78231442922,4.98560572815,6.31640787048,6.4256447347,5.11577250378
5200,3.71021122233,3.82259536641,5.01308454386,6.33317947947,6.43459960937,5.14624760399
5100,3.80490457153,3.90449020284,5.06603030396,6.41181852519,6.54724934896,5.21662133867
5000,4.08161467489,4.18100824127,5.3608957723,6.73099768626,6.86470209757,5.51490249122
4900,3.95317915853,4.05233168691,5.23132434082,6.58443815155,6.71957316081,5.37966896516
4800,4.10089400228,4.18022731425,5.35630823771,6.69009342753,6.87045252482,5.48078802083
4700,4.63610864258,4.71402769877,5.90640357971,7.23445754547,7.40929300944,6.0213224197
4600,4.67830148315,4.76395675557,5.94137850444,7.26442320811,7.43269592285,6.06385072427
4500,4.2141674703,4.29955669301,5.51449267069,6.86546618958,7.04300674438,5.63421767299
4400,4.48934859212,4.5796825297,5.76748092651,7.10333277435,7.27123285929,5.89558679987
