Year (BP),Minimum,5th Percentile,Median,95th Percentile,Maximum,Area Mean
9700,-5.56616923014,-5.00523762817,-2.21465428162,0.681788692729,0.935507659912,-2.25927125711
9600,-5.50990163167,-4.97237026265,-2.21369114685,0.72959983724,0.984965871175,-2.26288190774
9500,-5.51473332723,-4.90796826986,-1.98865274048,0.6355477005,0.888373667399,-2.17237484305
9400,-5.16449798584,-4.66689304148,-1.88613143412,1.18049004771,1.431328125,-1.91689069298
9300,-5.32591125488,-4.776996875,-2.00355633545,0.916490070597,1.17495890299,-2.04984311876
9200,-4.83594477336,-4.2430539683,-1.71275967407,1.31798201141,1.57741831462,-1.69149304512
9100,-4.74177098592,-4.15259676158,-1.64291666158,1.36858219554,1.62144088745,-1.66392435237
9000,-5.11712763468,-4.54666044413,-2.06914793905,0.674126580811,0.932033843994,-2.10882840801
8900,-4.83462443034,-4.25399620361,-1.81667377726,1.0689892746,1.3219640096,-1.79537629138
8800,-5.03558929443,-4.45817483571,-2.08095776367,0.860522696431,1.11191640218,-2.03688515597
8700,-5.42774754842,-4.8393276118,-2.44363433329,0.642559454854,0.903936106364,-2.41174676551
8600,-5.24560653687,-4.66298270213,-2.19939090474,0.825584031677,1.07261891683,-2.21508703892
8500,-5.55372227987,-4.97099194387,-2.588337677,0.479216040548,0.733045756022,-2.55536785893
8400,-5.34834559123,-4.76342099813,-2.47107278951,0.749698342896,1.00328684489,-2.38742016114
8300,-5.3588768514,-4.77884815521,-2.37579810588,0.706485154724,0.958155212402,-2.35642854651
8200,-5.43292185465,-4.84980349782,-2.41161757914,0.589310955302,0.837721710205,-2.38810345149
8100,-5.5971287028,-5.03962051188,-2.6803903656,0.677227713521,0.935083872477,-2.55291640232
8000,-5.44978378296,-4.8700022817,-2.43915206401,0.575730200704,0.828852539062,-2.43499661665
7900,-4.55092356364,-3.98165861308,-1.65894220479,1.70998001506,1.95782358805,-1.5266950666
7800,-4.33002782186,-3.74550265299,-1.32466473389,1.84103801117,2.08407969157,-1.28821349932
7700,-3.86422927856,-3.31690752207,-1.04458452352,2.39663137716,2.64597518921,-0.895582606312
7600,-3.78886205037,-3.20671638794,-0.939719029744,2.45767566325,2.69936848958,-0.800511634554
7500,-4.20435963949,-3.62351952159,-1.26774609375,1.99008735301,2.23394261678,-1.18788359348
7400,-4.121293691,-3.53917219849,-1.1727786204,2.10467111359,2.34325393677,-1.07468548212
7300,-4.19376190186,-3.68305977681,-1.44688153076,2.17140384318,2.42095204671,-1.22455415588
7200,-4.05614420573,-3.50127223511,-1.17514017232,2.27907777557,2.52124409993,-1.02609742113
7100,-4.19421819051,-3.61568196411,-1.24334533183,2.07403921407,2.31531377157,-1.15055454141
7000,-3.83689559937,-3.29543434448,-1.03878226725,2.55139646301,2.79167673747,-0.826920930827
6900,-4.01080423991,-3.45371578522,-1.15459873962,2.31278147024,2.55436335246,-1.00375189731
6800,-4.21755187988,-3.65704452566,-1.34787177531,2.08132703044,2.33017105103,-1.20354236006
6700,-3.57017588298,-3.04370403595,-0.714706848145,2.94490923971,3.17724049886,-0.498282691146
6600,-3.82515314738,-3.2825710378,-1.04075731405,2.61710289154,2.8615024821,-0.828343606892
6500,-3.86337168376,-3.33972970378,-1.01021148173,2.70321242879,2.95048995972,-0.788562921508
6400,-3.53978327433,-3.02296071421,-0.723473709106,2.97120150146,3.21516438802,-0.504670985033
6300,-3.77658732096,-3.20488861643,-0.928524393717,2.56356944427,2.80293162028,-0.761597889493
6200,-4.17944117228,-3.60763736521,-1.29387486267,2.1657632843,2.4121983846,-1.15586440035
6100,-3.82675847371,-3.2742806605,-1.05390593974,2.53447159475,2.78114613851,-0.85946054975
6000,-2.94819320679,-2.44569838511,-0.212134724935,3.7166450943,3.95890268962,0.103485178843
5900,-2.60034759521,-2.1580495697,-0.00607342529297,4.22620402374,4.47322021484,0.436134211535
5800,-3.25144826253,-2.76763639882,-0.505248814901,3.54339897257,3.79116175334,-0.146398058982
5700,-3.36988545736,-2.88691257375,-0.674174214681,3.31780229034,3.56581827799,-0.334435093494
5600,-3.70871058146,-3.18948827159,-0.87378742981,2.82308268382,3.06407862345,-0.649076092508
5500,-3.52019271851,-2.99841317546,-0.742709116618,3.02721038666,3.26964152018,-0.492477344047
5400,-3.62438339233,-3.1116444046,-0.8577778066,2.90281793111,3.14477472941,-0.599293234718
5300,-3.73654841105,-3.15819119314,-0.784353530884,2.62776088104,2.86334533691,-0.684067548982
5200,-3.69291870117,-3.13693390961,-0.83552281189,2.7383071991,2.97445709229,-0.648766264246
5100,-3.68371358236,-3.19351587575,-1.03332109578,2.89900325165,3.14583506266,-0.701761162484
5000,-3.61131535848,-3.07440707194,-0.893323893229,2.91127516836,3.16347712199,-0.620290414326
4900,-3.48087702433,-2.99741999868,-0.758579833984,3.11686475525,3.36012451172,-0.457834877004
4800,-3.21467727661,-2.73350058136,-0.505017186483,3.43984416555,3.68540496826,-0.184293639907
4700,-3.20541651408,-2.69915077769,-0.403076217651,3.42101628723,3.66577733358,-0.136906948417
4600,-3.04185221354,-2.5655388326,-0.422805246989,3.7565853536,4.00972229004,-0.0105101156966
4500,-3.41041748047,-2.93726949615,-0.638623346965,3.30614946849,3.55038197835,-0.321275334402
4400,-3.33954925537,-2.86115869293,-0.727669367472,3.35597065074,3.60698760986,-0.342537893745
4300,-3.58826746623,-3.07709054464,-0.9947506663,2.85205406342,3.09980448405,-0.669803582835
4200,-3.3130438741,-2.80882125142,-0.593437469482,3.20120526784,3.43916310628,-0.329636889559
4100,-3.55631601969,-3.06215767314,-0.881249969482,3.02454194234,3.26860209147,-0.551378467644
4000,-3.38137044271,-2.91183310852,-0.728591201782,3.33761883647,3.59131902059,-0.359082099937
3900,-2.93789077759,-2.46827380269,-0.275332483927,3.85860407867,4.11307454427,0.11201512909
