Year (BP),Minimum,5th Percentile,Median,95th Percentile,Maximum,Area Mean
9700,0.801313913981,0.815958704631,0.947761820475,3.09766204325,3.33653984578,1.69520519341
9600,0.626276529948,0.6386187795,0.749699025472,2.87848590597,3.11501778158,1.496997779
9500,0.678805318197,0.694911351522,0.839865651449,3.00209546407,3.24234322103,1.58700473022
9400,1.30005374146,1.31846003723,1.48411669922,3.64425073242,3.884265625,2.22281202189
9300,1.05874443563,1.06944413757,1.16574145508,3.31424046326,3.55296257528,1.92581615533
9200,1.74813408407,1.7655858256,1.92265149943,4.07338370768,4.31235395304,2.66104651218
9100,1.63102038574,1.64584621684,1.7792786967,3.91570139567,4.15308169556,2.521126926
9000,0.968935068766,0.975648930868,1.03607368978,3.15393860372,3.38925692749,1.79808856201
8900,0.995160909017,1.00126691691,1.05622098796,3.18498717753,3.42151675415,1.82429955037
8800,0.813529083252,0.817747227987,0.855710530599,2.9478012441,3.18025576782,1.61649846056
8700,0.785232777913,0.793384684245,0.866751841227,2.98556276957,3.22098620605,1.6243236084
8600,0.823997324626,0.833532155355,0.919345631917,3.05066527303,3.28747856649,1.67694050768
8500,0.486772084554,0.496052434285,0.579575581868,2.69500446065,2.93005211385,1.33213326009
8400,0.847298868815,0.857124542236,0.945555603027,3.05410598755,3.28838936361,1.69374794515
8300,1.15526471965,1.16111488342,1.21376635742,3.33340785217,3.56892357381,1.97931821696
8200,0.707578562419,0.714958241781,0.781375356038,2.893430837,3.12810366821,1.53901919556
8100,0.768695709229,0.780845820109,0.890196818034,3.01866147868,3.25515755208,1.63801669312
8000,0.721917907715,0.730848876953,0.811227600098,2.93691816711,3.17310600789,1.56875050524
7900,2.17080045573,2.1963919576,2.42671547445,4.60472568258,4.84672681681,3.14808091566
7800,2.13927320353,2.15807030741,2.32724424235,4.50455306498,4.7464762675,3.07099790446
7700,2.66384814453,2.68916592407,2.91702593994,5.11978601074,5.36453712972,3.64847040473
7600,2.78658297729,2.8107973938,3.02872714233,5.22976954651,5.47432981364,3.76321331109
7500,2.64396029663,2.67348858134,2.93924314372,5.1565102946,5.40287331136,3.6620255839
7400,2.39310061646,2.41969166565,2.6590111084,4.85521865845,5.09924171956,3.38378448147
7300,2.49336301676,2.51647606405,2.72449348958,4.89069522603,5.13138430786,3.44974693807
7200,2.41621183268,2.44076853943,2.66177890015,4.85570198059,5.09947121175,3.39248731486
7100,2.79754046631,2.82913807678,3.11351657104,5.34669654846,5.59482765706,3.83529489814
7000,3.21620013428,3.23783481852,3.43254697673,5.60639235942,5.84793073527,4.16555928209
6900,2.9242084554,2.95102362569,3.19236015828,5.3905094045,5.63474820964,3.91710560777
6800,2.80057793172,2.82843347168,3.0791333313,5.29575695801,5.54204847209,3.80725324504
6700,3.55720090739,3.59733058675,3.95849770101,6.26732852681,6.52386528524,4.67985463121
6600,3.610271993,3.65456267802,4.05317884318,6.38661506144,6.64588575236,4.76977886285
6500,3.74436887614,3.79009043884,4.20158450317,6.53432409668,6.79351738485,4.91315692139
6400,3.79787000529,3.83921653239,4.21133527629,6.50799860636,6.76318342082,4.92412956746
6300,3.36410184733,3.3946708018,3.66979139201,5.94674566142,6.19974058024,4.41121127319
6200,2.81552462769,2.84916393026,3.1519176534,5.40625368245,5.65673546346,3.87472591485
6100,3.302618337,3.34216625468,3.69809751383,5.99311728923,6.24811948649,4.41627844577
6000,4.51206663005,4.55664255778,4.95782590739,7.29247716777,7.55188286336,5.6739251336
5900,5.02260012817,5.07822447713,5.57884361776,7.99711040243,8.26580671183,6.28908348592
5800,4.60500491333,4.65634897359,5.11844551595,7.51795520528,7.78456739299,5.83600594076
5700,4.27987267049,4.32758576457,4.75700361125,7.12740529887,7.39078326416,5.4758865153
