"","LabID","weighted_mean","long","lat","Material"
"1704","Lu-2102",5210.46815118383,13.11906,55.59036,"charcoal"
"1705","Lu-2109",7169.68814555925,13.483,55.383,"bone"
"1706","Lu-2110",7850.49056027875,13.439,55.355,"wood"
"1707","Lu-2113",7485.79410337729,13.483,55.383,"charcoal"
"1708","Lu-2114",7751.94822414144,13.483,55.383,"charcoal"
"1709","Lu-2115",7300.70830420786,13.483,55.383,"charcoal"
"1710","Lu-2116",6833.4031706386,13.483,55.383,"charcoal"
"1711","Lu-2141",4295.54314625503,14.46667,56.05,""
"1712","Lu-2142",4193.11647217226,14.46667,56.05,""
"1713","Lu-2143",4689.86987656688,14.46667,56.05,"charcoal"
"1714","Lu-2144",5113.96733322667,14.46667,56.05,"charcoal"
"1715","Lu-2202",8278.63366501661,13.0583,55.55,"charcoal"
"1716","Lu-2212",5711.16808589433,13.12,55.58,""
"1717","Lu-2229",6422.7696038326,13.483,55.383,"charcoal"
"1718","Lu-2262",4594.91753967367,14.16778,55.4075,"charcoal"
"1719","Lu-230",9862.08096599677,13.105,55.911,"charcoal"
"1720","Lu-231",10048.172204731,13.105,55.911,"charcoal"
"1721","Lu-2327",5054.71343145083,17.88487,59.24433,"food remains"
"1722","Lu-2345",4991.11164472988,12.92336,55.59263,"collagen bone"
"1723","Lu-2346",5685.78483698705,13.49019,55.39689,"charcoal"
"1724","Lu-2347",7071.08896030091,13.483,55.383,"charcoal"
"1725","Lu-2351",3082.14544127464,13.5,55.41667,"wood"
"1726","Lu-2352",4759.61751633305,13.49019,55.39689,"collagen bone"
"1727","Lu-2398",3735.54893652639,13.49,55.39,"charcoal"
"1728","Lu-2420",6119.05859702523,13.91,55.45,""
"1729","Lu-2422",5927.75442018128,13.91,55.45,""
"1730","Lu-2464",4098.26762971605,13.4219,55.38196,"collagen bone"
"1731","Lu-2478",7197.10080046007,13.483,55.383,"charcoal"
"1732","Lu-2508",2905.03266981877,13.11906,55.59036,"charcoal"
"1733","Lu-2509",4672.62805164462,13.11906,55.59036,"wood"
"1734","Lu-2546",5520.50024313038,13.41667,55.9,"charcoal"
"1735","Lu-2547",2200.06921535627,13.41667,55.9,"charcoal"
"1736","Lu-2552",7382.30316807574,13.61237,55.41233,"charcoal"
"1737","Lu-2553",6749.52961635731,13.483,55.383,""
"1738","Lu-2554",4255.16920348193,13.983,55.533,"charcoal"
"1739","Lu-2557",6759.74434416236,14.46667,56.05,"charcoal"
"1740","Lu-2558",3528.77882072036,14.46667,56.05,"charcoal"
"1741","Lu-2559",3735.54893652639,14.46667,56.05,"charcoal"
"1742","Lu-2563",7858.92075750092,14.169,56.873,"charcoal"
"1743","Lu-2564",6468.92459272998,14.169,56.873,"charcoal"
"1744","Lu-2568",5071.57086410348,13.05,55.56667,"collagen bone"
"1745","Lu-257",5184.20548904382,14.16779,55.40782,"collagen bone"
"1746","Lu-2592",4645.31719515919,12.667,56.233,"charcoal"
"1747","Lu-2593",4659.48681283427,12.667,56.233,"charcoal"
"1748","Lu-2627",6271.252107713,13.41667,55.9,"charcoal"
"1749","Lu-2629",6505.85109614985,13.41667,55.9,"charcoal"
"1750","Lu-2630",4407.552288366,13.96667,55.43333,"charcoal"
"1751","Lu-2631",4344.93321122333,13.96667,55.43333,"charcoal"
"1752","Lu-2684",5672.65261833619,13.49362,55.40181,"charcoal"
"1753","Lu-2686",5672.65261833619,13.49,55.4,"charcoal"
"1754","Lu-2730",1974.54732694518,13.05,55.56667,"charcoal"
"1755","Lu-2731",4759.61751633305,13.05,55.56667,"charcoal"
"1756","Lu-2732",5075.76347595032,13.05,55.56667,"charcoal"
"1757","Lu-2733",4650.67145438208,13.05,55.56667,"charcoal"
"1758","Lu-2739",5270.94285559496,12.74,56.82,"charcoal"
"1759","Lu-275",4935.20392781881,14.16779,55.40782,"collagen bone"
"1760","Lu-2766",3042.39490279593,14.46667,56.05,"charcoal"
"1761","Lu-2768",3123.84499989881,14.46667,56.05,"charcoal"
"1762","Lu-277",4723.05598910004,14.16778,55.4075,"collagen bone"
"1763","Lu-2773",5183.28494261389,13.96667,55.43333,"charcoal"
"1764","Lu-278",5125.42433406954,14.16779,55.40782,"collagen bone"
"1765","Lu-28",4674.4305182403,15.81667,56.11,"charcoal"
"1766","Lu-2801",5141.6740943986,13.96667,55.43333,"charcoal"
"1767","Lu-282",3620.82305767442,14.16778,55.4075,"collagen bone"
"1768","Lu-3189",4563.73030630624,12.96,55.56,"charcoal"
"1769","Lu-343",7538.62434473828,15.217,56.167,"gyttja"
"1770","Lu-344",7382.77441367456,15.217,56.167,"gyttja"
"1771","Lu-3451",6849.14421844463,13.21,55.55,"horn"
"1772","Lu-3452",7286.4298039533,13.21,55.55,"bone"
"1773","Lu-3453",7598.2830468197,13.21,55.55,"bone"
"1774","Lu-3454",7337.71387907799,13.21,55.55,"horn"
"1775","Lu-3583",5210.85502058425,13.0506,55.5224,"bone"
"1776","Lu-3652",5740.06565021534,13.12,55.58,"human bone"
"1777","Lu-373",9696.46619423019,14.15,55.3833,"charcoal"
"1778","Lu-38",5085.25809012469,15.81667,56.11,"charcoal"
"1779","Lu-43",7806.15771407846,13.1833,55.6,"charcoal"
"1780","Lu-436",3633.69359328117,12.95039,55.93343,"collagen bone"
"1781","Lu-437",4358.66273175974,14.283,55.467,"charcoal"
"1782","Lu-442",3368.38637246928,14.46667,56.05,"bark"
"1783","Lu-443",3368.38637246928,14.46667,56.05,"bark"
"1784","Lu-444",3268.25041923047,14.46667,56.05,""
"1785","Lu-4514",2532.27706264426,12.81913,55.95139,""
"1786","Lu-4517",2342.06440131365,12.81913,55.95139,""
"1787","Lu-453",10714.9860132852,13.105,55.911,"charcoal"
"1788","Lu-454",5929.34159704206,13.105,55.911,"charcoal"
"1789","Lu-455",8711.19378669783,13.105,55.911,"charcoal"
"1790","Lu-471",3001.14868059694,12.95039,55.93343,"charcoal"
"1791","Lu-473",4747.19790949874,12.95039,55.93343,"collagen bone"
"1792","Lu-562",6760.95963415584,14.6,56.03333,"charcoal"
"1793","Lu-563",4987.83963652498,14.6,56.03333,"charcoal"
"1794","Lu-573",8238.59833830552,14.6,56.15,"wood"
"1795","Lu-577",5312.39470119056,14.6,56.03333,"miscellaneous"
"1796","Lu-598",7195.2547255051,13.4098,55.9322,"peat"
"1797","Lu-598A",6897.29067556202,13.4098,55.9322,"peat"
"1798","Lu-599",8868.02976595762,13.4098,55.9322,"charcoal"
"1799","Lu-600",7300.70830420786,13.4098,55.9322,"peat"
"1800","Lu-601",4358.66820563124,13.4098,55.9322,"wood"
"1801","Lu-604",4131.03716213461,12.97266,55.73723,"charcoal"
"1802","Lu-60a",9862.08096599677,13.105,55.911,"peat"
"1803","Lu-60b",9377.12312897897,13.105,55.911,"peat"
"1804","Lu-61a",9584.41028347657,13.105,55.911,"peat"
"1805","Lu-61b",9701.90294273974,13.105,55.911,"wood"
"1806","Lu-626",8199.67596687624,13.061,55.691,"charcoal"
"1807","Lu-658",4275.16417796675,14.11667,55.43333,"charcoal"
"1808","Lu-696",7579.79177581674,13.42,55.93,"charcoal"
"1809","Lu-697",7442.09166664698,13.42,55.93,"charcoal"
"1810","Lu-698",8812.65929977224,13.4098,55.9322,"charcoal"
"1811","Lu-751",8796.49932534528,13.4098,55.932,"charcoal"
"1812","Lu-752",8528.67721530387,13.4085,55.9317,"charcoal"
"1813","Lu-753",8769.66775256034,13.4085,55.9317,"charcoal"
"1814","Lu-754",8708.94110284907,13.4085,55.9317,"charcoal"
