"","Row.Id","LabID","Age","Error","Material","Taxa","d13C","Method","Long","Lat","LocAccuracy","Period","SiteID","SiteName","Country","Province","Continent","Source","Reference"
"5205",153729,"T13915",2160,85,"Charcoal","","","",18.209002,69.523362,2,"","","Greipstad 1","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5206",153730,"T13977",4095,75,"Charcoal","","","",28.321572,70.505736,2,"","","Engelskbukt","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5207",153731,"T13978",1985,65,"Charcoal","","","",28.321572,70.505736,2,"","","Engelskbukt","Norway","","Europe","Jorgensen_2020",""
"5208",153732,"T14669",4230,60,"Charcoal","","","",25.107209,70.534692,2,"","","Brennelv","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5209",153733,"T14670",3970,55,"Charcoal","","","",25.107209,70.534692,2,"","","Brennelv","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5210",153734,"T14761",2345,70,"Charcoal","","","",16.063805,68.737625,2,"","","Hemmestad Nedre","Norway","","Europe","Jorgensen_2020","Jørgensen 2011 101f. 128"
"5211",153735,"T14762",2360,90,"Charcoal","","","",16.063805,68.737625,2,"","","Hemmestad Nedre","Norway","","Europe","Jorgensen_2020","Jørgensen 2011 101f. 128"
"5212",153736,"T14763",2245,70,"Charcoal","","","",16.063805,68.737625,2,"","","Hemmestad Nedre","Norway","","Europe","Jorgensen_2020","Jørgensen 2011 101f. 128"
"5213",153737,"T14909",2110,50,"Charcoal","","","",16.063805,68.737625,2,"","","Hemmestad Nedre","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5214",153738,"T14910",1940,60,"Charcoal","","","",16.063805,68.737625,2,"","","Hemmestad Nedre","Norway","","Europe","Jorgensen_2020",""
"5215",153739,"T15003",2175,100,"Charcoal","","","",18.1169,69.5557,2,"","","Vollelvdalen","Norway","","Europe","Jorgensen_2020",""
"5216",153740,"T15072",2500,60,"Charcoal","","","",29.28959,69.23929,2,"","","Inganeset","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5217",153741,"T15073",2295,85,"Charcoal","","","",29.70042,69.380988,2,"","","Fosslund","Norway","","Europe","Jorgensen_2020",""
"5218",153742,"T15135",2220,65,"Charcoal","","","",16.13185,68.75391,2,"","","Vebostad","Norway","","Europe","Jorgensen_2020",""
"5219",153743,"T15847",3650,80,"Never","","","",29.30186,69.22637,2,"","","Nesheim","Norway","","Europe","Jorgensen_2020",""
"5220",153745,"T16060",2760,85,"Charcoal","","","",16.06373,68.73761,2,"","","Hemmestad Nedre","Norway","","Europe","Jorgensen_2020","Jørgensen 2011 101f. 128"
"5221",153746,"T16061",2120,65,"Charcoal","","","",16.06373,68.73761,2,"","","Hemmestad Nedre","Norway","","Europe","Jorgensen_2020","Jørgensen 2011 101f. 128"
"5222",153747,"T16690",2205,60,"Peat","","","",19.7072,68.4854,2,"","","Stryket 10","Norway","","Europe","Jorgensen_2020",""
"5223",153748,"T1728",1970,90,"Bone","","","",30.031897,69.878445,2,"","","Mestersanden","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5224",153749,"T1729",2020,110,"Bone","","","",30.031897,69.878445,2,"","","Mestersanden","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5225",153750,"T1730",3630,100,"Charcoal","","","",29.8753,69.7298,2,"","","Høybukt","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5226",153751,"T1731",3790,140,"Charcoal","","","",29.8753,69.7298,2,"","","Høybukt","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5227",153752,"T17375",2180,110,"Charcoal","","","",19.7072,68.4854,2,"","","Stryket 1","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5228",153753,"T17376",5555,65,"Charcoal","","","",19.500794,69.024302,2,"","","Almenningen 1","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5229",153754,"T17377",6360,105,"Charcoal","","","",19.500794,69.024302,2,"","","Almenningen 1","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5230",153755,"T17379",6160,100,"Charcoal","","","",19.500794,69.024302,2,"","","Almenningen 1","Norway","","Europe","Jorgensen_2020",""
"5231",153757,"T18055",2175,60,"Charcoal","","","",18.056987,69.607634,2,"","","GrindvollenTuft 4","Norway","","Europe","Jorgensen_2020",""
"5232",153760,"T1816",4350,130,"Charcoal","","","",28.7869,70.0758,2,"","","AdvikHus f","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5233",153761,"T1817",2490,80,"Charcoal","","","",28.81876,70.074772,2,"","","Gressbakken NVHus 4","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5234",153762,"T1837",3530,50,"Charcoal","","","",27.979123,70.488937,2,"","","Torhop","Norway","","Europe","Jorgensen_2020",""
