"","Row.Id","LabID","Age","Error","Material","Taxa","d13C","Method","Long","Lat","LocAccuracy","Period","SiteID","SiteName","Country","Province","Continent","Source","Reference"
"5839",155281,"TUa-2586",2107,71,"Birch bark tar","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway",""
"5840",155282,"TUa-2587",1906,71,"Birch bark tar","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway",""
"5841",155283,"TUa-2588",2190,72,"Birch bark tar","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway",""
"5842",155284,"TUa-2590",4268,74,"Food crust","","","",10.266667,59.066667,2,"","","Auve","Norway","","Europe","Solheim_Norway",""
"5843",155285,"TUa-2591",4447,74,"Food crust","","","",10.266667,59.066667,2,"","","Auve","Norway","","Europe","Solheim_Norway","J√∏rgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5844",155286,"TUa-2662",2351,67,"charcoal","","","",16.31443,68.44023,2,"","","Hemmestad Nedre","Norway","","Europe","RADON-B","Jørgensen 2011 101f. 128"
"5845",155287,"TUa-2663",2255,68,"charcoal","","","",16.31443,68.44023,2,"","","Hemmestad Nedre","Norway","","Europe","RADON-B","Jørgensen 2011 101f. 128"
"5846",155288,"TUa-2665",1420,66,"Charcoal","","","",10.466667,59.383333,2,"","","Borre Nasjonalpark","Norway","","Europe","Solheim_Norway","J√∏rgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5847",155289,"TUa-2729",1207,65,"Charcoal","","","",7.333333,59.566667,2,"","","Hovden Skisenter","Norway","","Europe","Solheim_Norway",""
"5848",155290,"TUa-2730",417,54,"Charcoal","","","",8.633333,58.516667,2,"","","Songe","Norway","","Europe","Solheim_Norway",""
"5849",155291,"TUa-2841",2083,52,"Tooth","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway",""
"5850",155292,"TUa-2842",2202,54,"Tooth","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway",""
"5851",155295,"TUa-2879",2239,71,"Charcoal","","","",11.25,59.116667,2,"","","Vestgård","Norway","","Europe","Solheim_Norway",""
"5852",155297,"TUa-2880",3444,72,"Charcoal","","","",11.253452,59.104996,2,"","","Stensrød","Norway","","Europe","Solheim_Norway",""
"5853",155298,"TUa-2881",2944,70,"Charcoal","","","",11.253452,59.104996,2,"","","Stensrød","Norway","","Europe","Solheim_Norway","J√∏rgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5854",155300,"TUa-2890",3111,57,"Charcoal","","","",10.466667,59.3,2,"","","Barkåker","Norway","","Europe","Solheim_Norway",""
"5855",155301,"TUa-2891",3557,55,"Charcoal","","","",10.466667,59.3,2,"","","Barkåker","Norway","","Europe","Solheim_Norway",""
"5856",155302,"TUa-2894",7090,82,"Charcoal","","","",10.666667,59.866667,2,"","","Skoklefald","Norway","","Europe","Solheim_Norway",""
"5857",155303,"TUa-2895",6861,71,"Nutshell","","","",10.666667,59.866667,2,"","","Skoklefald","Norway","","Europe","Solheim_Norway",""
"5858",155305,"TUa-2901",2805,70,"Charcoal","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway",""
"5859",155307,"TUa-2947",2853,59,"Charcoal","","","",10.383333,59.283333,2,"","","Jarlsberg hovedgård","Norway","","Europe","Solheim_Norway",""
"5860",155308,"TUa-2948",1726,64,"Charcoal","","","",10.383333,59.283333,2,"","","Jarlsberg hovedgård","Norway","","Europe","Solheim_Norway",""
"5861",155309,"TUa-2949",1845,53,"Charcoal","","","",10.383333,59.283333,2,"","","Jarlsberg hovedgård","Norway","","Europe","Solheim_Norway",""
"5862",155310,"TUa-2950",1845,68,"Charcoal","","","",10.383333,59.283333,2,"","","Jarlsberg hovedgård","Norway","","Europe","Solheim_Norway",""
"5863",155311,"TUa-2951",2646,61,"Charcoal","","","",10.383333,59.3,2,"","","Berg søndre","Norway","","Europe","Solheim_Norway",""
"5864",155312,"TUa-2952",3198,64,"Charcoal","","","",10.383333,59.3,2,"","","Berg søndre","Norway","","Europe","Solheim_Norway",""
"5865",155313,"TUa-2999",1743,68,"Charcoal","","","",10.733333,59.666667,2,"","","Treider","Norway","","Europe","Solheim_Norway",""
"5866",155314,"TUa-3000",1230,66,"Charcoal","","","",10.733333,59.666667,2,"","","Treider","Norway","","Europe","Solheim_Norway",""
"5867",155315,"TUa-3001",1872,67,"Charcoal","","","",10.733333,59.666667,2,"","","Treider","Norway","","Europe","Solheim_Norway",""
"5868",155316,"TUa-3002",1729,65,"Charcoal","","","",10.733333,59.666667,2,"","","Treider","Norway","","Europe","Solheim_Norway",""
