"","Age"
"639",600
"640",600
"641",600
"642",600
"643",600
"644",600
"645",600
"646",601
"647",602
"648",603
"649",604
"650",605
"651",606
"652",606
"653",607
"654",607
"655",610
"656",610
"657",610
"658",610
"659",610
"660",610
"661",610
"662",610
"663",610
"664",613
"665",615
"666",616
"667",616
"668",618
"669",620
"670",620
"671",620
"672",620
"673",620
"674",620
"675",621
"676",622
"677",624
"678",624
"679",625
"680",625
"681",625
"682",625
"683",626
"684",627
"685",627
"686",629
"687",630
"688",630
"689",630
"690",630
"691",631
"692",632
"693",633
"694",634
"695",635
"696",635
"697",635
"698",635
"699",635
"700",636
"701",637
"702",637
"703",637
"704",640
"705",640
"706",640
"707",640
"708",640
"709",640
"710",640
"711",640
"712",642
"713",642
"714",643
"715",644
"716",645
"717",645
"718",646
"719",649
"720",650
"721",650
"722",650
"723",650
"724",650
"725",650
"726",650
"727",652
"728",654
"729",654
"730",654
"731",654
"732",655
"733",655
"734",655
"735",655
"736",656
"737",656
"738",657
"739",658
"740",659
"741",660
"742",660
"743",660
"744",660
"745",660
"746",660
"747",660
"748",660
"749",660
"750",660
"751",660
"752",660
"753",660
"754",662
"755",663
"756",663
"757",664
"758",665
"759",665
"760",667
"761",670
"762",670
"763",670
"764",670
"765",670
"766",670
"767",671
"768",672
"769",673
"770",673
"771",674
"772",674
"773",674
"774",674
"775",675
"776",676
"777",680
"778",680
"779",680
"780",680
"781",680
"782",680
"783",680
"784",680
"785",682
"786",683
"787",684
"788",685
"789",685
"790",685
"791",687
"792",688
"793",688
"794",690
"795",690
"796",690
"797",690
"798",690
"799",691
"800",692
"801",695
"802",696
"803",697
"804",697
"805",697
"806",699
"807",699
"808",700
"809",700
"810",700
"811",700
"812",700
"813",700
"814",700
"815",700
"816",704
"817",705
"818",705
"819",705
"820",707
"821",709
"822",710
"823",710
"824",710
"825",710
"826",710
"827",710
"828",710
"829",711
"830",714
"831",715
"832",716
"833",716
"834",717
"835",717
"836",718
"837",720
"838",720
"839",720
"840",720
"841",721
"842",722
"843",722
"844",722
"845",724
"846",725
"847",725
"848",725
"849",727
"850",730
"851",730
"852",730
"853",730
"854",730
"855",730
"856",730
"857",730
"858",730
"859",730
"860",730
"861",732
"862",732
"863",733
"864",733
"865",733
"866",734
"867",735
"868",735
"869",735
"870",736
"871",737
"872",738
"873",740
"874",740
"875",740
"876",740
"877",740
"878",740
"879",740
"880",740
"881",740
"882",740
"883",740
"884",740
"885",740
"886",741
"887",741
"888",743
"889",743
"890",744
"891",745
"892",748
"893",749
"894",750
"895",750
"896",750
"897",750
"898",750
"899",750
"900",750
"901",750
"902",750
"903",750
"904",750
"905",751
"906",751
"907",752
"908",752
"909",753
"910",753
"911",754
"912",754
"913",755
"914",755
"915",756
"916",756
"917",756
"918",757
"919",757
"920",758
"921",759
"922",760
"923",760
"924",760
"925",760
"926",760
"927",760
"928",760
"929",760
"930",760
"931",760
"932",760
"933",761
"934",761
"935",761
"936",763
"937",764
"938",764
"939",765
"940",765
"941",766
"942",766
"943",769
"944",769
"945",769
"946",770
"947",770
"948",770
"949",770
"950",770
"951",770
"952",770
"953",770
"954",770
"955",770
"956",770
"957",772
"958",773
"959",773
"960",774
"961",775
"962",775
"963",776
"964",777
"965",778
"966",779
"967",779
"968",780
"969",780
"970",780
"971",780
"972",780
"973",780
"974",780
"975",780
"976",780
"977",780
"978",780
"979",780
"980",781
"981",781
"982",783
"983",783
"984",784
"985",784
"986",785
"987",785
"988",785
"989",785
"990",785
"991",787
"992",787
"993",787
"994",789
"995",789
"996",790
"997",790
"998",790
"999",790
"1000",790
"1001",790
"1002",790
"1003",790
"1004",790
"1005",790
"1006",790
"1007",790
"1008",790
"1009",791
"1010",791
"1011",792
"1012",792
"1013",794
"1014",795
"1015",795
"1016",795
"1017",799
"1018",800
"1019",800
"1020",800
"1021",800
"1022",800
"1023",800
"1024",800
"1025",800
"1026",802
"1027",803
"1028",804
"1029",805
"1030",805
"1031",806
"1032",807
"1033",808
"1034",809
"1035",809
"1036",809
"1037",810
"1038",810
"1039",810
"1040",810
"1041",810
"1042",810
"1043",810
"1044",810
"1045",810
"1046",810
"1047",810
"1048",810
"1049",810
"1050",811
"1051",811
"1052",811
"1053",813
"1054",813
"1055",814
"1056",814
"1057",815
"1058",815
"1059",815
"1060",815
"1061",816
"1062",816
"1063",816
"1064",817
"1065",817
"1066",818
"1067",818
"1068",820
"1069",820
"1070",820
"1071",820
"1072",820
"1073",820
"1074",820
"1075",820
"1076",820
"1077",820
"1078",820
"1079",822
"1080",822
"1081",822
"1082",822
"1083",824
"1084",824
"1085",825
"1086",825
"1087",827
"1088",828
"1089",829
"1090",829
"1091",829
"1092",829
"1093",830
"1094",830
"1095",830
"1096",830
"1097",830
"1098",830
"1099",830
"1100",830
"1101",830
"1102",830
"1103",830
"1104",830
"1105",830
"1106",831
"1107",831
"1108",832
"1109",833
"1110",833
"1111",834
"1112",834
"1113",835
"1114",835
"1115",835
"1116",835
"1117",835
"1118",836
"1119",837
"1120",837
"1121",838
"1122",838
"1123",838
"1124",839
"1125",839
"1126",840
"1127",840
"1128",840
"1129",840
"1130",840
"1131",840
"1132",840
"1133",840
"1134",840
"1135",840
"1136",840
"1137",840
"1138",840
"1139",840
"1140",840
"1141",840
"1142",840
"1143",840
"1144",840
"1145",840
"1146",841
"1147",841
"1148",842
"1149",842
"1150",843
"1151",843
"1152",844
"1153",844
"1154",845
"1155",845
"1156",845
"1157",846
"1158",847
"1159",847
"1160",847
"1161",848
"1162",849
"1163",849
"1164",850
"1165",850
"1166",850
"1167",850
"1168",850
"1169",850
"1170",850
"1171",850
"1172",850
"1173",850
"1174",851
"1175",851
"1176",852
"1177",852
"1178",853
"1179",853
"1180",853
"1181",854
"1182",854
"1183",855
"1184",855
"1185",856
"1186",857
"1187",857
"1188",857
"1189",857
"1190",857
"1191",859
"1192",860
"1193",860
"1194",860
"1195",860
"1196",860
"1197",860
"1198",860
"1199",860
"1200",860
"1201",860
"1202",860
"1203",860
"1204",860
"1205",860
"1206",860
"1207",860
"1208",860
"1209",860
"1210",860
"1211",862
"1212",862
"1213",863
"1214",863
"1215",864
"1216",864
"1217",865
"1218",865
"1219",865
"1220",866
"1221",867
"1222",867
"1223",868
"1224",868
"1225",869
"1226",869
"1227",869
"1228",870
"1229",870
"1230",870
"1231",870
"1232",870
"1233",870
"1234",870
"1235",870
"1236",870
"1237",870
"1238",870
"1239",870
"1240",870
"1241",870
"1242",870
"1243",870
"1244",870
"1245",871
"1246",871
"1247",871
"1248",871
"1249",872
"1250",872
"1251",873
"1252",874
"1253",874
"1254",874
"1255",874
"1256",874
"1257",875
"1258",875
"1259",876
"1260",876
"1261",877
"1262",877
"1263",877
"1264",877
"1265",877
"1266",878
"1267",878
"1268",878
"1269",879
"1270",879
"1271",879
"1272",879
"1273",879
"1274",879
"1275",880
"1276",880
"1277",880
"1278",880
"1279",880
"1280",880
"1281",880
"1282",880
"1283",880
"1284",880
"1285",880
"1286",880
"1287",880
"1288",880
"1289",881
"1290",881
"1291",882
"1292",882
"1293",883
"1294",884
"1295",884
"1296",884
"1297",885
"1298",886
"1299",886
"1300",887
"1301",888
"1302",889
"1303",889
"1304",889
"1305",890
"1306",890
"1307",890
"1308",890
"1309",890
"1310",890
"1311",890
"1312",890
"1313",890
"1314",890
"1315",890
"1316",891
"1317",891
"1318",892
"1319",892
"1320",893
"1321",894
"1322",895
"1323",895
"1324",895
"1325",895
"1326",895
"1327",896
"1328",896
"1329",896
"1330",896
"1331",897
"1332",898
"1333",900
"1334",900
"1335",900
"1336",900
"1337",900
"1338",900
"1339",900
"1340",900
"1341",900
"1342",900
"1343",900
"1344",900
"1345",900
"1346",900
"1347",900
"1348",900
"1349",901
"1350",901
"1351",901
"1352",902
"1353",903
"1354",903
"1355",903
"1356",904
"1357",905
"1358",905
"1359",905
"1360",905
"1361",905
"1362",906
"1363",906
"1364",906
"1365",909
"1366",909
"1367",909
"1368",910
"1369",910
"1370",910
"1371",910
"1372",910
"1373",910
"1374",910
"1375",910
"1376",910
"1377",910
"1378",910
"1379",910
"1380",910
"1381",910
"1382",910
"1383",910
"1384",910
"1385",911
"1386",912
"1387",913
"1388",913
"1389",914
"1390",915
"1391",915
"1392",915
"1393",915
"1394",916
"1395",918
"1396",920
"1397",920
"1398",920
"1399",920
"1400",920
"1401",920
"1402",920
"1403",920
"1404",920
"1405",920
"1406",920
"1407",920
"1408",920
"1409",920
"1410",920
"1411",921
"1412",922
"1413",923
"1414",924
"1415",924
"1416",925
"1417",925
"1418",926
"1419",927
"1420",927
"1421",927
"1422",928
"1423",929
"1424",929
"1425",930
"1426",930
"1427",930
"1428",930
"1429",930
"1430",930
"1431",930
"1432",930
"1433",930
"1434",930
"1435",930
"1436",930
"1437",930
"1438",931
"1439",932
"1440",932
"1441",932
"1442",932
"1443",933
"1444",933
"1445",935
"1446",935
"1447",935
"1448",935
"1449",936
"1450",936
"1451",936
"1452",937
"1453",938
"1454",938
"1455",938
"1456",939
"1457",939
"1458",939
"1459",939
"1460",940
"1461",940
"1462",940
"1463",940
"1464",940
"1465",940
"1466",940
"1467",940
"1468",940
"1469",940
"1470",940
"1471",941
"1472",941
"1473",941
"1474",941
"1475",941
"1476",942
"1477",942
"1478",943
"1479",943
"1480",943
"1481",943
"1482",943
"1483",943
"1484",944
"1485",944
"1486",945
"1487",945
"1488",946
"1489",947
"1490",947
"1491",948
"1492",949
"1493",950
"1494",950
"1495",950
"1496",950
"1497",950
"1498",951
"1499",952
"1500",952
"1501",952
"1502",952
"1503",955
"1504",955
"1505",955
"1506",956
"1507",959
"1508",960
"1509",960
"1510",960
"1511",960
"1512",960
"1513",960
"1514",960
"1515",960
"1516",960
"1517",960
"1518",960
"1519",960
"1520",960
"1521",961
"1522",961
"1523",962
"1524",962
"1525",963
"1526",963
"1527",964
"1528",964
"1529",965
"1530",965
"1531",965
"1532",966
"1533",966
"1534",966
"1535",968
"1536",969
"1537",970
"1538",970
"1539",970
"1540",970
"1541",970
"1542",970
"1543",970
"1544",970
"1545",970
"1546",970
"1547",970
"1548",970
"1549",970
"1550",970
"1551",970
"1552",971
"1553",974
"1554",974
"1555",974
"1556",975
"1557",975
"1558",975
"1559",975
"1560",975
"1561",976
"1562",978
"1563",978
"1564",978
"1565",978
"1566",978
"1567",978
"1568",979
"1569",980
"1570",980
"1571",980
"1572",980
"1573",981
"1574",984
"1575",984
"1576",985
"1577",985
"1578",985
"1579",985
"1580",987
"1581",988
"1582",989
"1583",989
"1584",990
"1585",990
"1586",990
"1587",990
"1588",990
"1589",990
"1590",990
"1591",990
"1592",990
"1593",990
"1594",990
"1595",994
"1596",995
"1597",996
"1598",997
"1599",997
"1600",999
"1601",999
"1602",1000
"1603",1000
"1604",1000
"1605",1000
"1606",1000
"1607",1000
"1608",1000
"1609",1000
"1610",1000
"1611",1001
"1612",1001
"1613",1001
"1614",1001
"1615",1002
"1616",1003
"1617",1003
"1618",1003
"1619",1004
"1620",1007
"1621",1007
"1622",1009
"1623",1009
"1624",1010
"1625",1010
"1626",1010
"1627",1010
"1628",1010
"1629",1010
"1630",1010
"1631",1011
"1632",1011
"1633",1015
"1634",1016
"1635",1018
"1636",1019
"1637",1020
"1638",1020
"1639",1020
"1640",1020
"1641",1020
"1642",1020
"1643",1021
"1644",1022
"1645",1023
"1646",1023
"1647",1023
"1648",1024
"1649",1026
"1650",1028
"1651",1028
"1652",1028
"1653",1030
"1654",1030
"1655",1030
"1656",1031
"1657",1032
"1658",1032
"1659",1033
"1660",1034
"1661",1035
"1662",1037
"1663",1037
"1664",1038
"1665",1039
"1666",1040
"1667",1040
"1668",1040
"1669",1040
"1670",1040
"1671",1040
"1672",1040
"1673",1042
"1674",1043
"1675",1044
"1676",1044
"1677",1044
"1678",1045
"1679",1046
"1680",1046
"1681",1049
"1682",1050
"1683",1050
"1684",1050
"1685",1050
"1686",1050
"1687",1050
"1688",1050
"1689",1050
"1690",1053
"1691",1054
"1692",1055
"1693",1055
"1694",1055
"1695",1055
"1696",1058
"1697",1059
"1698",1060
"1699",1060
"1700",1060
"1701",1060
"1702",1060
"1703",1060
"1704",1060
"1705",1062
"1706",1065
"1707",1065
"1708",1067
