"calBP","wetmN"
1400,0.291281960157641
1500,0.3160570922435
1600,0.820043714684743
1700,0.468143744786588
1800,0.69062265486283
1900,0.476466947953365
2000,0.40408327116039
2100,0.456650687563871
2200,0.285045314483227
2300,0.408225143297353
2400,0.637841880757206
2500,0.428116525166191
2600,0.57157158036996
2700,0.479624457975
2800,0.297148524055515
2900,0.604365080884629
3000,0.263019944477996
3100,0.482840034146252
3200,0.328175426289379
3300,0.362000553323963
3400,0.307423869972936
3500,0.400956939597843
3600,0.334111703048216
3700,0.190901223009751
3800,0.441713394360152
3900,0.265174125900243
4000,0.224794311585288
4100,0.347241564202589
4200,0.410097350511979
4300,0.184314387305041
4400,0.37128389646469
4500,0.251357400808957
4600,0.369196217011699
4700,0.294978132678348
4800,0.339932221337877
4900,0.346503716575191
5000,0.248933047148778
5100,0.371244452834455
5200,0.215337475057947
5300,0.300408323540378
5400,0.445711359315141
5500,0.249816991716823
5600,0.392709258981069
5700,0.258568827983316
5800,0.603743264241939
5900,0.336893765590752
6000,0.241879488247062
6100,0.391951599336414
6200,0.172926769429374
6300,0.337685360838799
6400,0.201814816637838
6500,0.329220920476749
6600,0.187963720247968
6700,0.319870707112536
6800,0.267336156254057
6900,0.13568557103407
7000,0.228678448524178
7100,0.46935315728727
7200,0.119105907850811
7300,0.331995175753985
7400,0.169184931753335
7500,0.474016421183213
7600,0.373661905974344
7700,0.197218313862112
7800,0.290407504222016
7900,0.343872895852292
8000,0.181791513922961
8100,0.22651828732337
8200,0.224982911220417
8300,0.301476717525625
8400,0.0699189215422985
8500,0.394673060020805
8600,0.176148355399311
8700,0.232011221234488
8800,0.0849057993281459
8900,0.187761835674727
9000,0.215584648988784
9100,0.116433391211056
9200,0.277956839848529
9300,0.0866746698679473
9400,0.214052535102291
9500,0.145396883083438
9600,0.38337632825835
9700,0.282920834216702
