"calBP","pasSW"
700,0.68217656255047
800,1.05392974487775
900,0.653269480726991
1000,0.91973909302476
1100,0.745608357943026
1200,0.520330930826353
1300,0.560015751307296
1400,0.510985312691721
1500,0.517245956470304
1600,0.537478134455796
1700,0.510237211259976
1800,0.727350770987401
1900,0.931160326335293
2000,0.628684707745759
2100,0.379786217218886
2200,0.66710163499065
2300,0.666702504680584
2400,0.44636652368213
2500,0.702328187078711
2600,0.47911610576322
2700,0.584144910847085
2800,0.518024256955787
2900,0.545657091025475
3000,0.50968520006927
3100,0.349065004229125
3200,0.414978637844548
3300,0.173484213282821
3400,0.494513975731167
3500,0.391331923656689
3600,0.178796813135211
3700,0.381352710575019
3800,0.26198306878197
3900,0.27262127329147
4000,0.242751680873284
4100,0.329020863429098
4200,0.333147576742967
4300,0.102132774598741
4400,0.321083426630094
4500,0.265545283487794
4600,0.169623444065952
4700,0.235083010258934
4800,0.28547998864526
4900,0.212144722530517
5000,0.214546927695725
5100,0.346860958571224
5200,0.26289723508243
5300,0.160982581562008
5400,0.264018664703684
5500,0.248881528672184
5600,0.305795573874682
5700,0.144280464030157
5800,0.403194024806376
5900,0.158279635643746
6000,0.299519790763254
6100,0.131822874442776
6200,0.208194203975584
6300,0.160031289662587
6400,0.287091146370732
6500,0.121276063939068
6600,0.307330066820737
6700,0.233383677080368
6800,0.052286245098531
6900,0.260175488329303
7000,0.293743080549714
7100,0.146631301647114
7200,0.262092365673164
7300,0.204153329717342
7400,0.179492883743365
7500,0.245680124926169
7600,0.243921762453478
7700,0.160238233969429
7800,0.325563189655199
7900,0.22538612157926
8000,0.361145953098487
8100,0.431181571497553
8200,0.400315667736466
8300,0.328224995062882
8400,0.234877429128551
8500,0.437037194099119
8600,0.531065818175814
8700,0.465138941813084
8800,0.227398651450516
8900,0.311265325624102
9000,0.423073330352773
9100,0.530582093912172
9200,0.51822303580848
9300,0.435374711942341
9400,0.143930249359437
9500,0.200805644711162
9600,0.175208756930947
9700,0.248936819562901
