"calBP","conN","decN","wetwN","wetmN","pasN","araN","heaN"
1400,1.76035534009458,2.42252327610519,0.1969204887124,0.291281960157641,0.323493333842171,0.0345972790894802,0.454216105763624
1500,1.35436923566001,2.73031049296975,0.177888277328239,0.3160570922435,0.275787814131795,0.0420154204068594,0.372810263810412
1600,3.17975481932462,4.16703745762458,0.497966307825549,0.820043714684743,0.850076827133715,0.128065707611343,1.22931679371047
1700,2.55899550430345,4.19742787400164,0.37102788600452,0.468143744786588,0.516354668239351,0.0645165023884784,0.827314672864857
1800,3.0748174081689,4.00533919270746,0.319442410256654,0.69062265486283,0.513207663666268,0.0818763661793963,0.744342066222825
1900,2.32182847270355,3.58010292836182,0.224695439724642,0.476466947953365,0.334639764778326,0.0486762355583941,0.508267085454043
2000,3.17448659887262,4.03062554866487,0.347630554405974,0.40408327116039,0.39907495501442,0.0351059774799042,0.508568789150086
2100,2.71447916175147,3.8377591622598,0.279853312947337,0.456650687563871,0.316026846754631,0.0296211018399863,0.585315879986957
2200,1.92994969973496,2.64259475196201,0.182940454707294,0.285045314483227,0.152492091090684,0.0218306513680608,0.218914790079365
2300,2.40276684854416,3.4956279253728,0.356781087212708,0.408225143297353,0.362267143294189,0.0212717335192694,0.558115356989291
2400,2.58728928431337,5.18183952656548,0.673597972926538,0.637841880757206,0.459958409397118,0.0839476607389487,0.900372858537104
2500,2.85438953086742,4.14601743121627,0.304888970117044,0.428116525166191,0.38604120270942,0.0414734404710436,0.384120616734935
2600,3.13798423822456,5.02170390061755,0.394846073654704,0.57157158036996,0.367762199323082,0.0460620199328027,0.703298252521429
2700,1.46825810077148,3.65758679310176,0.229544488047977,0.479624457975,0.315765497628899,0.0284625694188266,0.610740202345154
2800,2.0032335698552,3.47010532864552,0.335694368593557,0.297148524055515,0.260058945911955,0.0142897932410316,0.395570211271293
2900,2.96632574642394,4.1244976662142,0.315883889928631,0.604365080884629,0.463169213082422,0.0436969599162626,0.704022264391458
3000,2.05265762798985,3.42216480835514,0.258032788075034,0.263019944477996,0.175302520399028,0.0126798622530844,0.271873349377238
3100,1.96623962228364,4.14291213404769,0.328993659559701,0.482840034146252,0.375523948834888,0.0341602948470908,0.737166155878388
3200,2.76806341471207,4.05705756424171,0.30299871176341,0.328175426289379,0.208201895345506,0.0122343333287935,0.327130560385678
3300,2.00239998160416,3.00848399291975,0.304558824551847,0.362000553323963,0.322797731453628,0.0313843126053758,0.630640519455068
3400,2.07991173618815,3.71636788916017,0.237249476419484,0.307423869972936,0.224793439900479,0.0279921139918362,0.472357434191831
3500,3.02507631844365,3.91771379613101,0.359094283038963,0.400956939597843,0.318462862100708,0.031341338773172,0.57953861333629
3600,2.2987142946607,4.13891309035332,0.326626534334397,0.334111703048216,0.28640003913891,0.0169485524338646,0.469192429691173
3700,1.70911284306369,1.51759522396442,0.485252915812419,0.190901223009751,0.109272649503747,0.0196761804209832,0.903648442514931
3800,3.2374490935135,5.04044834147964,0.502114257211986,0.441713394360152,0.411476364349184,0.0309300417047673,0.675189744083018
3900,1.8281648381237,2.26996179544728,0.387931786820264,0.265174125900243,0.207431141978782,0.0242658596639078,0.487100604656531
4000,2.17369108156399,3.97733534808953,0.375211516322591,0.224794311585288,0.258361695155363,0.0616450897524755,0.412534936817736
4100,2.81718062440662,3.05543473931618,0.422302303758247,0.347241564202589,0.227839889528278,0.0201178049216418,0.53727421274773
4200,2.47308132728239,4.24332771113122,0.361826673161246,0.410097350511979,0.273831511562873,0.033324093186695,0.463228331258217
4300,2.11710309981338,2.69891184087446,0.301607030672451,0.184314387305041,0.158285216509515,0.0210553873170696,0.23681178045664
4400,1.90721063797644,2.77006470468076,0.483052512148443,0.37128389646469,0.186026751623912,0.0100533932532578,0.598467512369838
4500,2.60334661203939,3.20812050682986,0.309900703855486,0.251357400808957,0.194760610490392,0.0182402137760032,0.400887947118254
4600,3.2813792175802,3.06421157597823,0.289420802599174,0.369196217011699,0.165034200479852,0.00998778038613765,0.330370444439216
4700,2.00249950154362,2.75214824302065,0.344068734518076,0.294978132678348,0.297990915559234,0.0370560256574961,0.505920982100263
4800,2.62754820723525,4.4417990246084,0.392860146657239,0.339932221337877,0.359055331615542,0.0364897439806118,0.617603101716059
4900,3.03380974900799,4.15633833397722,0.45818506672363,0.346503716575191,0.285212977376344,0.0329446190037343,0.581871974083519
5000,2.37224129977587,3.33878187293767,0.509485017247991,0.248933047148778,0.210248651079584,0.039746198517939,0.468154911625592
5100,2.39813001377891,2.88951286653871,0.334411314546501,0.371244452834455,0.250529359851661,0.0224426695830131,0.487700280488518
5200,2.39603669898717,2.78227494096399,0.469148822760652,0.215337475057947,0.159447244496669,0.0144194794262871,0.328601681652686
5300,2.57259973541208,4.0481922641331,0.560029598372457,0.300408323540378,0.211288049516669,0.0360190948955714,0.526888230872241
5400,2.03786269311422,3.25855439899809,0.426112233427846,0.445711359315141,0.251064194498971,0.0240982050372196,0.553693374552583
5500,3.74500525335501,3.65766459587518,0.815214347918218,0.249816991716823,0.181229668509153,0.0419966008762627,0.583212699782812
5600,2.72401959650574,2.89841602217581,0.513004812996439,0.392709258981069,0.245155025529827,0.0215193400730672,0.460858169069356
5700,2.72256219312704,2.51931611341623,0.495980001999079,0.258568827983316,0.132366507293784,0.0257977204319715,0.253143923365809
5800,4.36272017421147,5.13734066380006,0.946624745094998,0.603743264241939,0.422254268242952,0.0263641468660154,0.628619738273365
5900,2.05708573984612,2.11835501826059,0.407702796213141,0.336893765590752,0.226950612468021,0.0197785150391785,0.330060687391844
6000,2.60313563525573,3.75121883797898,0.96701955467176,0.241879488247062,0.152334224785266,0.0206051336172579,0.362120824712209
6100,3.67217352300595,3.75570646584779,0.609204451844368,0.391951599336414,0.263919870345646,0.0336574442171185,0.471156128472314
6200,2.00697136173815,2.89632334338052,0.419882360878015,0.172926769429374,0.0804271735342065,0.0143615698806593,0.204487383937718
6300,3.82479670267397,4.43047395372356,0.726042302777589,0.337685360838799,0.232549008561836,0.0200401790448422,0.44957385481767
6400,1.94969880694791,2.18084079998036,0.332200631734133,0.201814816637838,0.0986598183102675,0.0121054355833068,0.306664676603313
