"calBP","wetwN"
1400,0.1969204887124
1500,0.177888277328239
1600,0.497966307825549
1700,0.37102788600452
1800,0.319442410256654
1900,0.224695439724642
2000,0.347630554405974
2100,0.279853312947337
2200,0.182940454707294
2300,0.356781087212708
2400,0.673597972926538
2500,0.304888970117044
2600,0.394846073654704
2700,0.229544488047977
2800,0.335694368593557
2900,0.315883889928631
3000,0.258032788075034
3100,0.328993659559701
3200,0.30299871176341
3300,0.304558824551847
3400,0.237249476419484
3500,0.359094283038963
3600,0.326626534334397
3700,0.485252915812419
3800,0.502114257211986
3900,0.387931786820264
4000,0.375211516322591
4100,0.422302303758247
4200,0.361826673161246
4300,0.301607030672451
4400,0.483052512148443
4500,0.309900703855486
4600,0.289420802599174
4700,0.344068734518076
4800,0.392860146657239
4900,0.45818506672363
5000,0.509485017247991
5100,0.334411314546501
5200,0.469148822760652
5300,0.560029598372457
5400,0.426112233427846
5500,0.815214347918218
5600,0.513004812996439
5700,0.495980001999079
5800,0.946624745094998
5900,0.407702796213141
6000,0.96701955467176
6100,0.609204451844368
6200,0.419882360878015
6300,0.726042302777589
6400,0.332200631734133
6500,0.951954078364067
6600,0.42030198929623
6700,0.677055397603539
6800,0.741239416093731
6900,0.322106279104019
7000,0.630485875556445
7100,0.975436633169427
7200,0.339296170345911
7300,0.841151731560497
7400,0.7138784497613
7500,0.824848444408813
7600,1.08746826373238
7700,0.480676692649587
7800,0.824306620458007
7900,1.02989410706533
8000,0.667522883499633
8100,0.49356181910004
8200,0.228670160627732
8300,0.301100987784756
8400,0.136373685948625
8500,0.350059188480823
8600,0.19757920771919
8700,0.224491173836135
8800,0.108975042858479
8900,0.193753747498305
9000,0.23863311182982
9100,0.269685433568676
9200,0.240709417169841
9300,0.0332122849139655
9400,0.148620557835122
9500,0.142265070919581
9600,0.333979135338892
9700,0.209620515869472
