"calBP","wetmMM"
700,0.0894640714249608
800,0.0734859384470646
900,0.0799327317376745
1000,0.0643874813443278
1100,0.0804882002509868
1200,0.0796827692269314
1300,0.0834636396463565
1400,0.0758948550302879
1500,0.0818979940849333
1600,0.101565539473564
1700,0.0291663857280367
1800,0.0836172691768114
1900,0.0764682802580961
2000,0.0650217920769514
2100,0.0858769692233983
2200,0.025854546125238
2300,0.0642317973120978
2400,0.0942409305672278
2500,0.0356204554977272
2600,0.0876149135741009
2700,0.0399158463554291
2800,0.0523794944238101
2900,0.0749627560681065
3000,0.0493263680793864
3100,0.0543975142745533
3200,0.0575037104462649
3300,0.0516265753415092
3400,0.0633265271240099
3500,0.0280820355212602
3600,0.0803713535517339
3700,0.0671105102943026
3800,0.0534125521081335
3900,0.0561138361520459
4000,0.0463877542832297
4100,0.0970140123490468
4200,0.0218645453709405
4300,0.0565879358796902
4400,0.0486311068459541
4500,0.0174534216117214
4600,0.0521252519581188
4700,0.0387546550536145
4800,0.0418155820248011
4900,0.0173988451615179
5000,0.0630604235063822
5100,0.0395704407092792
5200,0.0421269642828424
5300,0.0474494789516117
5400,0.0287471016277123
5500,0.0375536265894205
5600,0.0535142467410341
5700,0.0388753810271795
5800,0.0540213223223235
5900,0.0634647020693331
6000,0.0214187080839891
6100,0.0289846572023658
6200,0.0306803564991459
6300,0.0246679390006508
6400,0.0243560276297802
6500,0.042528515043702
6600,0.0271956691686591
6700,0.0521281733166294
6800,0.0146624726638986
6900,0.0572509303918269
7000,0.0319996850332025
7100,0.0271321774723728
7200,0.0436869620118547
7300,0.0263858724937377
7400,0.039176942615383
7500,0.0553546560676833
7600,0.0162462670789786
7700,0.0532378451286345
7800,0.0255097860453601
7900,0.0180978789899818
8000,0.0411517762260362
8100,0.0653405566733954
8200,0.0651105741303041
8300,0.0717641181070206
8400,0.0351025394380522
8500,0.0520071749414204
8600,0.0395983486068344
8700,0.0520883850405987
8800,0.0456473557352242
8900,0.0387737748142066
9000,0.0432911266144393
9100,0.0593325967794905
9200,0.0242402364005743
9300,0.0336523197264353
9400,0.0509528105147835
9500,0.0642669548896583
9600,0.0770965279041487
9700,0.0347570933312548
