"calBP","conSM"
1400,0.891250556836305
1500,0.191979654874826
1600,0.673610580533281
1700,0.193960957066045
1800,0.930973723930943
1900,0.141694459681843
2000,0.360186623291085
2100,0.066836086404066
2200,0.469727128981753
2300,0.525788606412634
2400,0.100029771079961
2500,0.715579190736345
2600,0.120777891504606
2700,0.170243948900504
2800,0.352032019464478
2900,0.777495655191215
3000,0.184924031363989
3100,0.469977025469285
3200,0.72027422524597
3300,0.359601255653228
3400,0.285714285714286
3500,0.0774976657329599
3600,0.927041953709783
3700,0.407639893394494
3900,0.393367275185344
4000,0.761625282185868
4100,0.0912052117263844
4200,0.339275447199159
4300,0.15236763483613
4400,0.352715893115335
4500,0.526677172139562
4600,0.282388542265093
4700,0.0812572740431021
4800,0.352684807318342
4900,0.134503545938803
5000,0.724024253331228
5100,0.0612400152149106
5200,0.713562954066611
5300,0.346757948990893
5400,0.103879849812265
5500,0.552430362100808
5600,0.585955957556672
5700,0.396184043216788
5800,0.0719738276990185
5900,0.383450964576191
6000,0.0598086124401914
6100,0.394011623160002
6200,0.597951131913365
6300,0.414649923974644
6400,0.177755958704458
6500,0.83732170273549
6600,0.131158877727169
6700,0.288995352929234
6800,0.113870856842403
6900,0.854409551906353
7000,0.177091606344596
7100,0.677494078709496
7200,0.633921159945185
7300,0.425049721757259
7400,1.1712067644851
7500,0.577608304827073
7600,0.198185614692662
7700,0.560019262854267
7800,1.04397778859196
7900,1.25665182581004
8000,0.50081122600748
8100,0.672808603345792
8200,0.675181671366048
8300,0.937348072924398
8400,1.93028590384809
8500,1.79816824814858
8600,1.78837063126937
8700,1.98363673260465
8800,1.41547189920205
8900,2.63722269386279
9000,2.18590850092112
9100,3.74272099934944
9200,2.21627760620238
9300,1.79372387232936
9400,1.47141058032298
9500,0.598786487565461
9600,0.40258064516129
9700,1.22923358843619
