"calBP","pasMM"
700,0.204560293410197
800,0.161675844502724
900,0.187314660789986
1000,0.15775605159447
1100,0.140610491601586
1200,0.16984697304237
1300,0.185160418958816
1400,0.132079132638057
1500,0.151791915911485
1600,0.14250914291609
1700,0.0814148613932008
1800,0.110662447282874
1900,0.138521638506828
2000,0.115458746438633
2100,0.119588165020231
2200,0.0436724908256995
2300,0.101222886915582
2400,0.124317554640053
2500,0.0606200059812745
2600,0.102481437834558
2700,0.0481950175666958
2800,0.0427973775549651
2900,0.129787431969405
3000,0.0461207491419463
3100,0.0599004339239862
3200,0.0530734719353846
3300,0.064394657998417
3400,0.0798935246326144
3500,0.0309959538817575
3600,0.0993847192372599
3700,0.0767166227760062
3800,0.0642904011446769
3900,0.0702820085907267
4000,0.0507086925190989
4100,0.0901813186122777
4200,0.0189209937596318
4300,0.046913282961511
4400,0.0547586790847205
4500,0.0158049828518838
4600,0.0532000660769894
4700,0.0507891985589225
4800,0.0367005258651531
4900,0.0096453212523607
5000,0.0626910745499521
5100,0.0492340865434354
5200,0.0311455687772903
5300,0.0590562802557992
5400,0.0401311889108211
5500,0.0429580678310733
5600,0.0581289713418377
5700,0.0412809018250802
5800,0.0577425235571249
5900,0.0434351815008351
6000,0.0205647426881996
6100,0.0519866873499013
6200,0.0376849363663973
6300,0.0249196617097568
6400,0.0324785397425579
6500,0.0339775376108516
6600,0.0408669639568149
6700,0.0479194830573866
6800,0.0179574705244197
6900,0.0433918435926563
7000,0.0464378881336029
7100,0.00790193993989681
7200,0.0618874566421626
7300,0.0210986074427065
7400,0.0625379359012739
7500,0.054571590010087
7600,0.0145324801671548
7700,0.0539007413460926
7800,0.0309559969265542
7900,0.0183327954549875
8000,0.0453863543503698
8100,0.075884728422739
8200,0.0773394328997646
8300,0.10238855302952
8400,0.0352793254808444
8500,0.0883776929792837
8600,0.0548159213010697
8700,0.0520529555765108
8800,0.0488989744856698
8900,0.0485141955471916
9000,0.058387380106928
9100,0.0706903935729647
9200,0.0417103115777789
9300,0.0505067668650304
9400,0.0680071679357545
9500,0.0781806267596206
9600,0.0869644005806652
9700,0.11286759743263
