"calBP","conMM"
700,2.70595227708531
800,2.57462222654198
900,3.54258443485653
1000,3.62450475237654
1100,2.07620672436342
1200,3.13554728937374
1300,2.46561668339944
1400,3.17133725021967
1500,3.09148309060643
1600,4.31121323196792
1700,3.34514281013848
1800,3.72560347994486
1900,3.84628457443922
2000,3.18486405988563
2100,3.91821785646494
2200,1.70986161769626
2300,2.1923967024966
2400,3.87063405987671
2500,2.72808420015234
2600,4.68072347552818
2700,2.4057992291727
2800,4.12639340760831
2900,3.61682680269625
3000,3.17774902329161
3100,3.42029662574525
3200,3.58195842477884
3300,3.12371314457023
3400,3.39942160119919
3500,2.030045031307
3600,2.88989181716118
3700,6.16637057120163
3800,4.20491684730111
3900,3.50814236858849
4000,3.11871444024003
4100,4.19085820744067
4200,2.1314195275876
4300,1.93494036689952
4400,2.94128978953621
4500,1.58799149965949
4600,2.56348201718821
4700,2.24132742760963
4800,1.56313447522021
4900,1.70973051564153
5000,2.58374429264294
5100,2.34110973098924
5200,2.43835562487385
5300,2.33849691106165
5400,1.68138555966264
5500,2.46994124310165
5600,2.61475290031043
5700,1.3284315404425
5800,1.82852397785694
5900,2.39305138281785
6000,0.91957772302541
6100,1.64264459105425
6200,1.21549887615557
6300,1.53489137002745
6400,1.40045126616889
6500,1.48328877609932
6600,1.37818245149812
6700,1.48725634233558
6800,1.08822810898139
6900,1.81057912148487
7000,1.77898838392567
7100,0.819482357827756
7200,1.5356536507721
7300,1.38965738012888
7400,1.57738007930282
7500,2.33220617698015
7600,1.06870437091116
7700,2.31497741666276
7800,1.25388571698972
7900,1.07594781911436
8000,2.05491757195066
8100,2.77325849803671
8200,2.58446541935037
8300,2.46625314156084
8400,1.26186145144942
8500,2.24411746373189
8600,1.88115144928218
8700,2.54253755891541
8800,2.07850939335371
8900,1.19226507589164
9000,2.27228697702847
9100,2.90543543496592
9200,1.666428753708
9300,1.55061397106571
9400,2.98837486768863
9500,2.52462612517386
9600,2.11280329177635
9700,2.77614274137668
