"calBP","conMM","decMM","wetwMM","wetmMM","pasMM","araMM","heaMM"
700,2.70595227708531,1.37755305636907,0.232945809320484,0.0894640714249608,0.204560293410197,0.0266327463067786,0.272145310622434
800,2.57462222654198,1.25603334588657,0.215804211798998,0.0734859384470646,0.161675844502724,0.0329277278478333,0.228452297355395
900,3.54258443485653,1.5666214075594,0.31704696369658,0.0799327317376745,0.187314660789986,0.0274428793211338,0.240541636656406
1000,3.62450475237654,1.95835093916207,0.292323212888513,0.0643874813443278,0.15775605159447,0.0263929700679973,0.219882186108158
1100,2.07620672436342,1.18197117035328,0.162096036212324,0.0804882002509868,0.140610491601586,0.0106127616325148,0.126536597019239
1200,3.13554728937374,1.86570870894191,0.394390994492431,0.0796827692269314,0.16984697304237,0.0165434647719237,0.179730592271709
1300,2.46561668339944,2.06317959073474,0.416887898992549,0.0834636396463565,0.185160418958816,0.019586970320973,0.216481730932589
1400,3.17133725021967,2.06857630086934,0.402143866003864,0.0758948550302879,0.132079132638057,0.0190067662281698,0.135265896348651
1500,3.09148309060643,2.16442872607157,0.386494116791447,0.0818979940849333,0.151791915911485,0.0150397230946335,0.140521349928026
1600,4.31121323196792,2.51506104743677,0.418061124953857,0.101565539473564,0.14250914291609,0.0113136189124355,0.173240169392501
1700,3.34514281013848,1.62820291548884,0.32507863847029,0.0291663857280367,0.0814148613932008,0.0096585327761098,0.047298194123832
1800,3.72560347994486,2.14598580441303,0.450021145367533,0.0836172691768114,0.110662447282874,0.0118552890045939,0.123796782302676
1900,3.84628457443922,2.58487097998424,0.469984008753579,0.0764682802580961,0.138521638506828,0.00658656620424355,0.176784404165525
2000,3.18486405988563,2.32208217305958,0.52764427701019,0.0650217920769514,0.115458746438633,0.0121585458062885,0.0863119388920075
2100,3.91821785646494,3.2702393185502,0.65925146147042,0.0858769692233983,0.119588165020231,0.00365891768494537,0.116903589498948
2200,1.70986161769626,1.70744044664057,0.351549702392654,0.025854546125238,0.0436724908256995,0.00249687890137328,0.0252612641840909
2300,2.1923967024966,2.33341880747571,0.527279453833309,0.0642317973120978,0.101222886915582,0.00456790456655863,0.0652171382744188
2400,3.87063405987671,3.3864925121738,0.570867547860725,0.0942409305672278,0.124317554640053,0.00991685681653208,0.140739445495835
2500,2.72808420015234,2.57333564130195,0.415248521397088,0.0356204554977272,0.0606200059812745,0.00724554900550118,0.0583177265361042
