"calBP","wetwMM"
700,0.232945809320484
800,0.215804211798998
900,0.31704696369658
1000,0.292323212888513
1100,0.162096036212324
1200,0.394390994492431
1300,0.416887898992549
1400,0.402143866003864
1500,0.386494116791447
1600,0.418061124953857
1700,0.32507863847029
1800,0.450021145367533
1900,0.469984008753579
2000,0.52764427701019
2100,0.65925146147042
2200,0.351549702392654
2300,0.527279453833309
2400,0.570867547860725
2500,0.415248521397088
2600,0.577968840717882
2700,0.502487593727181
2800,0.609811911697324
2900,0.630267834910587
3000,0.528130280685039
3100,0.534378450333936
3200,0.694430965908019
3300,0.532829602186387
3400,0.512077183009101
3500,0.380135953551718
3600,0.46366075183509
3700,0.726720547373508
3800,0.706069630802439
3900,0.492342654437166
4000,0.48336160029672
4100,0.760741234017189
4200,0.382646485477057
4300,0.438084916367907
4400,0.660159246633533
4500,0.269821134224326
4600,0.548810568513055
4700,0.447291301891966
4800,0.448478644404165
4900,0.272672822673984
5000,0.55071143711568
5100,0.627186979098422
5200,0.553888260781538
5300,0.566623744092767
5400,0.344278326483128
5500,0.582427136538653
5600,0.790916234957179
5700,0.495582920085235
5800,0.482285513207384
5900,0.803312383110267
6000,0.467112975774295
6100,0.404078102704315
6200,0.503891191463615
6300,0.665749395955831
6400,0.367861565089951
6500,0.626301570721645
6600,0.635050142342782
6700,0.760867969128407
6800,0.414123106912257
6900,0.595734444648528
7000,0.590137252308776
7100,0.650714941948217
7200,0.645597585702425
7300,0.757017111275868
7400,0.827848074692284
7500,1.08546100782381
7600,0.370087576049708
7700,1.26833956960565
7800,0.521907366624591
7900,0.588012206159096
8000,0.497458324899287
8100,0.995852903104257
8200,0.788063114771112
8300,0.788905282665445
8400,0.601285755531353
8500,0.927667732980439
8600,0.651925851901112
8700,0.920345683246081
8800,0.516095731238361
8900,0.749563783329404
9000,0.724138657454217
9100,0.583092997843528
9200,0.645088363410201
9300,0.241414844587226
9400,0.149959819781537
9500,0.15325324460492
9600,0.172589500985962
9700,0.161120834822385
