"calBP","heaSW"
700,0.372680909354666
800,0.694492237636044
900,0.364200415541677
1000,0.427871994740096
1100,0.38746677720431
1200,0.265951064791632
1300,0.233966539491121
1400,0.21121386458547
1500,0.326059934435271
1600,0.245349278018837
1700,0.247097119733797
1800,0.435693150207311
1900,0.514340921603866
2000,0.404213601156109
2100,0.270934248670247
2200,0.337251151205553
2300,0.359273679395967
2400,0.19711543829316
2500,0.384675062021608
2600,0.207165156650971
2700,0.275088864368329
2800,0.272550422058745
2900,0.309338227176972
3000,0.256112885145011
3100,0.293903389652701
3200,0.197188792818147
3300,0.142938873463302
3400,0.223541664928233
3500,0.212006536587226
3600,0.131703593764486
3700,0.213949396539723
3800,0.216321476126424
3900,0.146793123682856
4000,0.151606118948671
4100,0.233752938884181
4200,0.233301593972313
4300,0.0910719908400964
4400,0.218534883260589
4500,0.279492853884636
4600,0.114047708893264
4700,0.231335966073084
4800,0.196839290169976
4900,0.191523469644544
5000,0.145588194895291
5100,0.320445032826923
5200,0.214698294516535
5300,0.212360136767807
5400,0.175856670071271
5500,0.192853781925787
5600,0.225121004740162
5700,0.139580665197632
5800,0.331715202471576
5900,0.0873385080381281
6000,0.205127510701672
6100,0.137653598179071
6200,0.154132324241502
6300,0.185923196894368
6400,0.208315854727362
6500,0.144452925810059
6600,0.251924355726842
6700,0.212050611700468
6800,0.056230370265757
6900,0.251163097760157
7000,0.232560513153175
7100,0.122899173715847
7200,0.158378568586331
7300,0.127683621681344
7400,0.207708456033951
7500,0.149031055584584
7600,0.0957569588923515
7700,0.145980176013565
7800,0.298438411849731
7900,0.186079490159341
8000,0.232700330982591
8100,0.358933355692589
8200,0.292329808229467
8300,0.279835996390382
8400,0.296778012994575
8500,0.49234719321944
8600,0.430621378368983
8700,0.467441226750611
8800,0.246121267529289
8900,0.249474130002587
9000,0.235835553141694
9100,0.185767575913535
9200,0.276909215886411
9300,0.253225483635489
9400,0.143427671403763
9500,0.0490089955434661
9600,0.329866331299212
9700,0.186738891163441
