"calBP","wetmSW"
700,0.462268255370992
800,0.656730533657383
900,0.301152741293925
1000,0.456960823828752
1100,0.447558796123981
1200,0.246716001985819
1300,0.366648646023902
1400,0.185151685968912
1500,0.293154463386299
1600,0.310693590204509
1700,0.379360664186362
1800,0.627180562401205
1900,0.591456117287183
2000,0.534042965036996
2100,0.281872780953484
2200,0.388081393894925
2300,0.359345673245084
2400,0.260427715399172
2500,0.420807025879053
2600,0.372136214061502
2700,0.244773475530831
2800,0.357725364671136
2900,0.330928006554055
3000,0.320717887617682
3100,0.229446597725491
3200,0.269286143331486
3300,0.102633753370427
3400,0.302332361204903
3500,0.23788432862147
3600,0.134351812402763
3700,0.241584065289926
3800,0.181655587047799
3900,0.160816293165694
4000,0.125086086957039
4100,0.189108970971818
4200,0.268986325473458
4300,0.0592918364996187
4400,0.209414463672735
4500,0.211549345301557
4600,0.084017122868626
4700,0.129476760895732
4800,0.140422005359745
4900,0.0939696342780324
5000,0.125709552157437
5100,0.252511206640607
5200,0.0912123132520159
5300,0.11767040933688
5400,0.103429980596377
5500,0.137854310578564
5600,0.163641420220011
5700,0.090029468842576
5800,0.234038103057653
5900,0.0705728041613209
6000,0.126921874817273
6100,0.123703267518865
6200,0.104196825212089
6300,0.105245161048404
6400,0.194099822059835
6500,0.0775297693622289
6600,0.136137528039556
6700,0.113944807518294
6800,0.055981501248895
6900,0.126862878728202
7000,0.160120867182179
7100,0.0370271923013662
7200,0.112356951495366
7300,0.0993376568484675
7400,0.102609103771093
7500,0.0597459126817746
7600,0.071344132482863
7700,0.0851987628972415
7800,0.134127299586174
7900,0.0782483954043629
8000,0.0917107378727175
8100,0.143638260348435
8200,0.132646736914298
8300,0.103117743121895
8400,0.0791014269440778
8500,0.135453551227226
8600,0.165977393826525
8700,0.195737649318259
8800,0.0850617703552463
8900,0.0973320016335721
9000,0.121651287954084
9100,0.156999543199496
9200,0.162070602118096
9300,0.126340351560421
9400,0.0459544718219797
9500,0.0690270843794217
9600,0.0732709524210919
9700,0.0743365457614598
