"calBP","conSE"
500,3.62514342883049
600,4.55209736940333
700,3.09069387687616
800,3.45810903022167
900,5.5339886174033
1000,4.60938929100355
1100,4.67639698441278
1200,4.91078551030591
1300,4.83223924380145
1400,3.94779815392354
1500,4.52700010885762
1600,4.06322800432954
1700,4.05879698003048
1800,3.65464180812629
1900,2.74336023324784
2000,2.29262307091317
2100,3.19367124154725
2200,5.01287840761792
2300,2.7717711247074
2400,6.30318081743774
2500,2.98334302562979
2600,4.50385573705275
2700,4.40887678122402
2800,3.58082310546312
2900,2.79131967665882
3000,3.24149882369657
3100,4.43550441456307
3200,4.74972364367855
3300,3.67596528911454
3400,4.02255240401309
3500,2.32652529199978
3600,2.80820776008011
3700,3.1136656967635
3800,2.40824578983137
3900,3.06562757206857
4000,2.03596959992261
4100,2.42026645847166
4200,2.39229636370125
4300,2.94334816652008
4400,1.82378589478303
4500,2.06253449924859
4600,2.00337780607329
4700,1.10065231903903
4800,1.52728059270844
4900,0.800005219748386
5000,0.847844396557796
5100,0.868362296901629
5200,1.02615062149133
5300,0.852865017585045
5400,1.90227241782534
5500,0.834033734965707
5600,1.10007578215945
5700,1.22568168733121
5800,0.784593739284616
5900,1.07940789387799
6000,1.78726134907809
6100,1.16450731275814
6200,0.490236004210505
6300,1.37816906052467
6400,1.52933667633611
6500,0.758900808106679
6600,1.95296659156763
6700,1.45003435301194
6800,1.46675677547487
6900,0.866348660681032
7000,1.26468935139996
7100,1.82969599190713
7200,0.725216294197687
7300,2.09928154006608
7400,2.34099776575106
7500,2.66528858890122
7600,1.48940802673565
7700,2.95812022187809
7800,1.94455613819647
7900,1.55176233587639
8000,2.22117448511965
8100,2.45323515961685
8200,2.91966245865507
8300,2.71675831440228
8400,1.62721773773675
8500,3.32635975583785
8600,2.50286838823041
8700,2.8509141159319
8800,3.69909303286276
8900,1.49839627578968
9000,2.84627760216082
9100,2.45814531653537
9200,4.10118820724192
9300,4.67143778509411
9400,4.16951283898632
9500,2.27019771292447
9600,3.47149278836736
9700,1.02708330615411
