"calBP","decSE"
500,2.30634827378291
600,2.43707650195032
700,2.87430674894323
800,2.26282590180408
900,3.05845144245093
1000,3.63313415233873
1100,3.25612601665094
1200,3.48250646654644
1300,2.75006585134087
1400,3.02218429366386
1500,2.40377712140054
1600,1.6629261381778
1700,2.6018434085425
1800,2.86854620643784
1900,1.87499550412858
2000,1.91457371177779
2100,3.30407311345854
2200,5.03448701990767
2300,2.14810182671564
2400,4.46179155213554
2500,2.3165310596245
2600,2.73731888595045
2700,3.32126403524699
2800,2.79168805558904
2900,2.79718295100038
3000,3.30094414897993
3100,3.17169863816622
3200,3.61394641818981
3300,3.75544029029478
3400,4.83810066253128
3500,3.18510194996929
3600,4.12131791783585
3700,5.00532832852158
3800,4.27475171757151
3900,5.09809931339506
4000,3.81088882288877
4100,4.73966873425027
4200,5.5499772885921
4300,5.27970109385338
4400,4.78290558348299
4500,4.4520137017396
4600,2.85930554737171
4700,1.98394770911472
4800,2.93108166484142
4900,1.68467138478213
5000,2.1758800020295
5100,1.4199619470889
5200,2.27458561778516
5300,2.35568433670869
5400,3.09104623082575
5500,1.96830161299514
5600,1.49293088306497
5700,2.95475989469471
5800,2.68041295093695
5900,1.43844739892867
6000,4.01193892172486
6100,2.26461950423878
6200,1.7322221001238
6300,3.21581993973539
6400,3.58125017385815
6500,2.29856828181445
6600,4.19271336382495
6700,2.66888465285824
6800,3.87070119446475
6900,1.72526031967603
7000,3.03193606575267
7100,4.13093860055559
7200,2.44086746203678
7300,3.42842875143351
7400,1.77932854701778
7500,2.32228216781906
7600,3.78314137723471
7700,3.69683010456299
7800,1.85547996806221
7900,0.941022845299831
8000,2.59564064494824
8100,3.12760697109817
8200,4.44195000940245
8300,3.08253893174163
8400,2.49605252207547
8500,3.56885906300821
8600,2.59814428247331
8700,3.47748353415927
8800,3.84528178948582
8900,2.60258670243608
9000,3.41266269244013
9100,2.93217044735604
9200,3.04663104539367
9300,2.38936644148969
9400,3.17528353354186
9500,2.59825221036769
9600,2.83931955049428
9700,1.4676122733324
