"calBP","araSW"
700,0.0250394000973326
800,0.0444238489298625
900,0.039077571843944
1000,0.0414376081389643
1100,0.0495978522710665
1200,0.0149489311266275
1300,0.00785177125366855
1400,0.00911064068982772
1500,0.018321881490597
1600,0.0107086889883844
1700,0.0142400259366269
1800,0.0165267090248465
1900,0.0252414818751371
2000,0.0133040986974498
2100,0.0182692791508312
2200,0.0166354857223327
2300,0.0170484067637533
2400,0.0075620642820755
2500,0.0208360285905007
2600,0.00471060467495478
2700,0.0219397659392976
2800,0.00958583399049815
2900,0.0125578241328069
3000,0.00624281162370399
3100,0.00793304195653458
3200,0.0110920906036179
3300,0.0055359921413552
3400,0.00878927898339608
3500,0.013027072229108
3600,0.00834354079030728
3700,0.00736491345231529
3800,0.0087492862989771
3900,0.00460431793417995
4000,0.00578678839957035
4100,0.0192687284779792
4200,0.00303189397916766
4300,0.00403025889716933
4400,0.00858053736713601
4500,0.00812065366127899
4600,0.00614533517131853
4700,0.00935120226333547
4800,0.00818918318199521
4900,0.00338299636821184
5000,0.00275683624653301
5100,0.00814644967359246
5200,0.00632686499397911
5300,0.00747351552439548
5400,0.00893745616783158
5500,0.00417338502999678
5600,0.00269351539768963
5700,0.00619193454978779
5800,0.00916096191257612
5900,0.0011037527593819
6000,0.00659090645855709
6100,0.00412050160033256
6200,0.00386361756989393
6300,0.00428135325637176
6400,0
6500,0
6600,0.00519491919667832
6700,0.00441443903395902
6800,0.00124223602484472
6900,0.00976344299635872
7000,0.00545756637336742
7100,0.00116144018583043
7200,0.00420527117068862
7300,0.00328160337680262
7400,0.0018724158553008
7500,0.00408306933916934
7600,0.00345174389368339
7700,0.00300524059933728
7800,0.00410716747350411
7900,0.00509408735682459
8000,0.00528317039295975
8100,0.00363404841715387
8200,0.00178412132024978
8300,0.00648846323835331
8400,0
8500,0.0110919838258621
8600,0.0112372577208787
8700,0.00817322570538008
8800,0.00388805115274881
8900,0.00473186119873817
9000,0.0103705615483297
9100,0.00498405496576684
9200,0.00556793304531452
9300,0.00385596206348674
9400,0.00157728706624606
9500,0.00240096038415366
9600,0
9700,0.0060563036297146
