"calBP","araSM"
1400,0.0828882274668421
1500,0.136052076512204
1600,0.0830374566015265
1700,0.038845602258402
1800,0.0619977239509593
1900,0.0241190345584202
2000,0.0265842399403055
2100,0.0228716645489199
2200,0.0554529762827683
2300,0.0506426057555168
2400,0.0216628232184811
2500,0.0275783293238926
2600,0.00870010235414534
2700,0.0173091805269487
2800,0.0150610231108803
2900,0.0295910548622951
3000,0.0257331470371415
3100,0.0187456586417848
3200,0.0238885314007987
3300,0.0199941180474228
3400,0.00127551020408163
3500,0.00373482726423903
3600,0.0176561223116655
3700,0.0188808185216567
3900,0.0166209267422887
4000,0.0194055279420747
4100,0.00162866449511401
4200,0.0191868239201394
4300,0.0169654289372599
4400,0
4500,0.00590832332139993
4600,0.00303203041382576
4700,0.00228920259442961
4800,0.0043103448275862
4900,0.000857632933104631
5000,0.0120193494557989
5100,0.00418410041841004
5200,0.00693683486738789
5300,0.00449664346224933
5400,0
5500,0.00975911327995813
5600,0.00811326214947343
5700,0.00181686046511628
5800,0.00218102508178844
5900,0.0041809504604423
6000,0.000598086124401914
6100,0.00074878322725571
6200,0.00390820869441898
6300,0.00490749674316093
6400,0.0007097232079489
6500,0.00807318968231332
6600,0.00183284457478006
6700,0
6800,0.000714540907466952
6900,0.00604102983341628
7000,0.00449011776986089
7100,0.00678172743551644
7200,0.00381450926941277
7300,0.00411207486354898
7400,0.00740764739686838
7500,0.00439490500448283
7600,0.00299737729486699
7700,0.00297951582867784
7800,0.00098864087100667
7900,0.00908549703330969
8000,0.00536291835374947
8100,0.00348104625549608
8200,0.00281260187901959
8300,0.000984574991795208
8400,0.00997511661439473
8500,0.00412654745529573
8600,0.00384428317578338
8700,0.00779206601763629
8800,0.00429900045380675
8900,0.00524461328367993
9000,0.00451702146892611
9100,0.0133123595412703
9200,0.00353009596667551
9300,0.0645397154561262
9400,0.103512957702772
9500,0.00675347752232893
9600,0.00354838709677419
9700,0.0109728328464507
