"calBP","wetwSE"
500,1.22586916900267
600,1.44155914412095
700,0.864463016379572
800,1.26707672227194
900,1.32911631236159
1000,1.00518507480383
1100,1.40915516949815
1200,1.02070575212345
1300,1.06153206689181
1400,2.21572943000903
1500,1.44861577562404
1600,0.869941731666245
1700,1.03528872316086
1800,1.02438887128886
1900,1.00016744586957
2000,0.638230146532148
2100,1.85897544042859
2200,2.14196612551334
2300,0.861280161733932
2400,1.20217395100565
2500,0.527427061844907
2600,1.12966088179352
2700,0.874847608519461
2800,1.20032763450083
2900,0.793761778374502
3000,1.13367816806157
3100,1.84275883714491
3200,1.20621900723988
3300,0.913240028679949
3400,1.37221052598264
3500,1.00818904320419
3600,0.828032920520142
3700,1.31507787248515
3800,1.02272610302416
3900,1.40899388570559
4000,0.787359279905133
4100,1.53883554925244
4200,1.5245276997562
4300,1.29929407122027
4400,2.05815244820966
4500,1.04791091993023
4600,0.809183467863319
4700,0.48361731026357
4800,1.22434625348477
4900,0.265608165472267
5000,0.805644855163248
5100,0.362076747204014
5200,1.36100898788579
5300,0.550761334856472
5400,0.590070717953422
5500,0.872453261109099
5600,0.333626610934264
5700,1.53965589118327
5800,0.40486124131045
5900,1.03678056898854
6000,0.847738729116816
6100,0.390198882575879
6200,0.598876453766572
6300,0.88285463315196
6400,0.703506718033711
6500,0.596717041098772
6600,1.02964715174693
6700,0.670316569918718
6800,0.940536152443824
6900,0.288093465766951
7000,0.556300803242955
7100,1.19394658394035
7200,0.461963505176724
7300,0.720917453357892
7400,0.628191295568633
7500,0.668542891275839
7600,0.808923543031215
7700,0.886924362184462
7800,0.526497006745732
7900,0.390894426535974
8000,0.868525759370836
8100,0.641351793768542
8200,1.17783020182461
8300,1.28203661991528
8400,0.755709099982039
8500,1.09120086578396
8600,0.642176667908934
8700,0.947471820226634
8800,1.09967015404708
8900,0.741654753470275
9000,0.908127216482319
9100,0.83072212177448
9200,0.878153083019331
9300,0.760963824406198
9400,0.644278950235337
9500,0.411169898791803
9600,0.634495492796819
9700,0.184611472121421
